,pageid,ns,title
0,18592552,0,Lam Cheng Yuet Ngor
1,18592554,0,Cheng Yuet Ngor
2,18592555,0,Carrie Cheng Yuet Ngor
3,18592560,0,Carrie Cheng
4,23648512,0,Carrie Lam Cheng Yuet-ngor
5,24597264,0,Carrie Lam Cheng Yuet Ngor
6,28466184,0,Carrie Lam (civil servant)
7,36864354,0,Lín Zhèng Yuè'é
8,36864356,0,Lin Zheng Yue'e
9,36864358,0,Lam Cheng Yuet-ngor
10,50868556,0,Carrie Lam (politician)
11,50928306,0,Carrie Lamb
12,54537906,0,Lin Yue'e
13,54537907,0,Zheng Yue'e
14,58732062,0,林鄭月娥
15,58732069,0,鄭月娥
16,59092731,0,Lin Zheng Yue E
17,59092733,0,Carrie Lam Cheng
18,61053763,0,Karrie Lam
19,61056689,0,Kerry Lam
20,61647643,0,"Lam, Carrie"
21,62395162,0,Lin Zheng Yuee
22,62395178,0,Zheng Yuee
23,62395189,0,Cheng Yuet-ngor
