,revid,parentid,user,userid,timestamp,size,anon
0,368228362,264083911,HongQiGong,986621,2010-06-15T19:10:47Z,1588,
1,415553418,368228362,Maheshkumaryadav,1918678,2011-02-23T18:51:19Z,1972,
2,415553498,415553418,Maheshkumaryadav,1918678,2011-02-23T18:51:48Z,1984,
3,415553630,415553498,VernoWhitney,11082368,2011-02-23T18:52:45Z,1588,
4,456002501,415553630,Engirst,14769780,2011-10-17T13:12:04Z,1621,
5,544852906,456002501,Addbot,6569922,2013-03-17T05:19:35Z,1594,
6,562986582,544852906,Murry1975,14511822,2013-07-05T15:28:04Z,1997,
7,564506099,562986582,Whpq,643450,2013-07-16T13:35:24Z,2029,
8,564512408,564506099,Whpq,643450,2013-07-16T14:25:02Z,2393,
9,564512588,564512408,Whpq,643450,2013-07-16T14:26:15Z,2691,
10,564512892,564512588,Whpq,643450,2013-07-16T14:28:38Z,2997,
11,564513080,564512892,Whpq,643450,2013-07-16T14:30:04Z,2965,
12,566897797,564513080,Ymblanter,14596827,2013-08-02T19:53:27Z,2562,
13,616196425,566897797,99.112.212.108,0,2014-07-09T08:21:27Z,2566,True
14,616206322,616196425,Vsmith,84417,2014-07-09T10:37:17Z,2562,
15,628260151,616206322,37.24.146.171,0,2014-10-04T21:58:31Z,2602,True
16,628354205,628260151,37.24.144.110,0,2014-10-05T17:01:26Z,2652,True
17,642550759,628354205,Kdm852,18929001,2015-01-15T03:07:19Z,2855,
18,644370917,642550759,Kdm852,18929001,2015-01-27T07:26:25Z,3887,
19,648327170,644370917,Kdm852,18929001,2015-02-22T14:17:08Z,3890,
20,648590105,648327170,Kdm852,18929001,2015-02-24T05:57:31Z,4142,
21,650538480,648590105,Yobot,7328338,2015-03-09T01:15:46Z,4154,
22,666736957,650538480,John of Reading,11308236,2015-06-13T08:43:33Z,4133,
23,739621895,666736957,94.209.145.26,0,2016-09-15T20:54:42Z,4137,True
24,739628062,739621895,CAPTAIN RAJU,25523690,2016-09-15T21:53:05Z,4133,
25,743597175,739628062,Bender the Bot,28903366,2016-10-10T09:56:55Z,4136,
26,810730826,743597175,SporkBot,12406635,2017-11-17T02:27:08Z,4110,
27,822656883,810730826,Theresa Sillketrucker,32948339,2018-01-27T18:44:45Z,4161,
28,822656961,822656883,Theresa Sillketrucker,32948339,2018-01-27T18:45:21Z,4197,
29,897918148,822656961,Cydebot,1215485,2019-05-20T05:50:10Z,4203,
30,901455531,897918148,129.133.211.147,0,2019-06-12T00:12:03Z,4204,True
31,902475577,901455531,Robertolacayo14,36688769,2019-06-19T02:55:09Z,4516,
32,902476190,902475577,Robertolacayo14,36688769,2019-06-19T03:01:28Z,4574,
33,905628798,902476190,61.92.157.37,0,2019-07-10T09:03:18Z,4649,True
34,905631073,905628798,Citobun,19212093,2019-07-10T09:34:36Z,4574,
35,907229514,905631073,Mariogoods,34143604,2019-07-21T12:48:21Z,4614,
36,907231513,907229514,AnomieBOT,7611264,2019-07-21T13:09:04Z,4629,
37,907984651,907231513,Takinginterest01,32884160,2019-07-26T16:13:07Z,4701,
38,907984706,907984651,Takinginterest01,32884160,2019-07-26T16:13:37Z,4702,
39,907984729,907984706,Takinginterest01,32884160,2019-07-26T16:13:47Z,4629,
40,907984749,907984729,Takinginterest01,32884160,2019-07-26T16:14:03Z,4701,
41,907984802,907984749,Takinginterest01,32884160,2019-07-26T16:14:33Z,4701,
42,908675602,907984802,Citobun,19212093,2019-07-31T07:39:17Z,4759,
43,911348023,908675602,180.68.3.23,0,2019-08-18T09:46:16Z,4757,True
44,911535933,911348023,STSC,1732781,2019-08-19T14:18:23Z,4621,
45,911537117,911535933,STSC,1732781,2019-08-19T14:29:00Z,4580,
46,913227496,911537117,Cossaxx,10061784,2019-08-30T18:57:57Z,4525,
47,913244386,913227496,X1\,31634280,2019-08-30T21:16:18Z,4563,
48,913246766,913244386,AnomieBOT,7611264,2019-08-30T21:38:00Z,4580,
49,913252641,913246766,Cossaxx,10061784,2019-08-30T22:27:03Z,8401,
50,914555785,913252641,RodsTR,34996118,2019-09-08T02:59:13Z,8448,
51,915514907,914555785,BrownHairedGirl,754619,2019-09-13T18:24:33Z,8424,
52,917590086,915514907,Feminist,25530780,2019-09-24T14:47:44Z,8428,
53,919237005,917590086,Feminist,25530780,2019-10-02T15:50:57Z,8452,
54,919237073,919237005,Feminist,25530780,2019-10-02T15:51:35Z,8498,
55,925375056,919237073,121.163.89.190,0,2019-11-09T18:31:51Z,8502,True
56,925439071,925375056,InternetArchiveBot,27015025,2019-11-10T03:36:35Z,8654,
