,pageid,ns,title
0,682710,0,Hong Kong Government
1,696161,0,Hong Kong government
2,2129193,0,HKSAR government
3,2129199,0,HKSAR Government
4,15323716,0,Government of the Hong Kong Special Administrative Region of the People's Republic of China
5,15323726,0,Government of the Hong Kong Special Administrative Region
6,15323731,0,The Government of the Hong Kong Special Administrative Region
7,15323737,0,The Government of the Hong Kong Special Administrative Region of the People's Republic of China
8,15323746,0,The Hong Kong Government
9,15323786,0,中華人民共和國香港特別行政區政府
10,15323791,0,香港政府
11,18836456,0,Hong kong government
12,19629430,0,Government of Hong Kong Special Administrative Region
13,23084425,0,Government of the HKSAR
14,24183439,0,Government of HK
15,24183443,0,HK Government
16,25163545,0,Government of Hongkong
17,28958925,0,The Government of Hong Kong
18,46656081,0,中华人民共和国香港特别行政区政府
19,47622298,0,Hong Kong SAR Government
20,50900241,0,HKSARG
21,59014393,0,HK Special Administrative Region Govt.
22,59014394,0,HK Special Administrative Region Government
