,revid,parentid,user,userid,timestamp,size,anon
0,778576150,0,Universehk,1355576,2017-05-04T00:12:51Z,869,
1,778576720,778576150,Universehk,1355576,2017-05-04T00:17:58Z,2686,
2,778576836,778576720,Elliot321,20842734,2017-05-04T00:19:02Z,2687,
3,778576880,778576836,Universehk,1355576,2017-05-04T00:19:28Z,2687,
4,778744819,778576880,Tinton5,9806113,2017-05-05T00:40:13Z,2735,
5,778744888,778744819,Tinton5,9806113,2017-05-05T00:40:38Z,2734,
6,778823219,778744888,Diannaa,10728040,2017-05-05T12:19:37Z,702,
7,778989896,778823219,Diannaa,10728040,2017-05-06T11:14:19Z,2912,
8,811335421,778989896,222.167.166.187,0,2017-11-20T23:50:51Z,2921,True
9,811384674,811335421,Patar knight,2325890,2017-11-21T07:51:21Z,2912,
10,826796790,811384674,Ira Leviton,25046916,2018-02-21T01:40:43Z,2902,
11,901782582,826796790,194.207.146.167,0,2019-06-14T07:33:34Z,3221,True
12,901782676,901782582,194.207.146.167,0,2019-06-14T07:34:47Z,3237,True
13,901782766,901782676,194.207.146.167,0,2019-06-14T07:36:10Z,3251,True
14,901783387,901782766,194.207.146.167,0,2019-06-14T07:45:29Z,3300,True
15,910224964,901783387,218.103.190.73,0,2019-08-10T15:18:43Z,3330,True
16,912627153,910224964,80.111.165.52,0,2019-08-26T21:18:15Z,3357,True
17,913387831,912627153,Amigao,11099276,2019-08-31T19:48:51Z,3768,
18,914414497,913387831,Underwaterbuffalo,6833051,2019-09-07T10:36:57Z,3817,
19,914938813,914414497,79.64.220.158,0,2019-09-10T07:43:08Z,3836,True
20,914941882,914938813,OliWatson,36294887,2019-09-10T08:14:48Z,3982,
21,914942197,914941882,OliWatson,36294887,2019-09-10T08:16:10Z,3986,
22,914981357,914942197,Yutsi,9944834,2019-09-10T14:26:26Z,3989,
23,914981514,914981357,Yutsi,9944834,2019-09-10T14:27:26Z,3987,
24,915074153,914981514,144.92.38.231,0,2019-09-11T02:19:21Z,3993,True
25,915127042,915074153,80.111.44.144,0,2019-09-11T11:05:15Z,3982,True
26,915127251,915127042,80.111.44.144,0,2019-09-11T11:06:58Z,4011,True
27,915240665,915127251,Amigao,11099276,2019-09-12T01:18:38Z,4044,
28,915350496,915240665,Underwaterbuffalo,6833051,2019-09-12T18:34:43Z,4043,
29,915576639,915350496,Flaughtin,36884324,2019-09-14T02:58:46Z,4027,
30,915625101,915576639,80.111.44.144,0,2019-09-14T10:34:36Z,4016,True
31,915741914,915625101,Mariogoods,34143604,2019-09-15T02:14:57Z,4110,
32,915741955,915741914,Mariogoods,34143604,2019-09-15T02:15:25Z,4103,
33,915744111,915741955,AnomieBOT,7611264,2019-09-15T02:36:06Z,4123,
34,915979433,915744111,Mariogoods,34143604,2019-09-16T09:22:52Z,6641,
35,915979620,915979433,Mariogoods,34143604,2019-09-16T09:24:37Z,6677,
36,915979674,915979620,Mariogoods,34143604,2019-09-16T09:25:05Z,6678,
37,915980464,915979674,Mariogoods,34143604,2019-09-16T09:32:19Z,6560,
38,915980663,915980464,Mariogoods,34143604,2019-09-16T09:34:06Z,6534,
39,915980750,915980663,Mariogoods,34143604,2019-09-16T09:34:45Z,6582,
40,916382697,915980750,199.212.66.226,0,2019-09-18T16:42:49Z,6468,True
41,917852127,916382697,WikiCleanerBot,18872885,2019-09-25T19:59:08Z,6467,
42,918084903,917852127,119.247.15.195,0,2019-09-26T23:28:17Z,6596,True
43,918123506,918084903,Flaughtin,36884324,2019-09-27T04:10:20Z,5486,
44,918130702,918123506,Flaughtin,36884324,2019-09-27T05:19:54Z,8541,
45,918138605,918130702,Flaughtin,36884324,2019-09-27T06:35:14Z,10691,
46,918153523,918138605,Flaughtin,36884324,2019-09-27T08:34:26Z,14552,
47,918153675,918153523,Flaughtin,36884324,2019-09-27T08:35:41Z,14541,
48,918165461,918153675,Flaughtin,36884324,2019-09-27T10:01:46Z,14707,
49,918359473,918165461,Mariogoods,34143604,2019-09-28T08:24:32Z,15171,
50,918359602,918359473,Mariogoods,34143604,2019-09-28T08:25:52Z,15167,
51,918359681,918359602,Mariogoods,34143604,2019-09-28T08:26:27Z,15171,
52,918361694,918359681,Mariogoods,34143604,2019-09-28T08:43:57Z,15171,
53,918361735,918361694,Mariogoods,34143604,2019-09-28T08:44:20Z,15175,
