,revid,parentid,user,userid,timestamp,size,anon,page_id
0,915003334,0,Laiwinglong,14495684,2019-09-10T17:11:18Z,808,,61744070
1,915004064,915003334,Discospinster,82432,2019-09-10T17:16:40Z,808,,61744070
2,915004067,915004064,Discospinster,82432,2019-09-10T17:16:40Z,880,,61744070
3,915004344,0,Laiwinglong,14495684,2019-09-10T17:18:15Z,878,,61744070
4,915005326,915004344,Discospinster,82432,2019-09-10T17:23:30Z,897,,61744070
5,915005805,915005326,Laiwinglong,14495684,2019-09-10T17:25:53Z,1192,,61744070
6,915005935,915005805,Laiwinglong,14495684,2019-09-10T17:26:38Z,1140,,61744070
7,915008005,915005935,Laiwinglong,14495684,2019-09-10T17:38:42Z,1150,,61744070
8,915011523,915008005,Kusma,145855,2019-09-10T18:03:04Z,1191,,61744070
9,915020390,915011523,Kusma,145855,2019-09-10T19:11:12Z,1534,,61744070
10,915020455,915020390,Kusma,145855,2019-09-10T19:11:36Z,1551,,61744070
11,915021033,915020455,Kusma,145855,2019-09-10T19:15:23Z,1983,,61744070
12,915099825,915021033,Abishe,30380496,2019-09-11T06:30:50Z,2020,,61744070
13,915121247,915099825,Mazewaxie,25082147,2019-09-11T10:10:14Z,2022,,61744070
14,915134901,915121247,Jordanopia,30733947,2019-09-11T12:20:23Z,2024,,61744070
15,915136588,915134901,Kevin184901462,26738823,2019-09-11T12:35:45Z,2674,,61744070
16,915153768,915136588,Kevin184901462,26738823,2019-09-11T14:53:14Z,2692,,61744070
17,915162031,915153768,Jabo-er,15141079,2019-09-11T15:54:02Z,2650,,61744070
18,915172219,915162031,AnotherManicMonday,37331345,2019-09-11T17:08:23Z,3041,,61744070
19,915173672,915172219,AnotherManicMonday,37331345,2019-09-11T17:17:54Z,3485,,61744070
20,915173720,915173672,AnotherManicMonday,37331345,2019-09-11T17:18:15Z,3485,,61744070
21,915174476,915173720,AnotherManicMonday,37331345,2019-09-11T17:23:22Z,3488,,61744070
22,915174555,915174476,AnotherManicMonday,37331345,2019-09-11T17:24:01Z,3507,,61744070
23,915174942,915174555,AnotherManicMonday,37331345,2019-09-11T17:26:49Z,3594,,61744070
24,915174945,915174942,ClueBot NG,13286072,2019-09-11T17:26:50Z,2650,,61744070
25,915175248,915174945,AnotherManicMonday,37331345,2019-09-11T17:28:54Z,3594,,61744070
26,915175359,915175248,AnotherManicMonday,37331345,2019-09-11T17:29:47Z,3593,,61744070
27,915175382,915175359,AnotherManicMonday,37331345,2019-09-11T17:29:59Z,3542,,61744070
28,915177184,915175382,74.109.239.64,0,2019-09-11T17:41:21Z,2874,True,61744070
29,915177721,915177184,AnotherManicMonday,37331345,2019-09-11T17:44:34Z,2853,,61744070
30,915177768,915177721,AnotherManicMonday,37331345,2019-09-11T17:44:51Z,2852,,61744070
31,915224851,915177768,SpinnerLaserz,36768064,2019-09-11T23:12:20Z,2876,,61744070
32,915231121,915224851,Nath87,2542884,2019-09-12T00:03:06Z,3040,,61744070
33,915249107,915231121,202.75.86.153,0,2019-09-12T02:33:37Z,3241,True,61744070
34,915249287,915249107,202.75.86.153,0,2019-09-12T02:35:23Z,3247,True,61744070
35,915249472,915249287,202.75.86.153,0,2019-09-12T02:37:17Z,3275,True,61744070
36,915249908,915249472,C bigperson,37334309,2019-09-12T02:41:55Z,3332,,61744070
37,915325960,915249908,Jabo-er,15141079,2019-09-12T15:27:49Z,3500,,61744070
38,915337987,915325960,安眠3,14591249,2019-09-12T16:56:45Z,3691,,61744070
39,915338091,915337987,安眠3,14591249,2019-09-12T16:57:31Z,3701,,61744070
40,915338186,915338091,安眠3,14591249,2019-09-12T16:58:07Z,3717,,61744070
41,915339791,915338186,安眠3,14591249,2019-09-12T17:10:40Z,3753,,61744070
42,915346467,915339791,安眠3,14591249,2019-09-12T18:03:56Z,3791,,61744070
43,915347118,915346467,安眠3,14591249,2019-09-12T18:08:19Z,3888,,61744070
44,915356136,915347118,User-duck,28568042,2019-09-12T19:18:15Z,3877,,61744070
45,915362889,915356136,SpinnerLaserz,36768064,2019-09-12T20:08:32Z,3902,,61744070
46,915363609,915362889,SpinnerLaserz,36768064,2019-09-12T20:13:31Z,3922,,61744070
47,915364208,915363609,Jafarw,1302918,2019-09-12T20:17:36Z,3990,,61744070
48,915401758,915364208,38.39.199.2,0,2019-09-13T01:34:33Z,4507,True,61744070
49,915404572,915401758,38.39.199.2,0,2019-09-13T02:03:19Z,4595,True,61744070
50,915416748,915404572,38.39.199.2,0,2019-09-13T04:14:15Z,5864,True,61744070
51,915421903,915416748,Iamahumanprobably,34004940,2019-09-13T05:12:15Z,6207,,61744070
52,915424840,915421903,Kdm852,18929001,2019-09-13T05:47:26Z,7126,,61744070
53,915425193,915424840,Marc87,7298889,2019-09-13T05:50:30Z,7220,,61744070
54,915425345,915425193,Kdm852,18929001,2019-09-13T05:52:22Z,7287,,61744070
55,915427284,915425345,AnomieBOT,7611264,2019-09-13T06:17:09Z,7297,,61744070
56,915428379,915427284,Marc87,7298889,2019-09-13T06:30:12Z,7359,,61744070
57,915441663,915428379,42.200.159.163,0,2019-09-13T08:58:24Z,7297,True,61744070
58,915479044,915441663,61.239.162.14,0,2019-09-13T14:16:26Z,8100,True,61744070
59,915479050,915479044,ClueBot NG,13286072,2019-09-13T14:16:28Z,7297,,61744070
60,915479092,915479050,74.109.239.64,0,2019-09-13T14:16:44Z,4766,True,61744070
61,915492527,915479092,80.111.44.144,0,2019-09-13T15:49:53Z,4761,True,61744070
62,915599653,915492527,The C of E,6965027,2019-09-14T06:33:01Z,4967,,61744070
63,915599862,915599653,The C of E,6965027,2019-09-14T06:35:52Z,5346,,61744070
64,915600370,915599862,The C of E,6965027,2019-09-14T06:41:51Z,5385,,61744070
65,915600427,915600370,The C of E,6965027,2019-09-14T06:42:27Z,5433,,61744070
66,915600483,915600427,The C of E,6965027,2019-09-14T06:42:57Z,5476,,61744070
67,915600515,915600483,Citation bot,7903804,2019-09-14T06:43:15Z,5470,,61744070
68,915601782,915600515,220.246.150.135,0,2019-09-14T06:57:37Z,5469,True,61744070
69,915601805,915601782,220.246.150.135,0,2019-09-14T06:57:53Z,5470,True,61744070
70,915604082,915601805,Cossaxx,10061784,2019-09-14T07:22:50Z,5486,,61744070
71,915630113,915604082,Pancho507,23914831,2019-09-14T11:23:16Z,5472,,61744070
72,915630216,915630113,Pancho507,23914831,2019-09-14T11:24:14Z,5471,,61744070
73,915662664,915630216,Pokelova,7801539,2019-09-14T15:48:18Z,5498,,61744070
74,915677897,915662664,AnotherManicMonday,37331345,2019-09-14T17:47:02Z,6385,,61744070
75,915678106,915677897,AnotherManicMonday,37331345,2019-09-14T17:48:33Z,6385,,61744070
76,915682587,915678106,Glorytoourland,37353553,2019-09-14T18:27:50Z,9024,,61744070
77,915684131,915682587,Glorytoourland,37353553,2019-09-14T18:42:00Z,9567,,61744070
78,915685343,915684131,Glorytoourland,37353553,2019-09-14T18:51:22Z,10049,,61744070
79,915687896,915685343,Ohconfucius,736651,2019-09-14T19:12:15Z,6486,,61744070
80,915687955,915687896,Ohconfucius,736651,2019-09-14T19:12:43Z,6479,,61744070
81,915688016,915687955,Ohconfucius,736651,2019-09-14T19:13:06Z,6507,,61744070
82,915688421,915688016,The C of E,6965027,2019-09-14T19:16:29Z,6534,,61744070
83,915689856,915688421,Ohconfucius,736651,2019-09-14T19:25:51Z,5987,,61744070
84,915690278,915689856,Ohconfucius,736651,2019-09-14T19:28:45Z,6023,,61744070
85,915690609,915690278,Ohconfucius,736651,2019-09-14T19:31:16Z,6270,,61744070
86,915693417,915690609,Ohconfucius,736651,2019-09-14T19:50:34Z,6292,,61744070
87,915693460,915693417,Ohconfucius,736651,2019-09-14T19:50:49Z,6440,,61744070
88,915693606,915693460,Ohconfucius,736651,2019-09-14T19:51:42Z,6441,,61744070
89,915696934,915693606,80.111.44.144,0,2019-09-14T20:14:23Z,6460,True,61744070
90,915730314,915696934,Zanhe,10400497,2019-09-15T00:38:21Z,6265,,61744070
91,915730422,915730314,Zanhe,10400497,2019-09-15T00:39:19Z,6259,,61744070
92,915730632,915730422,Zanhe,10400497,2019-09-15T00:41:00Z,6249,,61744070
93,915730689,915730632,Zanhe,10400497,2019-09-15T00:41:24Z,6245,,61744070
94,915745617,915730689,Wpcpey,3875779,2019-09-15T02:49:31Z,6524,,61744070
95,915745640,915745617,Wpcpey,3875779,2019-09-15T02:49:45Z,6516,,61744070
96,915764477,915745640,Flag4567,37257484,2019-09-15T05:37:17Z,7540,,61744070
97,915766600,915764477,Flag4567,37257484,2019-09-15T05:58:34Z,6532,,61744070
98,915782984,915766600,80.111.44.144,0,2019-09-15T08:37:27Z,6541,True,61744070
99,915793609,915782984,The C of E,6965027,2019-09-15T10:24:15Z,6564,,61744070
100,915800898,915793609,Feminist,25530780,2019-09-15T11:30:25Z,6729,,61744070
101,915802222,915800898,Feminist,25530780,2019-09-15T11:43:17Z,6684,,61744070
102,915806245,915802222,The C of E,6965027,2019-09-15T12:20:42Z,6767,,61744070
103,915807251,915806245,安眠3,14591249,2019-09-15T12:29:22Z,7154,,61744070
104,915808129,915807251,Feminist,25530780,2019-09-15T12:38:02Z,7575,,61744070
105,915809510,915808129,安眠3,14591249,2019-09-15T12:50:36Z,7594,,61744070
106,915870994,915809510,Kinos0634,22787675,2019-09-15T18:58:42Z,7603,,61744070
107,915875599,915870994,Kinos0634,22787675,2019-09-15T19:27:03Z,7603,,61744070
108,915875944,915875599,Kinos0634,22787675,2019-09-15T19:29:19Z,7603,,61744070
109,915912377,915875944,170.251.49.111,0,2019-09-15T23:46:16Z,9009,True,61744070
110,915913010,915912377,170.251.49.111,0,2019-09-15T23:51:16Z,9001,True,61744070
111,915920196,915913010,170.251.49.111,0,2019-09-16T00:45:44Z,9024,True,61744070
112,915925729,915920196,Feminist,25530780,2019-09-16T01:29:39Z,9842,,61744070
113,915925803,915925729,Feminist,25530780,2019-09-16T01:30:13Z,9866,,61744070
114,915926047,915925803,Feminist,25530780,2019-09-16T01:32:06Z,9794,,61744070
115,915928517,915926047,Feminist,25530780,2019-09-16T01:51:54Z,10464,,61744070
116,915958216,915928517,12.163.164.180,0,2019-09-16T06:05:04Z,11183,True,61744070
117,915958302,915958216,12.163.164.180,0,2019-09-16T06:05:56Z,11183,True,61744070
118,915958833,915958302,12.163.164.180,0,2019-09-16T06:11:12Z,11182,True,61744070
119,915959109,915958833,12.163.164.180,0,2019-09-16T06:13:59Z,11188,True,61744070
120,915959503,915959109,12.163.164.180,0,2019-09-16T06:17:53Z,11205,True,61744070
121,915959755,915959503,12.163.164.180,0,2019-09-16T06:20:04Z,11194,True,61744070
122,915963686,915959755,安眠3,14591249,2019-09-16T06:58:53Z,11218,,61744070
123,915967539,915963686,安眠3,14591249,2019-09-16T07:39:44Z,11342,,61744070
124,915969188,915967539,安眠3,14591249,2019-09-16T07:54:52Z,11401,,61744070
125,915974456,915969188,Ohc on the move,17816287,2019-09-16T08:40:54Z,9249,,61744070
126,915976191,915974456,安眠3,14591249,2019-09-16T08:57:45Z,9735,,61744070
127,915983975,915976191,Kdm852,18929001,2019-09-16T10:03:30Z,9749,,61744070
128,915987896,915983975,Ben 123 warrior,37268305,2019-09-16T10:42:13Z,9813,,61744070
129,915990655,915987896,Feminist,25530780,2019-09-16T11:05:19Z,9803,,61744070
130,915990678,915990655,Feminist,25530780,2019-09-16T11:05:32Z,9739,,61744070
131,916003281,915990678,安眠3,14591249,2019-09-16T13:02:18Z,9750,,61744070
132,916009450,916003281,Feminist,25530780,2019-09-16T13:51:44Z,9748,,61744070
133,916013252,916009450,Jabo-er,15141079,2019-09-16T14:22:26Z,9855,,61744070
134,916022684,916013252,Feminist,25530780,2019-09-16T15:26:50Z,9863,,61744070
135,916039294,916022684,The C of E,6965027,2019-09-16T17:20:07Z,9940,,61744070
136,916085576,916039294,Ben 123 warrior,37268305,2019-09-16T22:48:01Z,10019,,61744070
137,916101805,916085576,189.226.230.253,0,2019-09-17T01:12:48Z,12405,True,61744070
138,916130512,916101805,Citobun,19212093,2019-09-17T05:50:01Z,12326,,61744070
139,916168700,916130512,Citobun,19212093,2019-09-17T12:05:57Z,12270,,61744070
140,916169155,916168700,Citobun,19212093,2019-09-17T12:09:49Z,12270,,61744070
141,916170221,916169155,Ben 123 warrior,37268305,2019-09-17T12:18:49Z,12320,,61744070
142,916185611,916170221,Jabo-er,15141079,2019-09-17T14:23:58Z,10182,,61744070
143,916186843,916185611,Jabo-er,15141079,2019-09-17T14:32:16Z,10156,,61744070
144,916200435,916186843,Jabo-er,15141079,2019-09-17T16:02:53Z,10959,,61744070
145,916285133,916200435,安眠3,14591249,2019-09-18T03:06:11Z,11397,,61744070
146,916285444,916285133,安眠3,14591249,2019-09-18T03:09:16Z,11396,,61744070
147,916286621,916285444,Feminist,25530780,2019-09-18T03:21:28Z,11382,,61744070
148,916301593,916286621,Ben 123 warrior,37268305,2019-09-18T06:03:37Z,11450,,61744070
149,916310391,916301593,Zanhe,10400497,2019-09-18T07:44:21Z,11382,,61744070
150,916310654,916310391,Zanhe,10400497,2019-09-18T07:46:41Z,11367,,61744070
151,916311685,916310654,Ben 123 warrior,37268305,2019-09-18T07:58:15Z,11417,,61744070
152,916317898,916311685,182.239.120.229,0,2019-09-18T08:45:28Z,11915,True,61744070
153,916319414,916317898,182.239.120.229,0,2019-09-18T09:00:24Z,11923,True,61744070
154,916332521,916319414,The C of E,6965027,2019-09-18T10:54:42Z,11873,,61744070
155,916339885,916332521,Ben 123 warrior,37268305,2019-09-18T11:51:53Z,11936,,61744070
156,916340975,916339885,H78c67c,28560349,2019-09-18T12:00:32Z,11873,,61744070
157,916346521,916340975,Ben 123 warrior,37268305,2019-09-18T12:42:40Z,12006,,61744070
158,916349644,916346521,H78c67c,28560349,2019-09-18T13:06:42Z,11873,,61744070
159,916360569,916349644,Jabo-er,15141079,2019-09-18T14:26:04Z,11650,,61744070
160,916361399,916360569,Ben 123 warrior,37268305,2019-09-18T14:31:25Z,11693,,61744070
161,916362081,916361399,Jabo-er,15141079,2019-09-18T14:35:02Z,11256,,61744070
162,916367063,916362081,67.21.155.5,0,2019-09-18T15:03:18Z,11728,True,61744070
163,916367217,916367063,Kb03,19012991,2019-09-18T15:04:04Z,11256,,61744070
164,916367745,916367217,67.21.155.5,0,2019-09-18T15:07:16Z,12420,True,61744070
165,916368484,916367745,H78c67c,28560349,2019-09-18T15:13:09Z,11213,,61744070
166,916387841,916368484,80.111.44.144,0,2019-09-18T17:17:15Z,11148,True,61744070
167,916387984,916387841,80.111.44.144,0,2019-09-18T17:18:09Z,11082,True,61744070
168,916549360,916387984,HapHaxion,13501746,2019-09-19T12:58:29Z,11082,,61744070
169,916549825,916549360,HapHaxion,13501746,2019-09-19T13:00:22Z,11081,,61744070
170,916550041,916549825,HapHaxion,13501746,2019-09-19T13:01:41Z,11098,,61744070
171,916557634,916550041,Jabo-er,15141079,2019-09-19T13:48:53Z,11469,,61744070
172,916567717,916557634,Yoninah,317119,2019-09-19T14:45:59Z,11473,,61744070
173,916623261,916567717,Ionoxphere,37275773,2019-09-19T20:16:45Z,11775,,61744070
174,916709220,916623261,Ben 123 warrior,37268305,2019-09-20T06:32:54Z,11828,,61744070
175,916728757,916709220,Anumengelamun,26561165,2019-09-20T09:48:01Z,12902,,61744070
176,916728972,916728757,Anumengelamun,26561165,2019-09-20T09:50:58Z,12944,,61744070
177,916728992,916728972,Anumengelamun,26561165,2019-09-20T09:51:16Z,12944,,61744070
178,916729116,916728992,Anumengelamun,26561165,2019-09-20T09:53:06Z,12947,,61744070
179,916729594,916729116,Mariogoods,34143604,2019-09-20T09:58:37Z,12894,,61744070
180,916741622,916729594,203.218.65.106,0,2019-09-20T11:59:20Z,13002,True,61744070
181,916741711,916741622,203.218.65.106,0,2019-09-20T11:59:57Z,13003,True,61744070
182,916743888,916741711,80.111.44.144,0,2019-09-20T12:17:21Z,12867,True,61744070
183,916743929,916743888,80.111.44.144,0,2019-09-20T12:17:40Z,12869,True,61744070
184,916761688,916743929,Kinos0634,22787675,2019-09-20T14:21:37Z,12761,,61744070
185,916765961,916761688,Jabo-er,15141079,2019-09-20T14:48:12Z,12897,,61744070
186,916766189,916765961,Jabo-er,15141079,2019-09-20T14:49:42Z,12895,,61744070
187,916780007,916766189,Kinos0634,22787675,2019-09-20T16:07:50Z,12720,,61744070
188,916780252,916780007,Kinos0634,22787675,2019-09-20T16:09:29Z,12593,,61744070
189,916781119,916780252,Kinos0634,22787675,2019-09-20T16:14:05Z,12786,,61744070
190,916781369,916781119,80.111.44.144,0,2019-09-20T16:15:37Z,12838,True,61744070
191,916781719,916781369,80.111.44.144,0,2019-09-20T16:17:41Z,12859,True,61744070
192,916781841,916781719,Jabo-er,15141079,2019-09-20T16:18:17Z,12807,,61744070
193,916782109,916781841,Jabo-er,15141079,2019-09-20T16:19:50Z,12786,,61744070
194,916782188,916782109,80.111.44.144,0,2019-09-20T16:20:18Z,12788,True,61744070
195,916782333,916782188,Kinos0634,22787675,2019-09-20T16:21:14Z,12800,,61744070
196,916783212,916782333,Kinos0634,22787675,2019-09-20T16:26:22Z,12798,,61744070
197,916784456,916783212,Kinos0634,22787675,2019-09-20T16:33:45Z,12811,,61744070
198,916801464,916784456,JJMC89 bot III,35936988,2019-09-20T18:18:45Z,12789,,61744070
199,916813196,916801464,Kinos0634,22787675,2019-09-20T19:28:19Z,12778,,61744070
200,916851212,916813196,Mandarax,191757,2019-09-20T23:52:04Z,12770,,61744070
201,916851321,916851212,Mandarax,191757,2019-09-20T23:52:51Z,12774,,61744070
202,916851450,916851321,Mandarax,191757,2019-09-20T23:54:04Z,12772,,61744070
203,916851714,916851450,Mandarax,191757,2019-09-20T23:58:28Z,12777,,61744070
204,916916064,916851714,Ben Kwan,37406350,2019-09-21T09:31:48Z,12827,,61744070
205,916925919,916916064,OceanHok,21559323,2019-09-21T11:13:54Z,12777,,61744070
206,916985724,916925919,Oshwah,3174456,2019-09-21T18:21:52Z,12777,,61744070
207,916985733,916985724,Oshwah,3174456,2019-09-21T18:21:53Z,12867,,61744070
208,917405075,916985733,Feminist,25530780,2019-09-23T17:52:04Z,17226,,61744070
209,917405282,917405075,Feminist,25530780,2019-09-23T17:53:03Z,17265,,61744070
210,917412842,917405282,Feminist,25530780,2019-09-23T18:32:47Z,22052,,61744070
211,917412935,917412842,Feminist,25530780,2019-09-23T18:33:18Z,22043,,61744070
212,917415537,917412935,Feminist,25530780,2019-09-23T18:47:32Z,22561,,61744070
213,917415660,917415537,Feminist,25530780,2019-09-23T18:48:16Z,22597,,61744070
214,917415716,917415660,Feminist,25530780,2019-09-23T18:48:31Z,22597,,61744070
215,917415961,917415716,Feminist,25530780,2019-09-23T18:49:53Z,22607,,61744070
216,917416624,917415961,Feminist,25530780,2019-09-23T18:53:18Z,23481,,61744070
217,917416689,917416624,Feminist,25530780,2019-09-23T18:53:47Z,23501,,61744070
218,917427001,917416689,AngryHarpy,36731198,2019-09-23T19:51:05Z,23358,,61744070
219,917482741,917427001,Feminist,25530780,2019-09-24T01:40:08Z,23379,,61744070
220,917484274,917482741,Feminist,25530780,2019-09-24T01:51:26Z,24133,,61744070
221,917484308,917484274,Feminist,25530780,2019-09-24T01:51:39Z,24116,,61744070
222,917484369,917484308,Feminist,25530780,2019-09-24T01:52:03Z,24134,,61744070
223,917486503,917484369,Feminist,25530780,2019-09-24T02:08:18Z,25511,,61744070
224,917486535,917486503,Feminist,25530780,2019-09-24T02:08:32Z,25504,,61744070
225,917526305,917486535,Dadaszehon,20662096,2019-09-24T06:58:54Z,25528,,61744070
226,917540213,917526305,Ravenpuff,22132037,2019-09-24T09:02:31Z,25563,,61744070
227,917550887,917540213,Sheila1988,30585864,2019-09-24T10:15:56Z,25623,,61744070
228,917564834,917550887,Ryboy42,32259892,2019-09-24T11:59:13Z,28975,,61744070
229,917569623,917564834,Feminist,25530780,2019-09-24T12:36:16Z,31120,,61744070
230,917569834,917569623,Feminist,25530780,2019-09-24T12:37:50Z,31118,,61744070
231,917587490,917569834,Feminist,25530780,2019-09-24T14:32:44Z,31616,,61744070
232,917587620,917587490,Feminist,25530780,2019-09-24T14:33:31Z,31621,,61744070
233,917588236,917587620,Feminist,25530780,2019-09-24T14:37:07Z,31621,,61744070
234,917670826,917588236,Sandstein,359256,2019-09-24T22:16:48Z,31679,,61744070
235,917672566,917670826,ShellBP,13604334,2019-09-24T22:27:56Z,31678,,61744070
236,918506108,917672566,DumbBOT,1310918,2019-09-29T00:40:19Z,31588,,61744070
237,918550663,918506108,MusicSounds1011,37467359,2019-09-29T06:40:42Z,35234,,61744070
238,918552681,918550663,210.6.95.4,0,2019-09-29T07:02:50Z,35751,True,61744070
239,918553770,918552681,MusicSounds1011,37467359,2019-09-29T07:12:40Z,35781,,61744070
240,918555329,918553770,MusicSounds1011,37467359,2019-09-29T07:25:50Z,35807,,61744070
241,918555860,918555329,MusicSounds1011,37467359,2019-09-29T07:29:30Z,36088,,61744070
242,918556014,918555860,MusicSounds1011,37467359,2019-09-29T07:30:40Z,36091,,61744070
243,918558145,918556014,MusicSounds1011,37467359,2019-09-29T07:45:46Z,36072,,61744070
244,918610202,918558145,ChPenguiN,24952182,2019-09-29T14:50:06Z,36138,,61744070
245,918612954,918610202,MusicSounds1011,37467359,2019-09-29T15:03:40Z,36162,,61744070
246,918619497,918612954,MusicSounds1011,37467359,2019-09-29T15:41:22Z,37694,,61744070
247,918621590,918619497,MusicSounds1011,37467359,2019-09-29T15:53:57Z,37749,,61744070
248,918622886,918621590,MusicSounds1011,37467359,2019-09-29T16:03:49Z,37760,,61744070
249,918623107,918622886,MusicSounds1011,37467359,2019-09-29T16:05:09Z,37749,,61744070
250,918630338,918623107,MusicSounds1011,37467359,2019-09-29T16:47:21Z,37753,,61744070
251,918630780,918630338,Ohconfucius,736651,2019-09-29T16:49:53Z,37833,,61744070
252,918634379,918630780,AnomieBOT,7611264,2019-09-29T17:10:58Z,37853,,61744070
253,918670702,918634379,98.230.196.188,0,2019-09-29T20:13:48Z,37828,True,61744070
254,918807907,918670702,MusicSounds1011,37467359,2019-09-30T11:39:02Z,37954,,61744070
255,918896903,918807907,117.54.250.2,0,2019-09-30T19:46:25Z,37918,True,61744070
256,918941176,918896903,Gwebhk0,37464970,2019-10-01T00:30:34Z,38609,,61744070
257,918951119,918941176,MusicSounds1011,37467359,2019-10-01T01:41:36Z,38635,,61744070
258,918957757,918951119,MusicSounds1011,37467359,2019-10-01T02:37:15Z,39635,,61744070
259,918969341,918957757,Jabo-er,15141079,2019-10-01T04:05:08Z,39633,,61744070
260,918971643,918969341,Jabo-er,15141079,2019-10-01T04:26:19Z,39680,,61744070
261,918972034,918971643,Jabo-er,15141079,2019-10-01T04:29:28Z,39705,,61744070
262,918974280,918972034,MusicSounds1011,37467359,2019-10-01T04:47:48Z,39636,,61744070
263,918978466,918974280,Jabo-er,15141079,2019-10-01T05:34:01Z,39656,,61744070
264,918982169,918978466,MusicSounds1011,37467359,2019-10-01T06:17:40Z,39683,,61744070
265,918982834,918982169,MusicSounds1011,37467359,2019-10-01T06:25:32Z,39699,,61744070
266,918984299,918982834,MusicSounds1011,37467359,2019-10-01T06:43:37Z,40532,,61744070
267,918984394,918984299,MusicSounds1011,37467359,2019-10-01T06:44:39Z,40557,,61744070
268,918984782,918984394,MusicSounds1011,37467359,2019-10-01T06:49:13Z,40559,,61744070
269,918986601,918984782,MusicSounds1011,37467359,2019-10-01T07:08:34Z,40570,,61744070
270,918997727,918986601,MusicSounds1011,37467359,2019-10-01T08:45:13Z,40591,,61744070
271,919134382,918997727,Jordanopia,30733947,2019-10-02T00:54:19Z,40596,,61744070
272,919135216,919134382,Jordanopia,30733947,2019-10-02T01:01:04Z,40590,,61744070
273,919135485,919135216,Jordanopia,30733947,2019-10-02T01:03:36Z,40609,,61744070
274,919136886,919135485,Jordanopia,30733947,2019-10-02T01:15:59Z,40695,,61744070
275,919137847,919136886,Jordanopia,30733947,2019-10-02T01:24:55Z,40655,,61744070
276,919149999,919137847,Kinos0634,22787675,2019-10-02T03:02:50Z,40649,,61744070
277,919296465,919149999,Natg 19,3492060,2019-10-02T23:02:05Z,40649,,61744070
278,919321829,919296465,Jordanopia,30733947,2019-10-03T02:34:56Z,40650,,61744070
279,919366703,919321829,Alexanderlam128,27856325,2019-10-03T10:04:36Z,40628,,61744070
280,919919394,919366703,104.216.5.105,0,2019-10-06T17:04:32Z,40457,True,61744070
281,919921970,919919394,114.72.49.3,0,2019-10-06T17:22:24Z,41827,True,61744070
282,919922312,919921970,GCFSA,37525959,2019-10-06T17:24:06Z,41829,,61744070
283,919922505,919922312,GCFSA,37525959,2019-10-06T17:25:14Z,41841,,61744070
284,919922552,919922505,GCFSA,37525959,2019-10-06T17:25:31Z,41842,,61744070
285,919922913,919922552,GCFSA,37525959,2019-10-06T17:28:11Z,41852,,61744070
286,920002591,919922913,2604:2000:1403:654:489E:F734:A05F:1AF4,0,2019-10-07T03:58:18Z,41851,True,61744070
287,920078565,920002591,Diannaa,10728040,2019-10-07T15:20:11Z,40457,,61744070
288,920273044,920078565,Feminist,25530780,2019-10-08T18:08:03Z,40509,,61744070
289,920311430,920273044,On9zai,37523385,2019-10-08T23:19:24Z,40552,,61744070
290,920334859,920311430,Feminist,25530780,2019-10-09T03:01:44Z,40509,,61744070
291,920368471,920334859,On9zai,37523385,2019-10-09T09:56:35Z,40554,,61744070
292,920392386,920368471,Kinos0634,22787675,2019-10-09T14:06:15Z,40509,,61744070
293,920394562,920392386,Kinos0634,22787675,2019-10-09T14:23:57Z,40596,,61744070
294,920395242,920394562,Kinos0634,22787675,2019-10-09T14:30:05Z,40578,,61744070
295,920743478,920395242,103.127.65.76,0,2019-10-11T15:44:45Z,40571,True,61744070
296,920743544,920743478,103.127.65.76,0,2019-10-11T15:45:09Z,40564,True,61744070
297,920846562,920743544,Anumengelamun,26561165,2019-10-12T08:04:39Z,41709,,61744070
298,920846958,920846562,Anumengelamun,26561165,2019-10-12T08:10:05Z,41709,,61744070
299,920954105,920846958,Ohconfucius,736651,2019-10-12T23:32:14Z,41713,,61744070
