,revid,parentid,user,userid,timestamp,size,anon
0,632557913,0,Jerrypangpk,23014138,2014-11-05T14:11:23Z,9600,
1,632559330,632557913,Jerrypangpk,23014138,2014-11-05T14:26:37Z,9598,
2,632559767,632559330,Jerrypangpk,23014138,2014-11-05T14:31:10Z,9655,
3,632561202,632559767,Jerrypangpk,23014138,2014-11-05T14:46:12Z,9660,
4,632627761,632561202,Nikkimaria,372290,2014-11-06T00:23:39Z,9538,
5,632628015,632627761,Nikkimaria,372290,2014-11-06T00:26:08Z,9572,
6,632724993,632628015,BG19bot,14508071,2014-11-06T18:53:02Z,9547,
7,632829392,632724993,Rrburke,634828,2014-11-07T14:21:14Z,9669,
8,633061484,632829392,Nick Number,1526960,2014-11-09T07:06:24Z,9660,
9,635105335,633061484,Aabc271,23014156,2014-11-23T14:35:45Z,9677,
10,635185787,635105335,BattyBot,15996738,2014-11-24T02:50:42Z,9645,
11,640434120,635185787,Iaritmioawp,22040210,2014-12-31T21:56:30Z,9703,
12,643877138,640434120,GrahamHardy,2956291,2015-01-23T22:17:53Z,9747,
13,644381423,643877138,Jerrypangpk,23014138,2015-01-27T09:38:09Z,9817,
14,644381603,644381423,Jerrypangpk,23014138,2015-01-27T09:39:58Z,9821,
15,648324185,644381603,Underbar dk,677153,2015-02-22T13:52:14Z,9821,
16,648324291,648324185,Underbar dk,677153,2015-02-22T13:53:03Z,9792,
17,648595195,648324291,Illegitimate Barrister,12006778,2015-02-24T07:07:12Z,9802,
18,648706428,648595195,Underbar dk,677153,2015-02-24T23:37:56Z,9732,
19,648761601,648706428,Ohconfucius,736651,2015-02-25T09:00:41Z,10294,
20,648762671,648761601,Ohconfucius,736651,2015-02-25T09:11:19Z,10346,
21,648762851,648762671,Ohconfucius,736651,2015-02-25T09:12:56Z,10380,
22,648770352,648762851,Underbar dk,677153,2015-02-25T10:36:47Z,10325,
23,649214657,648770352,Benlisquare,262194,2015-02-28T11:17:27Z,10324,
24,649215346,649214657,Benlisquare,262194,2015-02-28T11:26:01Z,10361,
25,649216923,649215346,AnomieBOT,7611264,2015-02-28T11:46:41Z,10380,
26,649406830,649216923,JL-Bot,4773966,2015-03-01T18:06:58Z,10350,
27,650261943,649406830,BattyBot,15996738,2015-03-07T06:59:27Z,10332,
28,650385600,650261943,Ohconfucius,736651,2015-03-08T02:19:13Z,13290,
29,650387475,650385600,Ohconfucius,736651,2015-03-08T02:37:09Z,14339,
30,650389194,650387475,Ohconfucius,736651,2015-03-08T02:55:47Z,14624,
31,650389284,650389194,Ohconfucius,736651,2015-03-08T02:56:41Z,14637,
32,655649071,650389284,58.87.61.224,0,2015-04-09T08:18:34Z,14638,True
33,661342741,655649071,Ohconfucius,736651,2015-05-08T01:53:17Z,14677,
34,661346329,661342741,Ohconfucius,736651,2015-05-08T02:21:15Z,14672,
35,666933361,661346329,62.189.73.197,0,2015-06-14T17:57:13Z,15351,True
36,666933488,666933361,62.189.73.197,0,2015-06-14T17:58:18Z,15371,True
37,666934180,666933488,62.189.73.197,0,2015-06-14T18:03:49Z,16176,True
38,666934218,666934180,62.189.73.197,0,2015-06-14T18:04:07Z,16177,True
39,666934588,666934218,62.189.73.197,0,2015-06-14T18:06:49Z,16562,True
40,667180345,666934588,62.189.73.197,0,2015-06-16T11:17:52Z,18394,True
41,667180893,667180345,62.189.73.197,0,2015-06-16T11:23:57Z,19015,True
42,667180978,667180893,62.189.73.197,0,2015-06-16T11:24:46Z,19014,True
43,667333012,667180978,62.189.73.197,0,2015-06-17T11:09:36Z,19318,True
44,668840340,667333012,George Ho,595371,2015-06-27T00:38:09Z,19318,
45,668840370,668840340,George Ho,595371,2015-06-27T00:38:29Z,19320,
46,671840937,668840370,62.189.73.197,0,2015-07-17T10:48:59Z,19286,True
