,revid,parentid,user,userid,timestamp,size,anon,userhidden,page_id
0,919044410,0,MSG17,32220312.0,2019-10-01T14:57:59Z,1345,,,61933424
1,919044581,919044410,MSG17,32220312.0,2019-10-01T14:59:28Z,1662,,,61933424
2,919053939,919044581,Matthew hk,727505.0,2019-10-01T15:59:58Z,1784,,,61933424
3,919054008,919053939,Matthew hk,727505.0,2019-10-01T16:00:27Z,1592,,,61933424
4,919059245,919054008,117.54.250.2,0.0,2019-10-01T16:32:51Z,1956,True,,61933424
5,919059325,919059245,117.54.250.2,0.0,2019-10-01T16:33:21Z,1959,True,,61933424
6,919060533,919059325,MSG17,32220312.0,2019-10-01T16:40:53Z,2155,,,61933424
7,919086732,919060533,Boud,4492.0,2019-10-01T19:25:50Z,2147,,,61933424
8,919088097,919086732,Boud,4492.0,2019-10-01T19:33:47Z,2320,,,61933424
9,919118542,919088097,117.54.250.2,0.0,2019-10-01T23:03:54Z,2364,True,,61933424
10,919123355,919118542,Mariogoods,34143604.0,2019-10-01T23:37:25Z,2354,,,61933424
11,919138732,919123355,121.58.232.206,0.0,2019-10-02T01:32:45Z,2363,True,,61933424
12,919149862,919138732,DividedFrame,10531370.0,2019-10-02T03:01:46Z,2375,,,61933424
13,919211160,919149862,Tai Po Joe,36736629.0,2019-10-02T12:41:23Z,2285,,,61933424
14,919233390,919211160,Jabo-er,15141079.0,2019-10-02T15:22:26Z,4772,,,61933424
15,919247167,919233390,Wefk423,30693367.0,2019-10-02T17:02:44Z,5150,,,61933424
16,919247599,919247167,Wefk423,30693367.0,2019-10-02T17:05:46Z,5174,,,61933424
17,919278259,919247599,Ohconfucius,736651.0,2019-10-02T20:39:38Z,5145,,,61933424
18,919383709,919278259,MSG17,32220312.0,2019-10-03T13:05:45Z,4962,,,61933424
19,919409535,919383709,105.210.30.81,0.0,2019-10-03T15:52:14Z,4946,True,,61933424
20,919410234,919409535,Jabo-er,15141079.0,2019-10-03T15:56:23Z,4962,,,61933424
21,919410773,919410234,105.210.30.81,0.0,2019-10-03T16:00:00Z,4946,True,,61933424
22,919414940,919410773,Jabo-er,15141079.0,2019-10-03T16:25:49Z,4962,,,61933424
23,919419275,919414940,Jabo-er,15141079.0,2019-10-03T17:00:07Z,5650,,,61933424
24,919421402,919419275,204.40.130.136,0.0,2019-10-03T17:14:30Z,4946,True,,61933424
25,919472909,919421402,Jabo-er,15141079.0,2019-10-03T22:27:54Z,5870,,,61933424
26,919473477,919472909,MarioGom,30641919.0,2019-10-03T22:31:37Z,6240,,,61933424
27,919475811,919473477,Mariogoods,34143604.0,2019-10-03T22:47:25Z,6239,,,61933424
28,919522787,919475811,UY Scuti,19500131.0,2019-10-04T05:27:08Z,6240,,,61933424
29,919559111,919522787,OceanHok,21559323.0,2019-10-04T11:30:29Z,10077,,,61933424
30,919567452,919559111,Wefk423,30693367.0,2019-10-04T12:26:00Z,10231,,,61933424
31,919597077,919567452,89.248.248.2,0.0,2019-10-04T15:39:10Z,10207,True,,61933424
32,919597133,919597077,89.248.248.2,0.0,2019-10-04T15:39:34Z,10221,True,,61933424
33,919597334,919597133,89.248.248.2,0.0,2019-10-04T15:40:56Z,10234,True,,61933424
34,919605890,919597334,OceanHok,21559323.0,2019-10-04T16:33:26Z,10239,,,61933424
35,919636392,919605890,Cold Season,14968839.0,2019-10-04T20:06:33Z,10962,,,61933424
36,919654581,919636392,,,2019-10-04T22:50:25Z,11024,,True,61933424
37,919654628,919654581,Hurricane111,99272.0,2019-10-04T22:50:57Z,10962,,,61933424
38,919654730,919654628,,,2019-10-04T22:52:13Z,11006,,True,61933424
39,919654732,919654730,ClueBot NG,13286072.0,2019-10-04T22:52:15Z,10962,,,61933424
40,919654804,919654732,,,2019-10-04T22:53:12Z,11006,,True,61933424
41,919654820,919654804,Ponyo,3965251.0,2019-10-04T22:53:22Z,10962,,,61933424
42,919660219,919654820,Cold Season,14968839.0,2019-10-04T23:45:43Z,10965,,,61933424
43,919663348,919660219,Mariogoods,34143604.0,2019-10-05T00:13:37Z,10978,,,61933424
44,919749817,919663348,Cold Season,14968839.0,2019-10-05T15:11:40Z,11062,,,61933424
45,919750028,919749817,Cold Season,14968839.0,2019-10-05T15:13:11Z,11074,,,61933424
46,919783493,919750028,,,2019-10-05T19:35:38Z,11117,,True,61933424
47,919783511,919783493,Shellwood,2366721.0,2019-10-05T19:35:45Z,11074,,,61933424
48,919845443,919783511,Natg 19,3492060.0,2019-10-06T05:04:27Z,11089,,,61933424
49,919917470,919845443,Tobby72,9107368.0,2019-10-06T16:50:15Z,11215,,,61933424
50,919934903,919917470,Gok Wan Gaysian,37526505.0,2019-10-06T18:59:28Z,11386,,,61933424
51,919935682,919934903,Zzuuzz,365454.0,2019-10-06T19:06:05Z,11215,,,61933424
52,919969311,919935682,Mariogoods,34143604.0,2019-10-06T23:22:43Z,11271,,,61933424
53,919971291,919969311,AnomieBOT,7611264.0,2019-10-06T23:43:13Z,11289,,,61933424
54,920014838,919971291,嘉傑,34373489.0,2019-10-07T06:00:14Z,11389,,,61933424
55,920025120,920014838,MarioGom,30641919.0,2019-10-07T07:43:54Z,11868,,,61933424
56,920026101,920025120,MarioGom,30641919.0,2019-10-07T07:52:44Z,12266,,,61933424
57,920026372,920026101,MarioGom,30641919.0,2019-10-07T07:56:19Z,12262,,,61933424
58,920033221,920026372,1.152.105.252,0.0,2019-10-07T08:56:47Z,12369,True,,61933424
59,920033351,920033221,MarioGom,30641919.0,2019-10-07T08:57:41Z,12388,,,61933424
60,920036002,920033351,AnomieBOT,7611264.0,2019-10-07T09:17:45Z,12406,,,61933424
61,920046380,920036002,OceanHok,21559323.0,2019-10-07T10:56:07Z,17351,,,61933424
62,920046398,920046380,OceanHok,21559323.0,2019-10-07T10:56:20Z,17207,,,61933424
63,920050207,920046398,Arjayay,5718152.0,2019-10-07T11:29:20Z,17204,,,61933424
64,920062802,920050207,OceanHok,21559323.0,2019-10-07T13:26:21Z,17213,,,61933424
65,920091206,920062802,Cold Season,14968839.0,2019-10-07T16:41:16Z,17360,,,61933424
66,920091483,920091206,Cold Season,14968839.0,2019-10-07T16:43:05Z,17360,,,61933424
67,920099000,920091483,Natg 19,3492060.0,2019-10-07T17:33:08Z,17389,,,61933424
68,920099116,920099000,Natg 19,3492060.0,2019-10-07T17:33:57Z,17417,,,61933424
69,920108924,920099116,Tinkering Gnome,37180982.0,2019-10-07T18:35:39Z,17462,,,61933424
70,920292738,920108924,JWilk,5067238.0,2019-10-08T20:42:46Z,17366,,,61933424
71,920376452,920292738,OceanHok,21559323.0,2019-10-09T11:31:01Z,19444,,,61933424
