,revid,parentid,user,userid,timestamp,size,page_id
0,928728516,0,Underbar dk,677153,2019-12-01T07:33:59Z,25195,62473501
1,928729082,928728516,Underbar dk,677153,2019-12-01T07:40:57Z,25445,62473501
2,928729908,928729082,Underbar dk,677153,2019-12-01T07:50:39Z,25405,62473501
3,928730583,928729908,Underbar dk,677153,2019-12-01T07:59:46Z,25812,62473501
4,928730972,928730583,Underbar dk,677153,2019-12-01T08:04:23Z,25891,62473501
5,928731315,928730972,Hughesdarren,4128655,2019-12-01T08:08:49Z,26013,62473501
6,928731531,928731315,Underbar dk,677153,2019-12-01T08:11:19Z,25891,62473501
7,928731714,928731531,Underbar dk,677153,2019-12-01T08:13:29Z,25841,62473501
8,928733483,928731714,Underbar dk,677153,2019-12-01T08:35:12Z,25841,62473501
9,928733664,928733483,Underbar dk,677153,2019-12-01T08:37:15Z,25841,62473501
10,928808469,928733664,Underbar dk,677153,2019-12-01T20:03:53Z,25883,62473501
11,928849792,928808469,Underbar dk,677153,2019-12-02T01:38:01Z,25912,62473501
12,928892167,928849792,Orenburg1,10248457,2019-12-02T09:21:34Z,25913,62473501
13,928956306,928892167,Underbar dk,677153,2019-12-02T19:11:46Z,26123,62473501
14,928972138,928956306,Underbar dk,677153,2019-12-02T21:16:14Z,26172,62473501
15,929074378,928972138,Jacklamf1d14,19063298,2019-12-03T14:13:20Z,26178,62473501
16,929141546,929074378,Underbar dk,677153,2019-12-03T22:45:22Z,26206,62473501
17,929166766,929141546,Natg 19,3492060,2019-12-04T02:20:00Z,26180,62473501
18,929167050,929166766,Natg 19,3492060,2019-12-04T02:22:22Z,26175,62473501
19,929167759,929167050,Natg 19,3492060,2019-12-04T02:27:58Z,26177,62473501
20,929428234,929167759,Ohconfucius,736651,2019-12-05T19:37:42Z,26154,62473501
21,929428382,929428234,Ohconfucius,736651,2019-12-05T19:38:51Z,26154,62473501
22,929576019,929428382,Bonthefox3,35810938,2019-12-06T19:06:09Z,26479,62473501
23,929576055,929576019,Bonthefox3,35810938,2019-12-06T19:06:25Z,26472,62473501
24,929576216,929576055,Bonthefox3,35810938,2019-12-06T19:07:33Z,26469,62473501
25,929576317,929576216,Bonthefox3,35810938,2019-12-06T19:08:23Z,26471,62473501
26,929576362,929576317,Bonthefox3,35810938,2019-12-06T19:08:43Z,26479,62473501
27,929576548,929576362,Bonthefox3,35810938,2019-12-06T19:10:02Z,26488,62473501
28,929584521,929576548,Underbar dk,677153,2019-12-06T20:08:00Z,26440,62473501
29,929584824,929584521,Underbar dk,677153,2019-12-06T20:10:08Z,26438,62473501
30,929585343,929584824,Underbar dk,677153,2019-12-06T20:13:54Z,26448,62473501
