,revid,parentid,user,userid,timestamp,size,anon,page_id
0,926706052,0,Universehk,1355576,2019-11-18T04:55:33Z,1859,,62372795
1,926707021,926706052,Universehk,1355576,2019-11-18T05:08:01Z,4939,,62372795
2,926709802,926707021,Carsonbosco,19809087,2019-11-18T05:44:57Z,6644,,62372795
3,926712812,926709802,Universehk,1355576,2019-11-18T06:25:50Z,7580,,62372795
4,926715168,926712812,Neo-Jay,561624,2019-11-18T06:56:41Z,7580,,62372795
5,926715390,926715168,Neo-Jay,561624,2019-11-18T06:59:53Z,7599,,62372795
6,926716568,926715390,Neo-Jay,561624,2019-11-18T07:12:12Z,7599,,62372795
7,926716683,926716568,Neo-Jay,561624,2019-11-18T07:14:12Z,7628,,62372795
8,926717443,926716683,509marychan,37431005,2019-11-18T07:25:26Z,8515,,62372795
9,926717459,926717443,509marychan,37431005,2019-11-18T07:25:44Z,8520,,62372795
10,926717477,926717459,509marychan,37431005,2019-11-18T07:25:59Z,8521,,62372795
11,926717929,926717477,509marychan,37431005,2019-11-18T07:32:27Z,9224,,62372795
12,926719720,926717929,Lopifalko,11116033,2019-11-18T07:59:23Z,9268,,62372795
13,926720255,926719720,165.225.116.135,0,2019-11-18T08:07:14Z,9406,True,62372795
14,926720368,926720255,Neo-Jay,561624,2019-11-18T08:09:24Z,9452,,62372795
15,926721043,926720368,Sarah03033,37859443,2019-11-18T08:17:11Z,9884,,62372795
16,926721569,926721043,Neo-Jay,561624,2019-11-18T08:23:47Z,9876,,62372795
17,926723071,926721569,202.22.242.242,0,2019-11-18T08:44:27Z,10049,True,62372795
18,926723198,926723071,Sarah03033,37859443,2019-11-18T08:45:53Z,10573,,62372795
19,926723259,926723198,Universehk,1355576,2019-11-18T08:46:44Z,11007,,62372795
20,926723706,926723259,202.22.242.242,0,2019-11-18T08:52:49Z,10961,True,62372795
21,926723883,926723706,Sarah03033,37859443,2019-11-18T08:55:19Z,11069,,62372795
22,926724183,926723883,Sarah03033,37859443,2019-11-18T08:58:41Z,10868,,62372795
