,revid,parentid,user,userid,timestamp,size,anon,page_id
0,368922714,320483512,Cydebot,1215485,2010-06-19T03:48:38Z,380,,21934547
1,380181904,368922714,Clithering,3273000,2010-08-21T17:55:33Z,380,,21934547
2,380182006,380181904,Clithering,3273000,2010-08-21T17:56:09Z,380,,21934547
3,512884090,380182006,Yobot,7328338,2012-09-16T12:44:06Z,396,,21934547
4,724909987,512884090,Feminist,25530780,2016-06-12T09:51:26Z,819,,21934547
5,724910024,724909987,Feminist,25530780,2016-06-12T09:51:54Z,981,,21934547
6,724931103,724910024,AjaxSmack,353866,2016-06-12T13:46:03Z,1244,,21934547
7,724940731,724931103,PC78,2489774,2016-06-12T15:14:40Z,1242,,21934547
8,724941190,724940731,PC78,2489774,2016-06-12T15:18:34Z,1438,,21934547
9,725966844,724941190,Music1201,27871940,2016-06-19T02:16:55Z,2666,,21934547
10,725966999,725966844,Music1201,27871940,2016-06-19T02:18:20Z,2666,,21934547
11,749801298,725966999,InternetArchiveBot,27015025,2016-11-16T06:20:01Z,3818,,21934547
12,772393100,749801298,Sigehelmus,21621158,2017-03-27T00:49:55Z,4388,,21934547
13,772474614,772393100,Mamyles,2493464,2017-03-27T14:17:29Z,4659,,21934547
14,772475091,772474614,Mamyles,2493464,2017-03-27T14:21:06Z,4679,,21934547
15,772478048,772475091,The Rambling Man,270413,2017-03-27T14:41:57Z,4866,,21934547
16,772489855,772478048,Sigehelmus,21621158,2017-03-27T16:08:43Z,5875,,21934547
17,772579643,772489855,70.51.200.162,0,2017-03-28T03:37:20Z,5988,True,21934547
18,772591879,772579643,70.51.200.162,0,2017-03-28T05:54:09Z,6020,True,21934547
19,773259380,772591879,Ohconfucius,736651,2017-04-01T09:39:50Z,6873,,21934547
20,773268010,773259380,Sirlanz,4714987,2017-04-01T11:18:03Z,8209,,21934547
21,773308267,773268010,Lmmnhn,4599174,2017-04-01T16:58:14Z,8466,,21934547
22,773380124,773308267,Sirlanz,4714987,2017-04-02T01:55:11Z,8714,,21934547
23,773449652,773380124,Prodigyhk,3695730,2017-04-02T13:28:31Z,9121,,21934547
24,773452740,773449652,Prodigyhk,3695730,2017-04-02T13:57:54Z,9507,,21934547
25,773453438,773452740,You've gone incognito,27993049,2017-04-02T14:04:43Z,10547,,21934547
26,773453553,773453438,You've gone incognito,27993049,2017-04-02T14:05:51Z,10561,,21934547
27,773454750,773453553,Prodigyhk,3695730,2017-04-02T14:15:49Z,10843,,21934547
28,773455191,773454750,You've gone incognito,27993049,2017-04-02T14:19:56Z,11200,,21934547
29,773457122,773455191,Prodigyhk,3695730,2017-04-02T14:36:01Z,11790,,21934547
30,773457736,773457122,You've gone incognito,27993049,2017-04-02T14:41:47Z,12059,,21934547
31,773462152,773457736,Prodigyhk,3695730,2017-04-02T15:18:38Z,12404,,21934547
32,773463100,773462152,Lmmnhn,4599174,2017-04-02T15:27:09Z,13071,,21934547
33,773463277,773463100,Lmmnhn,4599174,2017-04-02T15:28:30Z,13093,,21934547
34,773463568,773463277,Lmmnhn,4599174,2017-04-02T15:30:25Z,13138,,21934547
35,773463848,773463568,Lmmnhn,4599174,2017-04-02T15:32:20Z,13505,,21934547
36,773463958,773463848,Lmmnhn,4599174,2017-04-02T15:33:21Z,13550,,21934547
37,773464217,773463958,Lmmnhn,4599174,2017-04-02T15:35:45Z,13670,,21934547
38,773464358,773464217,Lmmnhn,4599174,2017-04-02T15:37:00Z,13684,,21934547
39,773464381,773464358,Lmmnhn,4599174,2017-04-02T15:37:14Z,13694,,21934547
40,773464608,773464381,Lmmnhn,4599174,2017-04-02T15:39:10Z,13686,,21934547
41,773468184,773464608,You've gone incognito,27993049,2017-04-02T16:05:57Z,14432,,21934547
42,773469486,773468184,Lmmnhn,4599174,2017-04-02T16:16:48Z,15600,,21934547
