,revid,parentid,user,userid,timestamp,size,anon,page_id
0,912389447,0,Finnusertop,19089174,2019-08-25T07:19:02Z,291,,61601443
1,912389697,912389447,Newslinger,33467233,2019-08-25T07:22:06Z,1010,,61601443
2,912389731,912389697,Newslinger,33467233,2019-08-25T07:22:26Z,1014,,61601443
3,912407714,912389731,Mariogoods,34143604,2019-08-25T10:56:32Z,1038,,61601443
4,912427417,912407714,Newslinger,33467233,2019-08-25T14:24:43Z,1379,,61601443
5,913029041,912427417,Simonm223,6654301,2019-08-29T12:16:39Z,1719,,61601443
6,913058077,913029041,Jax 0677,6151339,2019-08-29T16:17:39Z,2061,,61601443
7,913058105,913058077,Jax 0677,6151339,2019-08-29T16:17:49Z,2062,,61601443
8,913058251,913058105,Simonm223,6654301,2019-08-29T16:19:02Z,2313,,61601443
9,913060774,913058251,Jax 0677,6151339,2019-08-29T16:38:40Z,2502,,61601443
10,913063330,913060774,Simonm223,6654301,2019-08-29T16:59:21Z,2752,,61601443
11,913063570,913063330,65.60.163.223,0,2019-08-29T17:01:22Z,3250,True,61601443
12,913072602,913063570,Wefk423,30693367,2019-08-29T18:12:18Z,3693,,61601443
13,913077077,913072602,Simonm223,6654301,2019-08-29T18:49:51Z,3899,,61601443
14,913094806,913077077,Flaughtin,36884324,2019-08-29T21:04:08Z,4908,,61601443
15,913097578,913094806,Wefk423,30693367,2019-08-29T21:29:42Z,5071,,61601443
16,913125511,913097578,Mariogoods,34143604,2019-08-30T02:02:15Z,5212,,61601443
17,913127570,913125511,Newslinger,33467233,2019-08-30T02:18:59Z,5512,,61601443
18,913127596,913127570,Newslinger,33467233,2019-08-30T02:19:10Z,5512,,61601443
19,913127655,913127596,Newslinger,33467233,2019-08-30T02:19:42Z,5526,,61601443
20,913128292,913127655,Newslinger,33467233,2019-08-30T02:25:12Z,5798,,61601443
21,913130012,913128292,Newslinger,33467233,2019-08-30T02:43:03Z,6405,,61601443
22,913130040,913130012,Newslinger,33467233,2019-08-30T02:43:21Z,6368,,61601443
23,913130228,913130040,Newslinger,33467233,2019-08-30T02:45:08Z,6460,,61601443
24,913130246,913130228,Newslinger,33467233,2019-08-30T02:45:21Z,6367,,61601443
25,913132328,913130246,Newslinger,33467233,2019-08-30T03:06:04Z,6854,,61601443
26,913135597,913132328,Newslinger,33467233,2019-08-30T03:41:25Z,6909,,61601443
27,913135652,913135597,Newslinger,33467233,2019-08-30T03:41:56Z,6907,,61601443
28,913136059,913135652,Newslinger,33467233,2019-08-30T03:47:08Z,7526,,61601443
29,913146408,913136059,65.60.163.223,0,2019-08-30T05:48:39Z,7687,True,61601443
30,913151605,913146408,Flaughtin,36884324,2019-08-30T06:58:49Z,7685,,61601443
31,913174884,913151605,Simonm223,6654301,2019-08-30T11:40:33Z,7811,,61601443
32,913180005,913174884,OceanHok,21559323,2019-08-30T12:29:16Z,8107,,61601443
33,913319509,913180005,Lakshmisreekanth,33317625,2019-08-31T09:35:51Z,8295,,61601443
34,913387518,913319509,John M Wolfson,33974892,2019-08-31T19:45:57Z,8873,,61601443
35,913388201,913387518,Ltyl,37205493,2019-08-31T19:52:23Z,9196,,61601443
36,913390440,913388201,John M Wolfson,33974892,2019-08-31T20:11:28Z,9490,,61601443
37,913391184,913390440,Wefk423,30693367,2019-08-31T20:17:42Z,9806,,61601443
38,913562893,913391184,Colin M,3221324,2019-09-01T21:06:14Z,10188,,61601443
39,913676363,913562893,Matthew hk,727505,2019-09-02T14:54:31Z,10508,,61601443
40,913676460,913676363,Matthew hk,727505,2019-09-02T14:55:24Z,10692,,61601443
41,913676516,913676460,Matthew hk,727505,2019-09-02T14:55:56Z,10783,,61601443
42,913676691,913676516,Matthew hk,727505,2019-09-02T14:57:17Z,10944,,61601443
43,913680402,913676691,Matthew hk,727505,2019-09-02T15:28:12Z,11272,,61601443
44,913680500,913680402,Matthew hk,727505,2019-09-02T15:29:03Z,11365,,61601443
45,914093050,913680500,Wei4Green,28413260,2019-09-05T03:48:52Z,11648,,61601443
46,914093091,914093050,Wei4Green,28413260,2019-09-05T03:49:13Z,11646,,61601443
47,914318072,914093091,Ohconfucius,736651,2019-09-06T15:50:04Z,11646,,61601443
48,914367920,914318072,Mariogoods,34143604,2019-09-07T00:43:09Z,11681,,61601443
49,914779356,914367920,Newslinger,33467233,2019-09-09T09:58:44Z,11681,,61601443
50,914779392,914779356,Newslinger,33467233,2019-09-09T09:59:14Z,11681,,61601443
51,914779827,914779392,Newslinger,33467233,2019-09-09T10:02:52Z,12510,,61601443
52,914780415,914779827,Newslinger,33467233,2019-09-09T10:07:21Z,12466,,61601443
53,914791976,914780415,Mariogoods,34143604,2019-09-09T11:51:15Z,12688,,61601443
54,914792131,914791976,Mariogoods,34143604,2019-09-09T11:52:26Z,12808,,61601443
55,914792282,914792131,Mariogoods,34143604,2019-09-09T11:53:35Z,12906,,61601443
56,914792395,914792282,Mariogoods,34143604,2019-09-09T11:54:25Z,12933,,61601443
57,914797769,914792395,Community Tech bot,26118793,2019-09-09T12:36:37Z,13636,,61601443
58,915221453,914797769,Mariogoods,34143604,2019-09-11T22:41:23Z,13649,,61601443
59,915347247,915221453,Samee,17656933,2019-09-12T18:09:01Z,14977,,61601443
60,915347304,915347247,Samee,17656933,2019-09-12T18:09:25Z,14977,,61601443
61,916033589,915347304,Jax 0677,6151339,2019-09-16T16:42:24Z,15495,,61601443
62,916033860,916033589,Simonm223,6654301,2019-09-16T16:44:26Z,15691,,61601443
63,916033999,916033860,Jax 0677,6151339,2019-09-16T16:45:42Z,15837,,61601443
64,916040393,916033999,Matthew hk,727505,2019-09-16T17:26:57Z,15976,,61601443
65,916040744,916040393,Simonm223,6654301,2019-09-16T17:29:10Z,16134,,61601443
66,916043615,916040744,Simonm223,6654301,2019-09-16T17:50:16Z,16134,,61601443
67,916081348,916043615,Mariogoods,34143604,2019-09-16T22:12:34Z,16381,,61601443
68,916081468,916081348,Mariogoods,34143604,2019-09-16T22:13:42Z,16474,,61601443
69,916094700,916081468,Simonm223,6654301,2019-09-17T00:06:07Z,18219,,61601443
70,916159492,916094700,Mariogoods,34143604,2019-09-17T10:41:09Z,18344,,61601443
71,916159627,916159492,Mariogoods,34143604,2019-09-17T10:42:20Z,18428,,61601443
72,916160263,916159627,Mariogoods,34143604,2019-09-17T10:48:32Z,18503,,61601443
73,916160367,916160263,Mariogoods,34143604,2019-09-17T10:49:25Z,18529,,61601443
74,916160482,916160367,Mariogoods,34143604,2019-09-17T10:50:34Z,18556,,61601443
75,916160822,916160482,Mariogoods,34143604,2019-09-17T10:53:30Z,18690,,61601443
76,916161004,916160822,Mariogoods,34143604,2019-09-17T10:55:02Z,18724,,61601443
77,916161161,916161004,Mariogoods,34143604,2019-09-17T10:56:29Z,18845,,61601443
78,916161460,916161161,Mariogoods,34143604,2019-09-17T10:59:02Z,18921,,61601443
79,916161623,916161460,Mariogoods,34143604,2019-09-17T11:00:23Z,18974,,61601443
80,916161677,916161623,Mariogoods,34143604,2019-09-17T11:00:50Z,18974,,61601443
81,916161848,916161677,Mariogoods,34143604,2019-09-17T11:02:22Z,19014,,61601443
82,916162007,916161848,Mariogoods,34143604,2019-09-17T11:03:47Z,19117,,61601443
83,916162060,916162007,Mariogoods,34143604,2019-09-17T11:04:21Z,19118,,61601443
84,916162091,916162060,Mariogoods,34143604,2019-09-17T11:04:43Z,19118,,61601443
85,916162200,916162091,Mariogoods,34143604,2019-09-17T11:05:49Z,19169,,61601443
86,916162268,916162200,Mariogoods,34143604,2019-09-17T11:06:25Z,19185,,61601443
87,916162656,916162268,Mariogoods,34143604,2019-09-17T11:10:09Z,19189,,61601443
88,916162774,916162656,Mariogoods,34143604,2019-09-17T11:11:20Z,19245,,61601443
89,916167129,916162774,Simonm223,6654301,2019-09-17T11:53:35Z,19577,,61601443
90,916340177,916167129,Simonm223,6654301,2019-09-18T11:54:27Z,20226,,61601443
91,916346236,916340177,Simonm223,6654301,2019-09-18T12:40:15Z,20462,,61601443
92,918747038,916346236,Yny501,19323020,2019-09-30T04:06:45Z,20816,,61601443
93,918747122,918747038,Yny501,19323020,2019-09-30T04:07:18Z,20898,,61601443
94,919411364,918747122,Jax 0677,6151339,2019-10-03T16:04:00Z,21066,,61601443
95,919598312,919411364,MarioGom,30641919,2019-10-04T15:47:20Z,21084,,61601443
96,919598611,919598312,MarioGom,30641919,2019-10-04T15:49:18Z,21238,,61601443
97,919813929,919598611,Cunard,6561714,2019-10-06T00:04:03Z,22490,,61601443
