,revid,parentid,user,userid,timestamp,size,page_id
0,714573669,0,Citobun,19212093,2016-04-10T16:03:49Z,52,50111308
1,714573769,714573669,Citobun,19212093,2016-04-10T16:04:23Z,35,50111308
2,714686027,714573769,Yhynerson1,16889920,2016-04-11T06:59:58Z,392,50111308
3,739546075,714686027,Kdm852,18929001,2016-09-15T09:36:57Z,444,50111308
4,789854825,739546075,Kdm852,18929001,2017-07-10T01:47:00Z,497,50111308
5,802455586,789854825,PoetVeches,31755270,2017-09-26T07:07:56Z,1645,50111308
6,905688897,802455586,PoetVeches,31755270,2019-07-10T18:37:38Z,2374,50111308
7,905690994,905688897,PoetVeches,31755270,2019-07-10T18:54:46Z,2562,50111308
8,905693753,905690994,PoetVeches,31755270,2019-07-10T19:18:43Z,2711,50111308
9,915773624,905693753,Hkfreedomfighter,37349311,2019-09-15T07:12:26Z,2770,50111308
10,915773653,915773624,Hkfreedomfighter,37349311,2019-09-15T07:12:49Z,2774,50111308
11,915830497,915773653,Matthew hk,727505,2019-09-15T15:01:17Z,3202,50111308
12,920383314,915830497,Simonm223,6654301,2019-10-09T12:46:08Z,3745,50111308
13,920394766,920383314,Matthew hk,727505,2019-10-09T14:25:51Z,4014,50111308
14,920397567,920394766,Simonm223,6654301,2019-10-09T14:49:20Z,4436,50111308
15,920430376,920397567,Alexander Zubatov,37296379,2019-10-09T19:02:32Z,5886,50111308
16,920433379,920430376,Simonm223,6654301,2019-10-09T19:24:08Z,6691,50111308
17,920436513,920433379,Alexander Zubatov,37296379,2019-10-09T19:46:16Z,8063,50111308
18,920477855,920436513,Matthew hk,727505,2019-10-10T01:41:06Z,8288,50111308
19,920536961,920477855,Simonm223,6654301,2019-10-10T12:07:03Z,8481,50111308
20,920536976,920536961,Simonm223,6654301,2019-10-10T12:07:14Z,8480,50111308
21,920537143,920536976,Simonm223,6654301,2019-10-10T12:08:46Z,8972,50111308
22,920553334,920537143,Alexander Zubatov,37296379,2019-10-10T14:19:42Z,10366,50111308
23,920559073,920553334,Simonm223,6654301,2019-10-10T14:55:31Z,10533,50111308
24,920564818,920559073,Alexander Zubatov,37296379,2019-10-10T15:34:09Z,11513,50111308
25,920565171,920564818,Simonm223,6654301,2019-10-10T15:36:19Z,11912,50111308
26,920637357,920565171,Kdm852,18929001,2019-10-11T00:24:05Z,12953,50111308
27,920724733,920637357,Simonm223,6654301,2019-10-11T13:22:45Z,13553,50111308
28,922927278,920724733,Matthew hk,727505,2019-10-25T05:55:16Z,14655,50111308
