,revid,parentid,user,userid,timestamp,size,anon,page_id
0,330831005,330723586,Phead128,1290981,2009-12-10T08:24:36Z,101454,,221174
1,330831441,330831005,Phead128,1290981,2009-12-10T08:27:52Z,101593,,221174
2,330920817,330831441,Derek.cashman,343214,2009-12-10T19:47:14Z,101594,,221174
3,331055516,330920817,Craddocktm,9049429,2009-12-11T08:46:32Z,102337,,221174
4,331088733,331055516,Colipon,14772,2009-12-11T13:46:00Z,102852,,221174
5,331089581,331088733,HongQiGong,986621,2009-12-11T13:53:43Z,103111,,221174
6,331092347,331089581,Ohconfucius,736651,2009-12-11T14:18:41Z,103620,,221174
7,331092381,331092347,Ohconfucius,736651,2009-12-11T14:19:04Z,103621,,221174
8,331092726,331092381,Colipon,14772,2009-12-11T14:21:57Z,103942,,221174
9,331093736,331092726,Ohconfucius,736651,2009-12-11T14:30:26Z,104268,,221174
10,331093830,331093736,Ohconfucius,736651,2009-12-11T14:31:16Z,104276,,221174
11,331095612,331093830,HongQiGong,986621,2009-12-11T14:46:11Z,105261,,221174
12,331099915,331095612,Ohconfucius,736651,2009-12-11T15:19:04Z,105764,,221174
13,331106220,331099915,HongQiGong,986621,2009-12-11T16:02:20Z,106649,,221174
14,331155830,331106220,Phead128,1290981,2009-12-11T21:33:14Z,107391,,221174
15,331213680,331155830,HongQiGong,986621,2009-12-12T04:52:20Z,107711,,221174
16,331213738,331213680,HongQiGong,986621,2009-12-12T04:53:01Z,107712,,221174
17,331603735,331213738,Böri,10891331,2009-12-14T11:58:53Z,107820,,221174
18,331758405,331603735,DOR (HK),6036204,2009-12-15T05:48:41Z,108295,,221174
19,331997165,331758405,Craddocktm,9049429,2009-12-16T09:23:31Z,111345,,221174
20,332043847,331997165,HongQiGong,986621,2009-12-16T14:23:30Z,112351,,221174
21,332044084,332043847,HongQiGong,986621,2009-12-16T14:24:44Z,112363,,221174
22,332047127,332044084,Craddocktm,9049429,2009-12-16T14:39:55Z,112823,,221174
23,332091209,332047127,Rjensen,313197,2009-12-16T18:40:02Z,113250,,221174
24,332204967,332091209,Craddocktm,9049429,2009-12-17T04:13:35Z,113855,,221174
25,332299898,332204967,HongQiGong,986621,2009-12-17T14:41:06Z,114478,,221174
26,332300082,332299898,HongQiGong,986621,2009-12-17T14:41:58Z,114485,,221174
27,332335898,332300082,SchmuckyTheCat,31197,2009-12-17T18:08:41Z,114591,,221174
28,332652429,332335898,Craddocktm,9049429,2009-12-19T10:32:23Z,115362,,221174
29,332992204,332652429,HongQiGong,986621,2009-12-21T05:13:03Z,116365,,221174
30,338165628,332992204,SilkTork,782009,2010-01-16T11:45:38Z,116364,,221174
31,338165833,338165628,SilkTork,782009,2010-01-16T11:47:54Z,116365,,221174
32,338165982,338165833,SilkTork,782009,2010-01-16T11:49:36Z,116333,,221174
33,338166537,338165982,SilkTork,782009,2010-01-16T11:54:57Z,61818,,221174
34,338326627,338166537,219.73.92.79,0,2010-01-17T07:35:30Z,61944,True,221174
35,338326721,338326627,SineBot,4936590,2010-01-17T07:36:33Z,62241,,221174
36,338327039,338326721,219.73.92.79,0,2010-01-17T07:39:46Z,61818,True,221174
37,338517470,338327039,DOR (HK),6036204,2010-01-18T07:45:07Z,62439,,221174
38,341051036,338517470,74.115.162.10,0,2010-01-31T07:40:16Z,62672,True,221174
39,343521396,341051036,Toutvientapoint,11577849,2010-02-12T10:20:50Z,62724,,221174
40,344447610,343521396,Ucucha,222607,2010-02-16T18:23:20Z,62775,,221174
41,344447663,344447610,Ucucha,222607,2010-02-16T18:23:37Z,62775,,221174
42,344452043,344447663,HongQiGong,986621,2010-02-16T18:50:09Z,62723,,221174
43,344525699,344452043,DOR (HK),6036204,2010-02-17T01:25:51Z,63281,,221174
44,345281503,344525699,Craddocktm,9049429,2010-02-20T20:52:15Z,64874,,221174
45,345324807,345281503,GimmeBot,3188459,2010-02-21T01:13:55Z,64996,,221174
46,345956593,345324807,Treganoon,11767718,2010-02-23T21:26:48Z,65345,,221174
47,347017852,345956593,Craddocktm,9049429,2010-03-01T03:31:11Z,65691,,221174
48,347046374,347017852,DOR (HK),6036204,2010-03-01T07:19:14Z,66033,,221174
49,347046705,347046374,DOR (HK),6036204,2010-03-01T07:22:10Z,66225,,221174
50,347053019,347046705,Craddocktm,9049429,2010-03-01T08:18:12Z,66579,,221174
51,347082127,347053019,Craddocktm,9049429,2010-03-01T12:56:13Z,67476,,221174
52,348679259,347082127,Phead128,1290981,2010-03-09T05:00:42Z,67620,,221174
53,348679339,348679259,SineBot,4936590,2010-03-09T05:01:23Z,67918,,221174
54,348679592,348679339,Phead128,1290981,2010-03-09T05:04:04Z,67838,,221174
55,349369610,348679592,MiszaBot I,3797869,2010-03-12T04:57:19Z,34398,,221174
56,350303899,349369610,FrescoBot,9021902,2010-03-16T23:55:44Z,34419,,221174
57,350330337,350303899,WildBot,11187190,2010-03-17T02:55:27Z,34613,,221174
58,350754998,350330337,WildBot,11187190,2010-03-19T08:42:26Z,34742,,221174
59,351040136,350754998,76.199.113.213,0,2010-03-20T20:34:39Z,34776,True,221174
60,351040754,351040136,Elockid,9698266,2010-03-20T20:38:23Z,34742,,221174
61,351899159,351040754,WildBot,11187190,2010-03-25T03:25:40Z,34806,,221174
62,351922976,351899159,WildBot,11187190,2010-03-25T06:41:55Z,34742,,221174
63,355659936,351922976,WildBot,11187190,2010-04-13T01:07:58Z,34635,,221174
64,358314929,355659936,174.91.80.32,0,2010-04-26T01:02:54Z,34948,True,221174
65,361309289,358314929,168.8.212.65,0,2010-05-10T17:31:28Z,34976,True,221174
66,361309534,361309289,Elockid,9698266,2010-05-10T17:32:59Z,34948,,221174
67,362205092,361309534,WildBot,11187190,2010-05-15T03:03:50Z,35009,,221174
68,362286215,362205092,WildBot,11187190,2010-05-15T16:54:16Z,34948,,221174
69,363426763,362286215,Dasniper21,12417429,2010-05-21T18:27:53Z,18357,,221174
70,363428066,363426763,NeilN,409043,2010-05-21T18:35:26Z,34948,,221174
71,369706554,363428066,Lichunngai,12615494,2010-06-23T09:09:13Z,35034,,221174
72,369706617,369706554,SineBot,4936590,2010-06-23T09:09:55Z,35340,,221174
73,369733491,369706617,HongQiGong,986621,2010-06-23T13:19:44Z,35365,,221174
74,369865105,369733491,MiszaBot I,3797869,2010-06-24T05:26:48Z,20860,,221174
75,370487584,369865105,82.10.65.17,0,2010-06-27T21:56:16Z,21097,True,221174
76,371001271,370487584,Yobot,7328338,2010-06-30T12:43:32Z,21131,,221174
77,371008559,371001271,HongQiGong,986621,2010-06-30T13:30:16Z,21138,,221174
78,371009903,371008559,HongQiGong,986621,2010-06-30T13:38:25Z,20901,,221174
79,373730689,371009903,Phead128,1290981,2010-07-16T01:46:17Z,21509,,221174
80,373755883,373730689,MiszaBot I,3797869,2010-07-16T05:32:34Z,9083,,221174
81,377449893,373755883,DOR (HK),6036204,2010-08-06T09:10:48Z,9565,,221174
82,377449919,377449893,DOR (HK),6036204,2010-08-06T09:11:07Z,9649,,221174
83,378640290,377449919,Police75,1424899,2010-08-13T01:50:06Z,9853,,221174
84,378641147,378640290,Stickee,6239596,2010-08-13T01:58:10Z,9981,,221174
85,378666816,378641147,MiszaBot I,3797869,2010-08-13T05:59:46Z,3629,,221174
86,378683213,378666816,Yfyuen,12894609,2010-08-13T08:59:32Z,3977,,221174
87,378683565,378683213,Yfyuen,12894609,2010-08-13T09:02:59Z,4224,,221174
88,378684293,378683565,Yfyuen,12894609,2010-08-13T09:10:14Z,4330,,221174
89,378684423,378684293,SineBot,4936590,2010-08-13T09:11:25Z,4622,,221174
90,378687011,378684423,BritishWatcher,8346020,2010-08-13T09:36:43Z,4910,,221174
91,378742386,378687011,219.79.30.128,0,2010-08-13T17:28:02Z,4939,True,221174
92,378742539,378742386,SineBot,4936590,2010-08-13T17:29:14Z,5238,,221174
93,379850084,378742539,Tavatar,7644919,2010-08-19T21:16:40Z,5821,,221174
94,380448677,379850084,Tavatar,7644919,2010-08-23T05:31:31Z,5804,,221174
95,381393350,380448677,Xiaoyu of Yuxi,12771883,2010-08-27T22:27:37Z,6160,,221174
96,381399161,381393350,BritishWatcher,8346020,2010-08-27T23:10:09Z,6496,,221174
97,381419461,381399161,Xiaoyu of Yuxi,12771883,2010-08-28T01:34:24Z,6704,,221174
98,381460376,381419461,Craddocktm,9049429,2010-08-28T07:56:47Z,7846,,221174
99,381477855,381460376,Xiaoyu of Yuxi,12771883,2010-08-28T10:58:41Z,8013,,221174
100,381526730,381477855,Spellcast,2968397,2010-08-28T17:25:33Z,8396,,221174
101,381880340,381526730,Tavatar,7644919,2010-08-30T14:01:09Z,8448,,221174
102,381990848,381880340,DOR (HK),6036204,2010-08-31T01:47:29Z,9026,,221174
103,381991026,381990848,DOR (HK),6036204,2010-08-31T01:49:06Z,9030,,221174
104,382178698,381991026,GimmeBot,3188459,2010-09-01T00:15:52Z,9149,,221174
105,382197608,382178698,Nikkimaria,372290,2010-09-01T02:16:58Z,13098,,221174
106,382222651,382197608,Ohconfucius,736651,2010-09-01T05:13:05Z,13628,,221174
107,382292936,382222651,Nikkimaria,372290,2010-09-01T15:15:23Z,13831,,221174
108,382429792,382292936,DOR (HK),6036204,2010-09-02T07:22:24Z,14141,,221174
109,382466508,382429792,Nikkimaria,372290,2010-09-02T12:53:35Z,14448,,221174
110,382467942,382466508,Ohconfucius,736651,2010-09-02T13:03:46Z,14718,,221174
111,383805771,382467942,122.162.210.232,0,2010-09-09T10:10:07Z,14874,True,221174
112,383805842,383805771,122.162.210.232,0,2010-09-09T10:10:44Z,14976,True,221174
113,383805966,383805842,SineBot,4936590,2010-09-09T10:11:57Z,15283,,221174
114,384978987,383805966,Jan Hofmann,6722049,2010-09-15T13:34:37Z,15727,,221174
115,384980118,384978987,Give Your Heart a Break,11181514,2010-09-15T13:44:14Z,16491,,221174
116,384981444,384980118,Give Your Heart a Break,11181514,2010-09-15T13:52:51Z,16504,,221174
