,revid,parentid,user,anon,userid,timestamp,size
0,680742253,0,84.92.129.87,True,0,2015-09-12T21:51:25Z,47
1,684521839,680742253,UU,,651047,2015-10-07T04:37:01Z,47
2,691500813,684521839,Citobun,,19212093,2015-11-20T06:43:27Z,47
3,783468980,691500813,Citobun,,19212093,2017-06-02T14:27:44Z,55
4,907800625,783468980,71.235.184.247,True,0,2019-07-25T11:12:38Z,601
5,912836514,907800625,Tenbeens,,20590254,2019-08-28T05:32:17Z,601
6,912838224,912836514,Citobun,,19212093,2019-08-28T05:48:51Z,601
7,912838468,912838224,Citobun,,19212093,2019-08-28T05:51:26Z,623
8,914652327,912838468,65.60.163.223,True,0,2019-09-08T16:38:46Z,820
9,929923018,914652327,Robertsky,,1990013,2019-12-09T03:12:43Z,817
