,revid,parentid,user,userid,timestamp,size,anon,page_id
0,375727455,326588252,Xenobot Mk V,10190788,2010-07-27T13:13:08Z,15090,,2384833
1,379009667,375727455,Kintetsubuffalo,487310,2010-08-15T07:49:58Z,15102,,2384833
2,424528439,379009667,Kmusser,357810,2011-04-17T14:21:13Z,15126,,2384833
3,554128791,424528439,Kaiyr,9935049,2013-05-08T13:17:48Z,15279,,2384833
4,642450227,554128791,Thryduulf,157530,2015-01-14T13:14:58Z,15637,,2384833
5,646607552,642450227,Rwilkin,2116391,2015-02-11T05:33:30Z,15913,,2384833
6,646609725,646607552,Kdm852,18929001,2015-02-11T06:02:30Z,16081,,2384833
7,647038205,646609725,STSC,1732781,2015-02-14T02:02:41Z,16082,,2384833
8,663221376,647038205,Ohconfucius,736651,2015-05-20T07:07:01Z,16327,,2384833
9,719556592,663221376,Nyttend,1960810,2016-05-10T11:56:27Z,16327,,2384833
10,719664369,719556592,Dicklyon,869314,2016-05-11T01:40:33Z,16327,,2384833
11,741430201,719664369,DOR (HK),6036204,2016-09-27T13:02:51Z,16925,,2384833
12,754481433,741430201,Kt66,342057,2016-12-12T22:16:16Z,17730,,2384833
13,754481478,754481433,Kt66,342057,2016-12-12T22:16:33Z,17729,,2384833
14,767215314,754481478,2602:306:32B0:F9E0:8D56:D30C:501D:C263,0,2017-02-24T15:54:00Z,18085,True,2384833
15,793376476,767215314,Purplewing51,30071047,2017-08-01T10:37:34Z,18626,,2384833
16,793376531,793376476,Purplewing51,30071047,2017-08-01T10:38:06Z,19167,,2384833
17,811888613,793376531,AnomieBOT,7611264,2017-11-24T18:08:07Z,20676,,2384833
18,813980254,811888613,InternetArchiveBot,27015025,2017-12-06T07:07:10Z,22089,,2384833
19,853649914,813980254,SSTbot,27113780,2018-08-06T03:57:37Z,22138,,2384833
20,854205471,853649914,Community Tech bot,26118793,2018-08-09T17:25:06Z,22684,,2384833
21,912410133,854205471,2019OutlaweD,37132700,2019-08-25T11:26:33Z,23476,,2384833
22,912422215,912410133,2019OutlaweD,37132700,2019-08-25T13:33:15Z,23474,,2384833
23,913481491,912422215,199.249.230.22,0,2019-09-01T09:55:11Z,23636,True,2384833
24,913481566,913481491,199.249.230.22,0,2019-09-01T09:55:44Z,23647,True,2384833
25,914307380,913481566,45.125.2.20,0,2019-09-06T14:21:53Z,25685,True,2384833
26,914307673,914307380,45.125.2.20,0,2019-09-06T14:24:05Z,25685,True,2384833
27,914307951,914307673,45.125.2.20,0,2019-09-06T14:26:09Z,25694,True,2384833
28,914308192,914307951,45.125.2.20,0,2019-09-06T14:27:55Z,25685,True,2384833
