,revid,parentid,user,userid,timestamp,size,anon
0,912388052,0,Newslinger,33467233,2019-08-25T06:59:54Z,253,
1,912388860,912388052,Newslinger,33467233,2019-08-25T07:11:15Z,972,
2,912389779,912388860,Newslinger,33467233,2019-08-25T07:23:09Z,976,
3,912428543,912389779,Newslinger,33467233,2019-08-25T14:34:48Z,1348,
4,912477228,912428543,Richard-of-Earth,6320921,2019-08-25T21:34:06Z,1546,
5,913196903,912477228,Ltyl,37205493,2019-08-30T14:58:23Z,2020,
6,913197052,913196903,Ltyl,37205493,2019-08-30T14:59:24Z,2055,
7,913296791,913197052,65.60.163.223,0,2019-08-31T04:48:14Z,2728,True
8,913296974,913296791,65.60.163.223,0,2019-08-31T04:50:49Z,3009,True
9,914075006,913296974,Volunteer Marek,263324,2019-09-05T00:54:40Z,3282,
10,914241509,914075006,DividedFrame,10531370,2019-09-06T02:18:06Z,3282,
11,916758067,914241509,Simonm223,6654301,2019-09-20T13:57:06Z,3658,
12,916758250,916758067,Simonm223,6654301,2019-09-20T13:58:23Z,3672,
13,916759054,916758250,Simonm223,6654301,2019-09-20T14:03:55Z,4034,
14,916768408,916759054,OceanHok,21559323,2019-09-20T15:02:49Z,4939,
15,916769515,916768408,Simonm223,6654301,2019-09-20T15:09:52Z,5158,
16,916777150,916769515,OceanHok,21559323,2019-09-20T15:51:27Z,5435,
17,916777185,916777150,OceanHok,21559323,2019-09-20T15:51:39Z,5438,
18,916788012,916777185,Simonm223,6654301,2019-09-20T16:57:21Z,5813,
19,919102125,916788012,Sometaintedlove,37340916,2019-10-01T21:08:50Z,6177,
20,919702651,919102125,MarkH21,27158663,2019-10-05T07:49:10Z,6587,
21,919758780,919702651,STSC,1732781,2019-10-05T16:22:42Z,6697,
22,920067786,919758780,OceanHok,21559323,2019-10-07T14:05:24Z,7060,
23,920067843,920067786,OceanHok,21559323,2019-10-07T14:05:46Z,7059,
24,920098939,920067843,Simonm223,6654301,2019-10-07T17:32:40Z,7437,
25,920099103,920098939,Simonm223,6654301,2019-10-07T17:33:52Z,7477,
26,920129654,920099103,MarkH21,27158663,2019-10-07T20:50:41Z,7843,
27,920242667,920129654,Simonm223,6654301,2019-10-08T14:10:23Z,8342,
28,920353458,920242667,MarkH21,27158663,2019-10-09T06:56:57Z,9553,
29,920382484,920353458,Simonm223,6654301,2019-10-09T12:37:34Z,10282,
30,920382669,920382484,Simonm223,6654301,2019-10-09T12:39:42Z,10731,
31,920383573,920382669,Jax 0677,6151339,2019-10-09T12:48:35Z,10964,
32,920417141,920383573,MarkH21,27158663,2019-10-09T17:25:54Z,11171,
33,920419441,920417141,Simonm223,6654301,2019-10-09T17:44:32Z,11359,
34,920424925,920419441,MarkH21,27158663,2019-10-09T18:25:24Z,11805,
35,920425095,920424925,Jax 0677,6151339,2019-10-09T18:26:37Z,11936,
36,920810653,920425095,Mariogoods,34143604,2019-10-12T00:48:07Z,12066,
37,920810733,920810653,Mariogoods,34143604,2019-10-12T00:48:46Z,12066,
38,921798660,920810733,Mariogoods,34143604,2019-10-17T23:48:46Z,12084,
39,923344119,921798660,Citobun,19212093,2019-10-27T23:29:41Z,12109,
40,924037092,923344119,Asd34567,31914088,2019-11-01T11:48:17Z,12330,
41,924062424,924037092,MarkH21,27158663,2019-11-01T15:30:32Z,12754,
42,924062877,924062424,MarkH21,27158663,2019-11-01T15:34:19Z,13209,
43,924081177,924062877,MarkH21,27158663,2019-11-01T17:50:03Z,13260,
44,924082102,924081177,Matthew hk,727505,2019-11-01T17:57:12Z,13657,
45,924085278,924082102,Simonm223,6654301,2019-11-01T18:22:58Z,15011,
46,926289649,924085278,Newslinger,33467233,2019-11-15T11:01:10Z,15599,
47,928771623,926289649,Tpbradbury,16710,2019-12-01T15:17:43Z,15599,
48,929922651,928771623,Robertsky,1990013,2019-12-09T03:09:56Z,15607,
