,revid,parentid,user,userid,timestamp,size,anon
0,925975206,0,OceanHok,21559323,2019-11-13T14:01:17Z,43130,
1,925982145,925975206,Feminist,25530780,2019-11-13T15:04:03Z,43130,
2,925982290,925982145,Feminist,25530780,2019-11-13T15:05:11Z,43130,
3,925982498,925982290,OceanHok,21559323,2019-11-13T15:06:55Z,43118,
4,925983271,925982498,Feminist,25530780,2019-11-13T15:13:13Z,43106,
5,925985326,925983271,Monkbot,20483999,2019-11-13T15:29:09Z,43110,
6,926000991,925985326,OceanHok,21559323,2019-11-13T17:25:38Z,43111,
7,926354744,926000991,Ohconfucius,736651,2019-11-15T20:24:50Z,43193,
8,926365157,926354744,AnomieBOT,7611264,2019-11-15T21:52:29Z,43195,
9,927055943,926365157,Robertsky,1990013,2019-11-20T02:04:50Z,42946,
10,927058185,927055943,Robertsky,1990013,2019-11-20T02:18:40Z,43301,
11,927058285,927058185,Robertsky,1990013,2019-11-20T02:19:25Z,42875,
12,927058608,927058285,Robertsky,1990013,2019-11-20T02:21:37Z,55707,
13,929398876,927058608,207.81.167.200,0,2019-12-05T15:55:00Z,55720,True
14,929399520,929398876,207.81.167.200,0,2019-12-05T15:59:01Z,55713,True
15,929572031,929399520,Cnwilliams,10190671,2019-12-06T18:32:27Z,55739,
16,929644773,929572031,42.76.107.162,0,2019-12-07T06:07:59Z,55739,True
17,929785375,929644773,65.184.65.90,0,2019-12-08T06:00:44Z,55741,True
