,revid,parentid,user,userid,timestamp,size,anon,userhidden
0,354993534,323723256,Tavatar,7644919.0,2010-04-09T18:34:52Z,2028,,
1,359689915,354993534,119.237.153.52,0.0,2010-05-02T19:16:17Z,2114,True,
2,368922719,359689915,Cydebot,1215485.0,2010-06-19T03:48:41Z,2167,,
3,369159348,368922719,Takamaxa,758848.0,2010-06-20T11:12:31Z,2201,,
4,370216455,369159348,Rjwilmsi,203434.0,2010-06-26T07:18:35Z,2225,,
5,372548054,370216455,北極企鵝觀賞團,9877843.0,2010-07-09T08:45:11Z,2257,,
6,380181899,372548054,Clithering,3273000.0,2010-08-21T17:55:33Z,2257,,
7,380181999,380181899,Clithering,3273000.0,2010-08-21T17:56:08Z,2257,,
8,386664253,380181999,119.236.6.72,0.0,2010-09-24T02:11:16Z,2765,True,
9,390361528,386664253,R'n'B,2300502.0,2010-10-12T20:25:40Z,2783,,
10,392941916,390361528,RjwilmsiBot,10996774.0,2010-10-26T06:09:16Z,3053,,
11,396926336,392941916,114.32.184.105,0.0,2010-11-15T15:49:56Z,3089,True,
12,397716949,396926336,112.118.153.231,0.0,2010-11-19T18:17:03Z,3090,True,
13,408258719,397716949,Kittybrewster,640429.0,2011-01-16T20:15:35Z,3095,,
14,412266883,408258719,1.64.63.29,0.0,2011-02-06T02:02:36Z,3105,True,
15,412552572,412266883,TexasAndroid,271376.0,2011-02-07T16:39:02Z,3101,,
16,416910419,412552572,Deryck Chan,108244.0,2011-03-03T14:27:20Z,3032,,
17,424521659,416910419,Hoising,2864272.0,2011-04-17T13:23:54Z,3040,,
18,437527090,424521659,218.250.155.203,0.0,2011-07-03T09:20:14Z,3224,True,
19,437527190,437527090,218.250.155.203,0.0,2011-07-03T09:21:14Z,3300,True,
20,450584516,437527190,ChuispastonBot,12929566.0,2011-09-15T03:52:35Z,3324,,
21,477901908,450584516,Ohconfucius,736651.0,2012-02-20T16:17:44Z,3401,,
22,478524088,477901908,Italy jai2002,6904097.0,2012-02-24T00:50:18Z,3734,,
23,478524572,478524088,Italy jai2002,6904097.0,2012-02-24T00:53:14Z,3739,,
24,478527867,478524572,Italy jai2002,6904097.0,2012-02-24T01:17:53Z,3403,,
25,497726068,478527867,23.16.155.8,0.0,2012-06-15T15:08:41Z,3412,True,
26,497726077,497726068,23.16.155.8,0.0,2012-06-15T15:08:45Z,3412,True,
27,497726093,497726077,23.16.155.8,0.0,2012-06-15T15:08:49Z,3412,True,
28,497726101,497726093,23.16.155.8,0.0,2012-06-15T15:08:53Z,3412,True,
29,499700207,497726101,Jabo-er,15141079.0,2012-06-28T03:46:06Z,3693,,
30,499762480,499700207,Jabo-er,15141079.0,2012-06-28T14:44:40Z,3883,,
31,500120702,499762480,Dexterfung,14837258.0,2012-07-01T01:13:00Z,4094,,
32,500120840,500120702,Dexterfung,14837258.0,2012-07-01T01:14:29Z,4123,,
33,500205762,500120840,Tavatar,7644919.0,2012-07-01T17:31:38Z,4119,,
34,500315908,500205762,Ricky@36,732883.0,2012-07-02T11:27:21Z,4127,,
35,500357694,500315908,Tokiohotelover,8710486.0,2012-07-02T17:41:03Z,4156,,
36,500747443,500357694,ASDFGH,2305106.0,2012-07-05T04:04:46Z,4237,,
37,500756903,500747443,ASDFGH,2305106.0,2012-07-05T06:04:34Z,4243,,
38,500952678,500756903,Tavatar,7644919.0,2012-07-06T14:01:02Z,4231,,
39,502538713,500952678,23.16.154.171,0.0,2012-07-16T01:38:16Z,4232,True,
40,502592383,502538713,221.124.22.8,0.0,2012-07-16T09:20:43Z,4228,True,
41,503823713,502592383,Tavatar,7644919.0,2012-07-23T20:02:54Z,4255,,
42,514113837,503823713,Chongkian,8766034.0,2012-09-23T03:52:56Z,4267,,
43,514628350,514113837,ASDFGH,2305106.0,2012-09-26T10:58:11Z,4279,,
44,523057497,514628350,Blam102,17890955.0,2012-11-14T22:11:30Z,4283,,
45,524321043,523057497,221.126.121.252,0.0,2012-11-22T08:15:37Z,3921,True,
46,527562203,524321043,Yobot,7328338.0,2012-12-11T17:19:13Z,3918,,
47,529169014,527562203,BG19bot,14508071.0,2012-12-21T21:09:52Z,3880,,
48,536705955,529169014,Tavatar,7644919.0,2013-02-05T15:24:19Z,3862,,
49,537188334,536705955,194.47.147.222,0.0,2013-02-08T08:28:19Z,3855,True,
50,537188551,537188334,194.47.147.222,0.0,2013-02-08T08:30:34Z,3871,True,
51,541423717,537188551,Marxistfounder,17955628.0,2013-03-01T04:33:52Z,3903,,
52,542948643,541423717,Addbot,6569922.0,2013-03-09T01:30:06Z,3858,,
53,553744950,542948643,Lmmnhn,4599174.0,2013-05-06T07:46:12Z,3906,,
54,560205762,553744950,ASDFGH,2305106.0,2013-06-16T21:08:03Z,3932,,
55,562362544,560205762,ASDFGH,2305106.0,2013-07-01T08:20:48Z,3943,,
56,562750307,562362544,Waacstats,1951353.0,2013-07-03T21:46:41Z,3964,,
57,569669786,562750307,Germanomaniac,990328.0,2013-08-22T03:26:25Z,3953,,
58,576107462,569669786,Chongkian,8766034.0,2013-10-07T08:00:47Z,4004,,
59,603770237,576107462,LibStar,4307181.0,2014-04-11T17:25:28Z,4019,,
60,603772834,603770237,AnomieBOT,7611264.0,2014-04-11T17:45:47Z,4035,,
61,614888059,603772834,180.244.56.214,0.0,2014-06-29T14:21:45Z,4039,True,
62,617133681,614888059,170.148.132.135,0.0,2014-07-16T03:25:35Z,4381,True,
63,617133778,617133681,Spirit of Eagle,16860320.0,2014-07-16T03:26:38Z,4380,,
64,618839364,617133778,146.90.147.220,0.0,2014-07-28T16:39:06Z,4040,True,
65,618904081,618839364,170.148.69.140,0.0,2014-07-29T01:49:38Z,4900,True,
66,618904154,618904081,170.148.69.140,0.0,2014-07-29T01:50:11Z,4041,True,
67,623800837,618904154,170.148.69.141,0.0,2014-09-02T02:43:03Z,4900,True,
68,623801200,623800837,170.148.132.136,0.0,2014-09-02T02:46:51Z,5145,True,
69,623802158,623801200,Bollyjeff,12037174.0,2014-09-02T02:57:22Z,4900,,
70,627437344,623802158,86.46.56.41,0.0,2014-09-28T17:31:58Z,4041,True,
71,627696750,627437344,Thenhanian,22704603.0,2014-09-30T16:18:57Z,4037,,
72,627697572,627696750,Pratyya Ghosh,16166519.0,2014-09-30T16:26:14Z,4041,,
73,628040763,627697572,130.113.84.160,0.0,2014-10-03T04:42:53Z,4080,True,
74,628095706,628040763,Underwaterbuffalo,6833051.0,2014-10-03T16:02:11Z,4055,,
75,628098148,628095706,Underwaterbuffalo,6833051.0,2014-10-03T16:21:59Z,4351,,
76,628100587,628098148,AnomieBOT,7611264.0,2014-10-03T16:42:02Z,4405,,
77,628103843,628100587,Underwaterbuffalo,6833051.0,2014-10-03T17:07:12Z,4914,,
78,628107320,628103843,Underwaterbuffalo,6833051.0,2014-10-03T17:35:48Z,4909,,
79,628114105,628107320,Underwaterbuffalo,6833051.0,2014-10-03T18:28:21Z,5340,,
80,628116398,628114105,Underwaterbuffalo,6833051.0,2014-10-03T18:47:17Z,5684,,
81,628118922,628116398,Underwaterbuffalo,6833051.0,2014-10-03T19:11:13Z,5714,,
82,629441190,628118922,Ohconfucius,736651.0,2014-10-13T14:20:49Z,5693,,
83,632957042,629441190,TheCoffeeAddict,22957913.0,2014-11-08T14:18:12Z,5722,,
84,633631868,632957042,165.202.4.150,0.0,2014-11-13T06:02:05Z,5755,True,
85,633632189,633631868,Widr,13975403.0,2014-11-13T06:06:51Z,5722,,
86,666724174,633632189,182.255.99.214,0.0,2015-06-13T06:02:37Z,5756,True,
87,679543344,666724174,MICE Playroom,26179409.0,2015-09-05T06:25:08Z,5965,,
88,679613129,679543344,Arjayay,5718152.0,2015-09-05T17:29:23Z,5966,,
89,679615661,679613129,AnomieBOT,7611264.0,2015-09-05T17:49:57Z,5986,,
90,688697940,679615661,Ohconfucius,736651.0,2015-11-02T14:45:15Z,6694,,
91,688697965,688697940,Ohconfucius,736651.0,2015-11-02T14:45:31Z,6693,,
92,688890396,688697965,Lmmnhn,4599174.0,2015-11-03T17:43:29Z,6935,,
93,695219716,688890396,Thunderstorm008,19279160.0,2015-12-14T16:01:15Z,7576,,
