,revid,parentid,user,userid,timestamp,size,anon
0,340759903,321892145,Tavatar,7644919,2010-01-29T18:36:27Z,12295,
1,341981071,340759903,129.174.180.113,0,2010-02-04T22:37:55Z,12288,True
2,343247582,341981071,92.238.174.5,0,2010-02-10T23:41:29Z,12289,True
3,343498243,343247582,99.176.61.13,0,2010-02-12T06:04:02Z,12296,True
4,343498287,343498243,Davewho2,1738583,2010-02-12T06:04:27Z,12289,
5,344599761,343498287,Woohookitty,159678,2010-02-17T12:13:30Z,12353,
6,354056578,344599761,Takamaxa,758848,2010-04-05T06:48:07Z,12380,
7,354056740,354056578,Takamaxa,758848,2010-04-05T06:49:46Z,12382,
8,355850221,354056740,Mathpianist93,1385259,2010-04-13T23:08:03Z,12721,
9,357263124,355850221,Cossaxx,10061784,2010-04-20T19:40:51Z,12725,
10,357263364,357263124,Cossaxx,10061784,2010-04-20T19:42:19Z,12734,
11,357844860,357263364,Da Vynci,576163,2010-04-23T16:04:52Z,12705,
12,364310626,357844860,193.238.73.249,0,2010-05-26T15:09:20Z,12774,True
13,364330366,364310626,Rjanag,7676170,2010-05-26T17:15:09Z,12705,
14,369084935,364330366,142.68.131.80,0,2010-06-19T23:24:52Z,12705,True
15,369541524,369084935,Djlayton4,136813,2010-06-22T13:04:14Z,12904,
16,369541677,369541524,Djlayton4,136813,2010-06-22T13:05:38Z,12908,
17,375612008,369541677,67.132.198.254,0,2010-07-26T20:35:33Z,12904,True
18,376486615,375612008,Tavatar,7644919,2010-07-31T21:25:56Z,12941,
19,381671075,376486615,SmackBot,433328,2010-08-29T11:35:06Z,12957,
20,394016508,381671075,74.210.120.87,0,2010-10-31T18:28:32Z,12957,True
21,396135942,394016508,116.49.167.64,0,2010-11-11T14:57:28Z,12959,True
22,396136328,396135942,116.49.167.64,0,2010-11-11T14:59:54Z,13018,True
23,398740688,396136328,203.198.26.15,0,2010-11-25T02:42:44Z,11882,True
24,398740912,398740688,203.198.26.15,0,2010-11-25T02:44:26Z,12063,True
25,398740995,398740912,203.198.26.15,0,2010-11-25T02:45:02Z,12058,True
26,404122872,398740995,116.48.87.218,0,2010-12-25T02:51:54Z,12139,True
27,408805773,404122872,68.97.129.116,0,2011-01-19T16:34:39Z,12124,True
