,revid,parentid,user,userid,timestamp,size,anon
0,331055742,330747828,TheOnlyOne12,4458362,2009-12-11T08:48:30Z,90685,
1,331072371,331055742,218.103.146.18,0,2009-12-11T11:11:46Z,90692,True
2,331074307,331072371,Ohconfucius,736651,2009-12-11T11:29:06Z,90682,
3,331089464,331074307,HongQiGong,986621,2009-12-11T13:52:46Z,90685,
4,331090678,331089464,218.103.146.18,0,2009-12-11T14:03:32Z,90692,True
5,331152003,331090678,Spencerhansonski,10559109,2009-12-11T21:08:58Z,90885,
6,331152056,331152003,ClueBot,4928500,2009-12-11T21:09:16Z,90692,
7,331160283,331152056,173.49.17.22,0,2009-12-11T22:00:35Z,90885,True
8,331160950,331160283,76.69.141.63,0,2009-12-11T22:04:51Z,90697,True
9,331180814,331160950,168.11.166.23,0,2009-12-12T00:27:47Z,90680,True
10,331181034,331180814,Mononomic,8223760,2009-12-12T00:29:24Z,90697,
11,331188247,331181034,99.247.78.238,0,2009-12-12T01:17:22Z,90692,True
12,331205270,331188247,Ohconfucius,736651,2009-12-12T03:35:29Z,90670,
13,331290831,331205270,99.129.149.61,0,2009-12-12T18:01:00Z,88774,True
14,331290940,331290831,Nepenthes,6307443,2009-12-12T18:01:44Z,90670,
15,331300386,331290940,Svick,4576738,2009-12-12T19:09:54Z,90628,
16,331327602,331300386,222.166.160.207,0,2009-12-12T22:36:13Z,90720,True
17,331328989,331327602,NeilN,409043,2009-12-12T22:45:53Z,90628,
18,331330512,331328989,222.166.160.67,0,2009-12-12T22:55:43Z,90722,True
19,331331399,331330512,222.166.160.121,0,2009-12-12T23:01:31Z,90814,True
20,331341869,331331399,Arbor to SJ,4322169,2009-12-13T00:15:16Z,90722,
21,331467796,331341869,174.91.157.14,0,2009-12-13T18:34:17Z,90837,True
22,331469256,331467796,XLinkBot,6163802,2009-12-13T18:43:22Z,90722,
23,331614780,331469256,78.149.6.101,0,2009-12-14T13:52:44Z,90748,True
24,331614936,331614780,Osarius,6496196,2009-12-14T13:53:53Z,90722,
25,331653951,331614936,Grindle003,11232236,2009-12-14T18:28:04Z,90755,
26,331654334,331653951,Neko-chan,90173,2009-12-14T18:30:25Z,90722,
27,331944405,331654334,202.82.32.177,0,2009-12-16T03:17:15Z,90718,True
28,332044255,331944405,HongQiGong,986621,2009-12-16T14:25:36Z,87333,
29,332244083,332044255,125.215.130.139,0,2009-12-17T08:07:13Z,87337,True
30,332246697,332244083,Ohconfucius,736651,2009-12-17T08:23:12Z,87333,
