,revid,parentid,user,userid,timestamp,size,anon
0,333373060,322643743,SmackBot,433328,2009-12-22T22:01:46Z,16273,
1,335426503,333373060,Benjwong,255977,2010-01-02T08:26:14Z,16364,
2,348075142,335426503,Ohconfucius,736651,2010-03-06T09:51:29Z,16615,
3,352381474,348075142,The Earwig,7418060,2010-03-27T19:00:38Z,16623,
4,361838161,352381474,86.179.71.177,0,2010-05-13T07:02:24Z,16627,True
5,371971418,361838161,Benjwong,255977,2010-07-06T04:41:42Z,17506,
6,371971549,371971418,Benjwong,255977,2010-07-06T04:42:40Z,18484,
7,373006876,371971549,Benjwong,255977,2010-07-12T02:21:37Z,19077,
8,373006931,373006876,Benjwong,255977,2010-07-12T02:22:05Z,19077,
9,373007067,373006931,Benjwong,255977,2010-07-12T02:23:10Z,19080,
10,376234830,373007067,Mild Bill Hiccup,5202324,2010-07-30T09:38:33Z,19087,
11,378967669,376234830,MGA73bot,9332754,2010-08-15T01:21:40Z,19091,
12,388154675,378967669,GoingBatty,11555324,2010-10-01T19:54:08Z,19092,
13,395456409,388154675,Jeysaba,550271,2010-11-08T01:05:28Z,19097,
14,426619879,395456409,Penhisa,14487531,2011-04-29T20:30:30Z,19164,
15,426660585,426619879,Dawnseeker2000,1544984,2011-04-30T02:03:43Z,19097,
16,428131590,426660585,Mild Bill Hiccup,5202324,2011-05-08T20:07:46Z,19098,
17,428167688,428131590,Arilang1234,7766449,2011-05-09T00:40:36Z,19143,
18,437088264,428167688,222.166.181.246,0,2011-06-30T18:05:20Z,19170,True
19,437416885,437088264,Benjwong,255977,2011-07-02T17:05:57Z,20349,
20,437417014,437416885,Benjwong,255977,2011-07-02T17:06:49Z,21770,
21,437417420,437417014,Benjwong,255977,2011-07-02T17:09:36Z,21871,
22,437417951,437417420,Benjwong,255977,2011-07-02T17:13:14Z,22457,
23,437418033,437417951,Benjwong,255977,2011-07-02T17:13:52Z,22455,
24,437418210,437418033,Benjwong,255977,2011-07-02T17:15:08Z,22791,
25,437500748,437418210,221.127.40.15,0,2011-07-03T04:17:01Z,23005,True
26,438009976,437500748,Edward,4261,2011-07-06T07:19:14Z,23009,
27,439985716,438009976,Benjwong,255977,2011-07-17T18:30:09Z,23573,
28,441308540,439985716,Benjwong,255977,2011-07-25T07:36:37Z,23573,
29,453287786,441308540,EmausBot,11292982,2011-09-30T23:30:31Z,23570,
30,464041227,453287786,203.186.29.45,0,2011-12-04T13:50:55Z,23572,True
31,467446917,464041227,219.73.48.121,0,2011-12-24T04:41:21Z,23575,True
32,473427605,467446917,Yobot,7328338,2012-01-27T00:11:41Z,23573,
33,491010859,473427605,Helpful Pixie Bot,14216826,2012-05-06T16:17:16Z,23575,
34,498327535,491010859,Onanoff,13351298,2012-06-19T12:09:59Z,23570,
35,500507139,498327535,87.219.40.105,0,2012-07-03T16:04:05Z,23589,True
36,500531856,500507139,LLTimes,7513893,2012-07-03T18:50:32Z,23584,
37,500532001,500531856,LLTimes,7513893,2012-07-03T18:51:36Z,23585,
38,500534072,500532001,LLTimes,7513893,2012-07-03T19:05:28Z,23387,
39,502941983,500534072,209.188.16.122,0,2012-07-18T11:05:38Z,25524,True
40,503132984,502941983,209.188.16.122,0,2012-07-19T15:31:54Z,25617,True
