,revid,parentid,user,userid,timestamp,size,anon
0,912202256,0,Angelalive,7270956,2019-08-23T22:22:23Z,717,
1,912203581,912202256,Angelalive,7270956,2019-08-23T22:35:34Z,2114,
2,912205144,912203581,Angelalive,7270956,2019-08-23T22:52:26Z,2148,
3,912205353,912205144,Shellwood,2366721,2019-08-23T22:54:29Z,2146,
4,912215121,912205353,Thinkuknow,37196349,2019-08-24T00:38:54Z,2260,
5,912233696,912215121,149.129.62.171,0,2019-08-24T04:09:46Z,2289,True
6,912244317,912233696,80.111.165.52,0,2019-08-24T06:40:32Z,2193,True
7,912244985,912244317,CASSIOPEIA,31051948,2019-08-24T06:49:28Z,2249,
8,912246754,912244985,AnomieBOT,7611264,2019-08-24T07:10:18Z,2266,
9,912250905,912246754,Uranus1781,31329918,2019-08-24T08:03:49Z,2919,
10,912250943,912250905,Uranus1781,31329918,2019-08-24T08:04:32Z,2781,
11,912251055,912250943,Uranus1781,31329918,2019-08-24T08:06:00Z,2781,
12,912251365,912251055,Uranus1781,31329918,2019-08-24T08:09:53Z,3103,
13,912251422,912251365,Uranus1781,31329918,2019-08-24T08:10:45Z,3104,
14,912291750,912251422,Wpcpey,3875779,2019-08-24T14:37:30Z,3444,
15,912309288,912291750,Jax 0677,6151339,2019-08-24T17:08:30Z,3463,
16,912309306,912309288,Jax 0677,6151339,2019-08-24T17:08:40Z,3463,
17,912309338,912309306,Jax 0677,6151339,2019-08-24T17:09:03Z,3462,
18,912309376,912309338,Jax 0677,6151339,2019-08-24T17:09:26Z,3467,
19,912309403,912309376,Jax 0677,6151339,2019-08-24T17:09:43Z,3474,
20,912313032,912309403,AnomieBOT,7611264,2019-08-24T17:42:51Z,3491,
21,912325454,912313032,65.60.163.223,0,2019-08-24T19:30:54Z,7401,True
22,912328582,912325454,65.60.163.223,0,2019-08-24T19:57:23Z,7412,True
23,912328730,912328582,65.60.163.223,0,2019-08-24T19:58:50Z,7435,True
24,912350544,912328730,Ohconfucius,736651,2019-08-24T23:19:42Z,9793,
25,912351477,912350544,Ohconfucius,736651,2019-08-24T23:29:14Z,9810,
26,912351643,912351477,Ohconfucius,736651,2019-08-24T23:31:14Z,9986,
27,912351803,912351643,Ohconfucius,736651,2019-08-24T23:32:52Z,10075,
28,912353638,912351803,Ohconfucius,736651,2019-08-24T23:53:29Z,10618,
29,912354054,912353638,Ohconfucius,736651,2019-08-24T23:58:28Z,10639,
30,912354278,912354054,Ohconfucius,736651,2019-08-25T00:00:37Z,10720,
31,912355709,912354278,Ohconfucius,736651,2019-08-25T00:13:27Z,11217,
32,912355786,912355709,Ohconfucius,736651,2019-08-25T00:14:11Z,11542,
33,912360590,912355786,65.60.163.223,0,2019-08-25T01:02:00Z,11559,True
34,912361572,912360590,65.60.163.223,0,2019-08-25T01:12:22Z,11693,True
35,912362764,912361572,65.60.163.223,0,2019-08-25T01:26:22Z,11745,True
36,912362873,912362764,65.60.163.223,0,2019-08-25T01:27:32Z,11745,True
37,912387292,912362873,Newslinger,33467233,2019-08-25T06:47:58Z,11774,
38,912410073,912387292,Ohconfucius,736651,2019-08-25T11:25:52Z,11770,
39,912410115,912410073,Ohconfucius,736651,2019-08-25T11:26:19Z,11792,
40,912410319,912410115,Ohconfucius,736651,2019-08-25T11:28:42Z,11625,
41,912410872,912410319,Ohconfucius,736651,2019-08-25T11:35:19Z,11659,
42,912412938,912410872,Ohconfucius,736651,2019-08-25T11:59:06Z,12483,
43,912413144,912412938,Ohconfucius,736651,2019-08-25T12:01:11Z,12546,
44,912413197,912413144,Ohconfucius,736651,2019-08-25T12:01:47Z,12547,
45,912414247,912413197,Hoising,2864272,2019-08-25T12:14:04Z,12546,
46,912414306,912414247,Ohconfucius,736651,2019-08-25T12:14:39Z,13496,
47,912414311,912414306,Hoising,2864272,2019-08-25T12:14:45Z,13512,
48,912414427,912414311,Ohconfucius,736651,2019-08-25T12:16:05Z,13496,
49,912414488,912414427,Ohconfucius,736651,2019-08-25T12:16:55Z,13515,
50,912414580,912414488,Hoising,2864272,2019-08-25T12:17:50Z,13562,
51,912414665,912414580,Ohconfucius,736651,2019-08-25T12:18:41Z,13553,
52,912414754,912414665,Ohconfucius,736651,2019-08-25T12:19:47Z,13524,
53,912415140,912414754,Ohconfucius,736651,2019-08-25T12:23:59Z,18532,
54,912415313,912415140,Ohconfucius,736651,2019-08-25T12:25:37Z,18538,
55,912415468,912415313,Ohconfucius,736651,2019-08-25T12:27:19Z,18554,
56,912415555,912415468,Ohconfucius,736651,2019-08-25T12:28:17Z,18353,
57,912415605,912415555,Ohconfucius,736651,2019-08-25T12:28:42Z,18330,
58,912415723,912415605,Ohconfucius,736651,2019-08-25T12:30:06Z,18326,
59,912416014,912415723,Ohconfucius,736651,2019-08-25T12:32:41Z,17584,
60,912417394,912416014,80.111.165.52,0,2019-08-25T12:46:32Z,17567,True
61,912417416,912417394,Ohconfucius,736651,2019-08-25T12:46:48Z,17781,
62,912417454,912417416,80.111.165.52,0,2019-08-25T12:47:13Z,17776,True
63,912417542,912417454,80.111.165.52,0,2019-08-25T12:48:11Z,17758,True
64,912417587,912417542,80.111.165.52,0,2019-08-25T12:48:43Z,17745,True
65,912417641,912417587,Ohconfucius,736651,2019-08-25T12:49:12Z,17787,
66,912418284,912417641,Ohconfucius,736651,2019-08-25T12:54:57Z,17766,
67,912418831,912418284,Ohconfucius,736651,2019-08-25T12:59:34Z,17696,
68,912419038,912418831,Ohconfucius,736651,2019-08-25T13:01:21Z,17697,
69,912421652,912419038,Ohconfucius,736651,2019-08-25T13:27:30Z,13798,
70,912423543,912421652,Ohconfucius,736651,2019-08-25T13:46:05Z,14058,
71,912423573,912423543,Ohconfucius,736651,2019-08-25T13:46:25Z,14064,
72,912423653,912423573,Ohconfucius,736651,2019-08-25T13:47:05Z,14070,
73,912424406,912423653,Ohconfucius,736651,2019-08-25T13:54:46Z,14635,
74,912426519,912424406,AnomieBOT,7611264,2019-08-25T14:16:01Z,14669,
75,912452081,912426519,Draconicfire,12360011,2019-08-25T17:56:44Z,14681,
76,912452621,912452081,65.60.163.223,0,2019-08-25T18:00:51Z,14685,True
77,912456129,912452621,65.60.163.223,0,2019-08-25T18:31:21Z,14672,True
78,912514516,912456129,65.60.163.223,0,2019-08-26T03:35:17Z,15745,True
79,912514897,912514516,65.60.163.223,0,2019-08-26T03:39:09Z,15862,True
80,912516271,912514897,65.60.163.223,0,2019-08-26T03:53:05Z,15656,True
81,912518988,912516271,65.60.163.223,0,2019-08-26T04:19:37Z,15989,True
82,912519288,912518988,65.60.163.223,0,2019-08-26T04:22:44Z,15993,True
83,912519331,912519288,65.60.163.223,0,2019-08-26T04:23:10Z,15988,True
84,912522289,912519331,65.60.163.223,0,2019-08-26T04:53:48Z,16774,True
85,912522458,912522289,65.60.163.223,0,2019-08-26T04:56:07Z,16774,True
86,912534871,912522458,Teddyfail,37210499,2019-08-26T07:46:44Z,16891,
87,912535759,912534871,Wefk423,30693367,2019-08-26T07:59:01Z,16917,
88,912812699,912535759,65.60.163.223,0,2019-08-28T01:31:42Z,17419,True
89,912812837,912812699,65.60.163.223,0,2019-08-28T01:33:02Z,17415,True
90,912815292,912812837,65.60.163.223,0,2019-08-28T01:55:35Z,18821,True
91,912816144,912815292,65.60.163.223,0,2019-08-28T02:02:41Z,18859,True
92,912816986,912816144,65.60.163.223,0,2019-08-28T02:10:34Z,19406,True
93,912818814,912816986,65.60.163.223,0,2019-08-28T02:27:21Z,20348,True
94,912821610,912818814,65.60.163.223,0,2019-08-28T02:56:32Z,21749,True
95,912821717,912821610,65.60.163.223,0,2019-08-28T02:57:26Z,21750,True
96,912821829,912821717,65.60.163.223,0,2019-08-28T02:58:47Z,21751,True
97,912822362,912821829,65.60.163.223,0,2019-08-28T03:04:13Z,21757,True
98,912943008,912822362,Câu lạc bộ,37171967,2019-08-28T21:48:31Z,21767,
99,912954710,912943008,Ohconfucius,736651,2019-08-28T23:27:27Z,21919,
100,913092295,912954710,Ohconfucius,736651,2019-08-29T20:44:21Z,21920,
101,913092403,913092295,Ohconfucius,736651,2019-08-29T20:45:20Z,21930,
102,913092453,913092403,Ohconfucius,736651,2019-08-29T20:45:41Z,21847,
103,913094087,913092453,Ohconfucius,736651,2019-08-29T20:58:13Z,20905,
104,913094137,913094087,Ohconfucius,736651,2019-08-29T20:58:39Z,20854,
105,913095122,913094137,Ohconfucius,736651,2019-08-29T21:07:00Z,21313,
106,913096754,913095122,Ohconfucius,736651,2019-08-29T21:23:18Z,21334,
107,913131517,913096754,Newslinger,33467233,2019-08-30T02:57:57Z,21383,
108,913350375,913131517,Renata3,320236,2019-08-31T15:10:09Z,21380,
109,913484025,913350375,Wefk423,30693367,2019-09-01T10:23:45Z,21344,
110,913578997,913484025,65.60.163.223,0,2019-09-01T23:18:44Z,20065,True
111,913775369,913578997,Winstonsmith1012,37258887,2019-09-03T03:33:58Z,20099,
112,913778694,913775369,Mariogoods,34143604,2019-09-03T04:05:49Z,20098,
113,914129646,913778694,Cypp0847,29882443,2019-09-05T11:24:01Z,20163,
114,914129945,914129646,Cypp0847,29882443,2019-09-05T11:27:46Z,20725,
115,914320468,914129945,Ohconfucius,736651,2019-09-06T16:08:31Z,20659,
