,revid,parentid,user,userid,timestamp,size,anon
0,856433076,0,Koavf,205121,2018-08-25T04:42:41Z,25,
1,873316102,856433076,Number 57,327289,2018-12-12T12:39:28Z,25,
2,873411494,873316102,Kdm852,18929001,2018-12-13T01:16:45Z,47,
3,878490418,873411494,Kdm852,18929001,2019-01-15T03:27:45Z,70,
4,927739685,878490418,Jim Michael,11743147,2019-11-24T13:15:30Z,120,
5,927739715,927739685,Jim Michael,11743147,2019-11-24T13:15:48Z,120,
6,927819609,927739715,Joshualouie711,26681559,2019-11-25T00:21:20Z,671,
7,927820834,927819609,Knowsitallnot,1726758,2019-11-25T00:31:42Z,865,
8,927821407,927820834,Knowsitallnot,1726758,2019-11-25T00:36:18Z,1642,
9,927821709,927821407,Knowsitallnot,1726758,2019-11-25T00:38:50Z,1956,
10,927821856,927821709,Knowsitallnot,1726758,2019-11-25T00:40:05Z,2031,
11,927821953,927821856,Knowsitallnot,1726758,2019-11-25T00:40:47Z,2033,
12,927822417,927821953,Knowsitallnot,1726758,2019-11-25T00:45:03Z,2182,
13,927823026,927822417,Knowsitallnot,1726758,2019-11-25T00:50:12Z,1494,
14,927842755,927823026,YuriGagrin12,32447042,2019-11-25T03:36:38Z,1879,
15,927851965,927842755,Kdm852,18929001,2019-11-25T04:58:06Z,2412,
16,927855208,927851965,Muboshgu,602857,2019-11-25T05:34:28Z,2449,
17,927857190,927855208,Syced,223682,2019-11-25T05:56:49Z,2626,
18,927858015,927857190,Syced,223682,2019-11-25T06:05:56Z,2760,
19,927882425,927858015,Coldtim2,37914506,2019-11-25T11:02:24Z,3135,
20,927898156,927882425,Another Believer,5886041,2019-11-25T14:06:12Z,3164,
21,927910889,927898156,Gandalfett,37907930,2019-11-25T15:51:20Z,3630,
22,927991577,927910889,Coldtim2,37914506,2019-11-26T02:36:49Z,3904,
23,927991666,927991577,Coldtim2,37914506,2019-11-26T02:37:29Z,3903,
24,928048047,927991666,Lmmnhn,4599174,2019-11-26T13:31:44Z,4254,
25,928048123,928048047,Lmmnhn,4599174,2019-11-26T13:32:30Z,4291,
26,928050507,928048123,Sirlanz,4714987,2019-11-26T13:57:09Z,4623,
27,928051065,928050507,Coldtim2,37914506,2019-11-26T14:02:19Z,4833,
28,928051286,928051065,Coldtim2,37914506,2019-11-26T14:04:28Z,4980,
29,928053129,928051286,223.141.120.177,0,2019-11-26T14:21:29Z,5169,True
30,928053152,928053129,223.141.120.177,0,2019-11-26T14:21:40Z,5168,True
31,928054285,928053152,223.141.120.177,0,2019-11-26T14:31:04Z,5590,True
32,928054561,928054285,223.141.120.174,0,2019-11-26T14:33:28Z,5727,True
33,928054629,928054561,223.141.120.174,0,2019-11-26T14:33:57Z,5740,True
34,928055305,928054629,Sirlanz,4714987,2019-11-26T14:39:31Z,6147,
35,928057704,928055305,2804:7F7:A28C:259E:4C0C:13C2:BA63:5CCD,0,2019-11-26T14:59:24Z,6535,True
36,928057783,928057704,Coldtim2,37914506,2019-11-26T15:00:02Z,6706,
37,928063296,928057783,223.141.120.174,0,2019-11-26T15:47:20Z,7156,True
38,928063702,928063296,Lord Roem,13680988,2019-11-26T15:50:44Z,7455,
39,928066721,928063702,Lmmnhn,4599174,2019-11-26T16:14:50Z,8239,
40,928070186,928066721,Clcpang,13584430,2019-11-26T16:44:06Z,8622,
41,928116479,928070186,Sirlanz,4714987,2019-11-26T22:40:54Z,9404,
42,928116657,928116479,Sirlanz,4714987,2019-11-26T22:42:26Z,9402,
43,928116947,928116657,Sirlanz,4714987,2019-11-26T22:45:16Z,9681,
44,928139950,928116947,Coldtim2,37914506,2019-11-27T02:10:40Z,9881,
45,928140038,928139950,Coldtim2,37914506,2019-11-27T02:11:48Z,9882,
46,928142663,928140038,Sirlanz,4714987,2019-11-27T02:38:44Z,10340,
47,928150675,928142663,Coldtim2,37914506,2019-11-27T04:03:48Z,10575,
48,928150948,928150675,Coldtim2,37914506,2019-11-27T04:06:45Z,10782,
49,928151053,928150948,Coldtim2,37914506,2019-11-27T04:07:49Z,10600,
50,928151174,928151053,Sirlanz,4714987,2019-11-27T04:09:09Z,10741,
51,928151212,928151174,Coldtim2,37914506,2019-11-27T04:09:33Z,10977,
52,928151259,928151212,Coldtim2,37914506,2019-11-27T04:10:01Z,10837,
53,928151355,928151259,Coldtim2,37914506,2019-11-27T04:10:53Z,10836,
54,928151394,928151355,Coldtim2,37914506,2019-11-27T04:11:18Z,10842,
55,928151559,928151394,Coldtim2,37914506,2019-11-27T04:13:32Z,10802,
56,928151774,928151559,Coldtim2,37914506,2019-11-27T04:16:24Z,10817,
57,928152140,928151774,Coldtim2,37914506,2019-11-27T04:20:26Z,10907,
58,928152234,928152140,Coldtim2,37914506,2019-11-27T04:21:37Z,10912,
59,928152330,928152234,Coldtim2,37914506,2019-11-27T04:22:48Z,10864,
60,928152589,928152330,Coldtim2,37914506,2019-11-27T04:25:45Z,10951,
61,928153368,928152589,Coldtim2,37914506,2019-11-27T04:35:47Z,10745,
62,928154259,928153368,Coldtim2,37914506,2019-11-27T04:46:47Z,11205,
63,928154317,928154259,Coldtim2,37914506,2019-11-27T04:47:28Z,11207,
64,928154800,928154317,Coldtim2,37914506,2019-11-27T04:53:26Z,11207,
65,928155934,928154800,Coldtim2,37914506,2019-11-27T05:08:24Z,11626,
66,928156165,928155934,Coldtim2,37914506,2019-11-27T05:11:14Z,11737,
67,928157931,928156165,Coldtim2,37914506,2019-11-27T05:32:28Z,11883,
68,928158635,928157931,Coldtim2,37914506,2019-11-27T05:42:00Z,11581,
69,928159125,928158635,Coldtim2,37914506,2019-11-27T05:47:15Z,11848,
70,928159180,928159125,Coldtim2,37914506,2019-11-27T05:47:52Z,11935,
71,928183675,928159180,Coldtim2,37914506,2019-11-27T10:11:10Z,11933,
72,928184335,928183675,Enzomich,13984241,2019-11-27T10:19:34Z,12137,
73,928191976,928184335,Lmmnhn,4599174,2019-11-27T11:56:04Z,12997,
