,revid,parentid,user,userid,timestamp,size,anon
0,901254961,0,Wefk423,30693367,2019-06-10T17:32:14Z,196,
1,901267459,901254961,Lmmnhn,4599174,2019-06-10T19:09:56Z,196,
2,901270352,901267459,Lmmnhn,4599174,2019-06-10T19:33:40Z,427,
3,901298588,901270352,Coffeeandcrumbs,31403387,2019-06-10T23:46:45Z,963,
4,901299294,901298588,Another Believer,5886041,2019-06-10T23:54:36Z,979,
5,901299342,901299294,Another Believer,5886041,2019-06-10T23:55:05Z,1010,
6,901314178,901299342,Lmmnhn,4599174,2019-06-11T02:45:57Z,1363,
7,901318872,901314178,Oshawott 12,32349500,2019-06-11T03:37:41Z,1391,
8,901318892,901318872,Oshawott 12,32349500,2019-06-11T03:37:55Z,1661,
9,901322080,901318892,Mariogoods,34143604,2019-06-11T04:20:45Z,1868,
10,901330089,901322080,Pratyeka,9156,2019-06-11T05:58:47Z,1989,
11,901335673,901330089,Cypp0847,29882443,2019-06-11T07:15:59Z,2137,
12,901340373,901335673,MSGJ,42630,2019-06-11T08:09:52Z,2137,
13,901359050,901340373,Jamesshliu,11227789,2019-06-11T10:46:08Z,2138,
14,901360052,901359050,Jamesshliu,11227789,2019-06-11T10:53:38Z,2340,
15,901371294,901360052,Wefk423,30693367,2019-06-11T12:44:15Z,2406,
16,901378748,901371294,Nizolan,19655465,2019-06-11T13:49:17Z,2604,
17,901417507,901378748,Wefk423,30693367,2019-06-11T18:34:40Z,3663,
18,901429367,901417507,Nizolan,19655465,2019-06-11T20:08:45Z,4452,
19,901433601,901429367,Wefk423,30693367,2019-06-11T20:43:41Z,5109,
20,901435362,901433601,Nizolan,19655465,2019-06-11T20:56:37Z,5365,
21,901436279,901435362,Ohconfucius,736651,2019-06-11T21:03:42Z,5804,
22,901457867,901436279,Big universe,1634155,2019-06-12T00:36:32Z,6907,
23,901463849,901457867,Citobun,19212093,2019-06-12T01:41:39Z,7019,
24,901468850,901463849,Nova Crystallis,19114861,2019-06-12T02:39:22Z,8370,
25,901481303,901468850,WikiAviator,34212740,2019-06-12T05:04:06Z,8629,
26,901493072,901481303,Wefk423,30693367,2019-06-12T07:35:49Z,8818,
27,901578107,901493072,Magnabonzo,4479701,2019-06-12T20:55:25Z,9354,
28,901578149,901578107,Magnabonzo,4479701,2019-06-12T20:55:52Z,9355,
29,901578701,901578149,Wefk423,30693367,2019-06-12T20:59:56Z,9757,
30,901579847,901578701,Nizolan,19655465,2019-06-12T21:10:10Z,10076,
31,901579931,901579847,Nizolan,19655465,2019-06-12T21:10:45Z,10133,
32,901582282,901579931,Nizolan,19655465,2019-06-12T21:33:35Z,10456,
33,901588981,901582282,Victorgrigas,558022,2019-06-12T22:40:51Z,10657,
34,901589180,901588981,Victorgrigas,558022,2019-06-12T22:42:39Z,10700,
35,901589564,901589180,Victorgrigas,558022,2019-06-12T22:47:04Z,11161,
36,901615766,901589564,Matthew hk,727505,2019-06-13T03:48:49Z,11400,
37,901616592,901615766,Matthew hk,727505,2019-06-13T03:58:31Z,12264,
38,901616805,901616592,Matthew hk,727505,2019-06-13T04:01:12Z,12678,
39,901616829,901616805,Matthew hk,727505,2019-06-13T04:01:29Z,12685,
40,901616855,901616829,Matthew hk,727505,2019-06-13T04:01:51Z,12684,
41,901616923,901616855,Matthew hk,727505,2019-06-13T04:02:34Z,12692,
42,901654021,901616923,Nizolan,19655465,2019-06-13T11:19:13Z,12968,
43,901658433,901654021,Wefk423,30693367,2019-06-13T12:00:47Z,13235,
44,901696468,901658433,Wefk423,30693367,2019-06-13T17:17:05Z,13521,
45,901696500,901696468,Wefk423,30693367,2019-06-13T17:17:20Z,13612,
46,901754668,901696500,Mount2010,25679202,2019-06-14T02:01:22Z,14078,
47,901768496,901754668,Matthew hk,727505,2019-06-14T04:21:25Z,15829,
48,901768572,901768496,Matthew hk,727505,2019-06-14T04:22:19Z,16015,
49,901768620,901768572,Matthew hk,727505,2019-06-14T04:22:53Z,16021,
50,901768942,901768620,Matthew hk,727505,2019-06-14T04:26:27Z,16224,
51,901769029,901768942,Matthew hk,727505,2019-06-14T04:27:29Z,16278,
52,901794559,901769029,Rob3512,26825960,2019-06-14T10:00:14Z,16305,
53,901839665,901794559,Zaiisao,27368739,2019-06-14T16:19:20Z,16529,
54,901942127,901839665,Mariogoods,34143604,2019-06-15T10:49:10Z,16799,
55,902073280,901942127,Wefk423,30693367,2019-06-16T10:47:51Z,17333,
56,902098739,902073280,61.15.200.99,0,2019-06-16T15:05:02Z,17333,True
57,902098819,902098739,Nizolan,19655465,2019-06-16T15:05:33Z,17966,
58,902099257,902098819,Nizolan,19655465,2019-06-16T15:09:18Z,18347,
59,902099338,902099257,61.15.200.99,0,2019-06-16T15:10:04Z,18398,True
60,902117415,902099338,Wefk423,30693367,2019-06-16T17:36:38Z,18591,
61,902117738,902117415,Wefk423,30693367,2019-06-16T17:39:09Z,18892,
62,902124494,902117738,Nizolan,19655465,2019-06-16T18:43:12Z,19140,
63,902124600,902124494,Nizolan,19655465,2019-06-16T18:44:06Z,19431,
64,902127286,902124600,Ohconfucius,736651,2019-06-16T19:10:01Z,19808,
65,902386001,902127286,Synchrotron Ladiation,36746433,2019-06-18T13:21:39Z,21492,
66,902387817,902386001,Matthew hk,727505,2019-06-18T13:39:12Z,21491,
67,902388285,902387817,Matthew hk,727505,2019-06-18T13:44:03Z,22019,
68,902388335,902388285,Matthew hk,727505,2019-06-18T13:44:30Z,22018,
69,902394826,902388335,Matthew hk,727505,2019-06-18T14:40:56Z,22287,
70,902400685,902394826,Mariogoods,34143604,2019-06-18T15:23:11Z,22287,
71,902406220,902400685,Wefk423,30693367,2019-06-18T16:11:28Z,22583,
72,902407626,902406220,Matthew hk,727505,2019-06-18T16:23:38Z,22869,
73,902407667,902407626,Matthew hk,727505,2019-06-18T16:24:01Z,22870,
74,902413921,902407667,Suzukaze-c,15040441,2019-06-18T17:17:30Z,23125,
75,902413972,902413921,Suzukaze-c,15040441,2019-06-18T17:17:54Z,23126,
76,902419505,902413972,Wefk423,30693367,2019-06-18T18:05:11Z,23382,
77,902709264,902419505,Lmmnhn,4599174,2019-06-20T17:53:48Z,23865,
78,902710890,902709264,Wefk423,30693367,2019-06-20T18:07:14Z,24049,
79,902710929,902710890,Wefk423,30693367,2019-06-20T18:07:31Z,24050,
