,revid,parentid,user,userid,timestamp,size,anon
0,627894525,0,Zding2014,22358152,2014-10-02T00:52:26Z,592,
1,627894708,627894525,Zding2014,22358152,2014-10-02T00:54:10Z,625,
2,627894855,627894708,Zding2014,22358152,2014-10-02T00:55:28Z,708,
3,627895443,627894855,Zding2014,22358152,2014-10-02T01:01:49Z,1123,
4,627895606,627895443,Zding2014,22358152,2014-10-02T01:03:31Z,1138,
5,627895643,627895606,Zding2014,22358152,2014-10-02T01:03:56Z,1138,
6,627895870,627895643,Zding2014,22358152,2014-10-02T01:06:10Z,1169,
7,627896063,627895870,Zding2014,22358152,2014-10-02T01:08:24Z,1284,
8,627896224,627896063,Zding2014,22358152,2014-10-02T01:10:20Z,1332,
9,627896310,627896224,Zding2014,22358152,2014-10-02T01:11:15Z,1358,
10,627896440,627896310,Zding2014,22358152,2014-10-02T01:12:51Z,1376,
11,627896943,627896440,Zding2014,22358152,2014-10-02T01:18:18Z,1882,
12,627897107,627896943,Zding2014,22358152,2014-10-02T01:19:43Z,2001,
13,627897392,627897107,Zding2014,22358152,2014-10-02T01:22:21Z,2247,
14,627897412,627897392,Zding2014,22358152,2014-10-02T01:22:36Z,2001,
15,627899467,627897412,Zding2014,22358152,2014-10-02T01:43:39Z,2155,
16,627899547,627899467,Zding2014,22358152,2014-10-02T01:44:39Z,2260,
17,627907103,627899547,Explorer09,8336298,2014-10-02T03:17:56Z,2296,
18,627915310,627907103,AnomieBOT,7611264,2014-10-02T05:18:29Z,2314,
19,628039762,627915310,Isthereobjectiveethics,22688206,2014-10-03T04:27:51Z,2969,
20,628079664,628039762,Stylus59,3718291,2014-10-03T13:35:59Z,2987,
21,628092806,628079664,AnomieBOT,7611264,2014-10-03T15:36:45Z,3005,
22,628169477,628092806,Ohconfucius,736651,2014-10-04T05:01:02Z,37,
23,635595042,628169477,Ohconfucius,736651,2014-11-27T02:04:59Z,1448,
24,635601838,635595042,Ohconfucius,736651,2014-11-27T03:21:58Z,1541,
25,635791231,635601838,STSC,1732781,2014-11-28T17:47:37Z,1612,
26,635845921,635791231,Shirt58,1607861,2014-11-29T02:02:36Z,1604,
27,635845979,635845921,Shirt58,1607861,2014-11-29T02:03:08Z,1533,
28,635847312,635845979,Shirt58,1607861,2014-11-29T02:20:44Z,2017,
29,635848647,635847312,Shirt58,1607861,2014-11-29T02:37:21Z,2447,
30,635850067,635848647,Shirt58,1607861,2014-11-29T02:55:24Z,2482,
31,635901581,635850067,Ohconfucius,736651,2014-11-29T15:10:44Z,3275,
32,635902439,635901581,Ohconfucius,736651,2014-11-29T15:20:05Z,3545,
33,635902861,635902439,Ohconfucius,736651,2014-11-29T15:24:20Z,4072,
34,635903114,635902861,Ohconfucius,736651,2014-11-29T15:26:55Z,4168,
35,635905867,635903114,RGloucester,15815756,2014-11-29T15:53:39Z,37,
36,635995583,635905867,Ohconfucius,736651,2014-11-30T06:29:40Z,4168,
37,635996432,635995583,Ohconfucius,736651,2014-11-30T06:42:28Z,21798,
38,636013648,635996432,George Ho,595371,2014-11-30T11:06:46Z,21799,
39,636014923,636013648,George Ho,595371,2014-11-30T11:24:53Z,21803,
40,636062657,636014923,George Ho,595371,2014-11-30T19:29:08Z,21800,
41,636062832,636062657,George Ho,595371,2014-11-30T19:30:25Z,21883,
42,636062917,636062832,George Ho,595371,2014-11-30T19:31:05Z,21849,
43,636095251,636062917,Anthony Appleyard,119438,2014-12-01T00:04:17Z,21849,
44,636108758,636095251,Ohconfucius,736651,2014-12-01T01:52:34Z,21849,
45,636113712,636108758,Ohconfucius,736651,2014-12-01T02:41:32Z,23963,
46,636113790,636113712,Ohconfucius,736651,2014-12-01T02:42:21Z,23986,
47,636117051,636113790,RGloucester,15815756,2014-12-01T03:13:39Z,23986,
48,636117140,636117051,RGloucester,15815756,2014-12-01T03:14:28Z,23986,
49,636137297,636117140,TheCoffeeAddict,22957913,2014-12-01T07:13:47Z,23981,
50,636152575,636137297,UU,651047,2014-12-01T10:29:38Z,24019,
51,636153984,636152575,UU,651047,2014-12-01T10:48:11Z,24023,
52,636170986,636153984,Jabo-er,15141079,2014-12-01T14:08:33Z,24045,
53,636183850,636170986,AnomieBOT,7611264,2014-12-01T16:08:46Z,24064,
54,636437214,636183850,Ohconfucius,736651,2014-12-03T09:08:58Z,24093,
55,636441006,636437214,116.87.127.67,0,2014-12-03T10:03:19Z,24093,True
56,636555290,636441006,Ohconfucius,736651,2014-12-04T03:33:31Z,24881,
57,636555458,636555290,Ohconfucius,736651,2014-12-04T03:35:01Z,24891,
58,636555925,636555458,Ohconfucius,736651,2014-12-04T03:40:00Z,24893,
59,636557164,636555925,Ohconfucius,736651,2014-12-04T03:53:50Z,26123,
60,636557361,636557164,Ohconfucius,736651,2014-12-04T03:56:10Z,26129,
61,636558437,636557361,Ohconfucius,736651,2014-12-04T04:09:01Z,26436,
62,636558601,636558437,Ohconfucius,736651,2014-12-04T04:11:07Z,26464,
63,636558730,636558601,Ohconfucius,736651,2014-12-04T04:12:40Z,26292,
64,636558925,636558730,Ohconfucius,736651,2014-12-04T04:15:06Z,26278,
65,636559852,636558925,Ohconfucius,736651,2014-12-04T04:26:18Z,28774,
66,636560993,636559852,Ohconfucius,736651,2014-12-04T04:39:04Z,28934,
67,636570170,636560993,Ohconfucius,736651,2014-12-04T06:27:08Z,30505,
68,636570247,636570170,Ohconfucius,736651,2014-12-04T06:28:18Z,30504,
69,636571088,636570247,Ohconfucius,736651,2014-12-04T06:39:07Z,31327,
70,636576824,636571088,Ohconfucius,736651,2014-12-04T07:55:04Z,31487,
71,636577054,636576824,Ohconfucius,736651,2014-12-04T07:58:54Z,31641,
72,636581168,636577054,Ohconfucius,736651,2014-12-04T09:01:08Z,32115,
73,636581708,636581168,Ohconfucius,736651,2014-12-04T09:08:56Z,32530,
74,636582730,636581708,Ohconfucius,736651,2014-12-04T09:21:26Z,32609,
75,636605467,636582730,Ohconfucius,736651,2014-12-04T13:54:56Z,32747,
76,636606110,636605467,Ohconfucius,736651,2014-12-04T14:00:33Z,32755,
77,636610924,636606110,RGloucester,15815756,2014-12-04T14:44:36Z,32714,
78,636612612,636610924,Ohconfucius,736651,2014-12-04T15:00:51Z,32951,
79,636708496,636612612,Ohconfucius,736651,2014-12-05T03:40:05Z,33147,
