,pageid,ns,title
0,13569,0,Hongkong
1,13825,0,"Hong Kong, city"
2,68735,0,"Hong Kong, China"
3,223664,0,ISO 3166-1:HK
4,258665,0,Hong-Kong
5,268800,0,Climate of Hong Kong
6,346163,0,HKSAR
7,368874,0,"Hong Kong SAR, China"
8,534324,0,Xianggang
9,534329,0,Heung-Gong
10,534332,0,Heung-gong
11,553737,0,Heung Gong
12,770432,0,Hsiang-kang
13,919772,0,Hong Kong Special Administrative Region of the People's Republic of China
14,1021588,0,Hong kong
15,1045843,0,Sianggang
16,1055696,0,Hong Kong SAR
17,1158953,0,"Hong Kong, SAR"
18,1351873,0,Hong Kong/Infobox
19,1716257,0,Xiang gang
20,1716263,0,Shang gang
21,1716266,0,Hong Kong S. A. R.
22,1716267,0,Hsangkang
23,1716269,0,Hsian kang
24,1716271,0,Hon kon
25,1716272,0,Hong Kong S.A.R.
26,1716273,0,Hsiankang
27,2113162,0,HongKong
28,2113166,0,Hong-kong
29,2308273,0,UN/LOCODE:HKHKG
30,2343793,0,"Hong Kong, Hong Kong"
31,2573982,0,Hk
32,3001898,0,香港
33,3278012,0,Hyanghang
34,3577870,0,Xiānggǎng
35,3577872,0,Xiāng Gǎng
36,4594729,1,Talk:Hong Kong/Hong Kong infobox
37,4594758,0,Hong Kong/infobox
38,5934754,0,Hong Kong Special Administrative Region of China
39,6532353,0,Hong cong
40,7117814,0,"Hong Kong,China"
41,7249421,0,Hksar
42,8434750,0,Hog Kog
43,11295245,0,香港特別行政區
44,12153833,0,Hon Kon
45,14422897,0,Hong Kong Special Administrative Region
46,15007595,0,Hong Kong cityscape
47,16217124,0,Xiang Gang
48,16757874,0,HK
49,18189045,0,CN-91
50,19307181,0,"Hongkong,China"
51,19567373,0,Name of Hong Kong
52,22148552,0,Honk Kong
53,23366659,0,Climate of hong kong
54,23625914,0,Hong Kong (China)
55,23691287,0,Hong Kong China
56,25059782,0,Hong Kong Special Administration Region
57,25230249,0,Hong Kong/China
58,25240937,0,China/Hong Kong
59,26177236,0,香港特别行政区
60,27010908,0,中華人民共和國香港特別行政區
61,27010909,0,中华人民共和国香港特别行政区
62,27167872,0,香港特區
63,27167882,0,香港特区
64,27856453,0,Hoeng1 gong2
65,28058300,0,HONG KONG
66,31108243,0,H.K.
67,31210331,0,Xianggang Tebie Xingzhengqu
68,31681913,0,H K
69,31952020,0,"Hongkong, China"
70,32533433,0,Zhōnghuá rénmín gònghéguó xiānggǎng tèbié xíngzhèngqū
71,33769412,0,Hèunggóng
72,33769415,0,Heunggong
73,34038880,0,HKSAROPRC
74,38124673,0,Hong Kong SAR China
75,38315748,0,H.K.S.A.R.
76,38603157,0,Hong Kong Special Administrative Republic
77,46607928,0,SAR HongKong
78,46607931,0,SAR Hongkong
79,46676992,0,Kong Hong
80,46688239,0,Hong Kong City
81,47503320,0,Hoong Kong
82,54108156,0,Hong Kong city
83,58467958,0,HK Special Administrative Region
84,62587941,0,Heung Kong
