,pageid,ns,title
0,221792,0,One country two systems
1,222442,0,One country-two systems
2,1608109,0,One Country Two Systems
3,2908206,0,"One China, Two Systems"
4,5129201,0,"One country, two system"
5,18287326,0,"One China, two systems"
6,21319899,0,"One nation, two systems"
7,21319902,0,"1 nation, 2 systems"
8,21319983,0,"One people, two systems"
9,21319985,0,"1 people, 2 systems"
10,26172130,0,一国两制
11,26172135,0,一國兩制
12,33839395,0,"One country, Two systems"
13,50506592,0,"One Country, Two Systems"
14,62638222,0,"One-country, two-systems"
