,titles,num_editors,num_anon_editors,num_reg_editors,num_edits,average_edit_size
0,2019–20 Hong Kong protests.csv,991,399,592,,
1,Hong Kong.csv,1247,150,1097,,
2,Carrie Lam.csv,398,154,244,,
3,2019 Hong Kong extradition bill.csv,184,54,130,,
4,2019 Hong Kong local elections.csv,134,40,94,,
5,Reactions to the 2019–20 Hong Kong protests.csv,121,34,87,,
6,2019 Yuen Long attack.csv,98,19,79,,
7,Tactics and methods surrounding the 2019–20 Hong Kong protests.csv,88,17,71,,
8,"One country, two systems.csv",235,90,145,,
9,Umbrella Movement.csv,118,33,85,,
10,Government of Hong Kong.csv,147,70,77,,
11,Murder of Poon Hiu-wing.csv,7,0,7,,
12,Demosistō.csv,107,40,67,,
13,Hong Kong 1 July marches.csv,103,28,75,,
14,Civil Human Rights Front.csv,37,8,29,,
15,Hong Kong Human Rights and Democracy Act.csv,70,28,42,,
16,Chinese University of Hong Kong conflict.csv,29,7,22,,
17,Death of Chow Tsz-lok.csv,27,6,21,,
18,Siege of the Hong Kong Polytechnic University.csv,43,12,31,,
19,Hong Kong–Mainland China conflict.csv,151,49,102,,
20,Storming of the Legislative Council Complex.csv,13,1,12,,
21,Hong Kong Way.csv,39,5,34,,
22,2019 Prince Edward station attack.csv,33,8,25,,
23,Death of Chan Yin-lam.csv,16,0,16,,
24,List of protests in Hong Kong.csv,15,3,12,,
25,Police misconduct allegations during the 2019–20 Hong Kong protests.csv,58,16,42,,
26,Art of the 2019–20 Hong Kong protests.csv,10,0,10,,
27,12 June 2019 Hong Kong protest.csv,10,3,7,,
28,Causes of the 2019–20 Hong Kong protests.csv,52,18,34,,
29,List of March–June 2019 Hong Kong protests.csv,29,5,24,,
30,List of July 2019 Hong Kong protests.csv,32,4,28,,
31,List of August 2019 Hong Kong protests.csv,53,10,43,,
32,List of September 2019 Hong Kong protests.csv,63,14,49,,
33,List of October 2019 Hong Kong protests.csv,71,15,56,,
34,List of November 2019 Hong Kong protests.csv,52,11,41,,
35,List of December 2019 Hong Kong protests.csv,15,4,11,,
36,Glory to Hong Kong.csv,104,23,81,,
37,Lennon Wall (Hong Kong).csv,65,17,48,,
38,HKmap.live.csv,18,9,9,,
39,Talk-2019–20 Hong Kong protests.csv,236,51,185,,
40,Talk-Hong Kong.csv,320,105,215,,
41,Talk-Carrie Lam.csv,39,2,37,,
42,Talk-2019 Hong Kong extradition bill.csv,38,6,32,,
43,Talk-2019 Hong Kong local elections.csv,26,4,22,,
44,Talk-Reactions to the 2019–20 Hong Kong protests.csv,28,2,26,,
45,Talk-2019 Yuen Long attack.csv,35,4,31,,
46,Talk-Tactics and methods surrounding the 2019–20 Hong Kong protests.csv,14,1,13,,
47,"Talk-One country, two systems.csv",22,3,19,,
48,Talk-Umbrella Movement.csv,16,0,16,,
49,Talk-Government of Hong Kong.csv,7,0,7,,
50,Talk-Murder of Poon Hiu-wing.csv,2,0,2,,
51,Talk-Demosistō.csv,8,0,8,,
52,Talk-Hong Kong 1 July marches.csv,9,0,9,,
53,Talk-Civil Human Rights Front.csv,6,1,5,,
54,Talk-Hong Kong Human Rights and Democracy Act.csv,9,0,9,,
55,Talk-Chinese University of Hong Kong conflict.csv,16,2,14,,
56,Talk-Death of Chow Tsz-lok.csv,10,1,9,,
57,Talk-Siege of the Hong Kong Polytechnic University.csv,6,0,6,,
58,Talk-Hong Kong–Mainland China conflict.csv,17,2,15,,
59,Talk-Storming of the Legislative Council Complex.csv,3,0,3,,
60,Talk-Hong Kong Way.csv,12,1,11,,
61,Talk-2019 Prince Edward station attack.csv,15,0,15,,
62,Talk-Death of Chan Yin-lam.csv,4,0,4,,
63,Talk-List of protests in Hong Kong.csv,3,0,3,,
64,Talk-Police misconduct allegations during the 2019–20 Hong Kong protests.csv,18,1,17,,
65,Talk-Art of the 2019–20 Hong Kong protests.csv,4,0,4,,
66,Talk-12 June 2019 Hong Kong protest.csv,4,0,4,,
67,Talk-Causes of the 2019–20 Hong Kong protests.csv,8,2,6,,
68,Talk-List of March–June 2019 Hong Kong protests.csv,8,1,7,,
69,Talk-List of July 2019 Hong Kong protests.csv,4,0,4,,
70,Talk-List of August 2019 Hong Kong protests.csv,5,0,5,,
71,Talk-List of September 2019 Hong Kong protests.csv,10,3,7,,
72,Talk-List of October 2019 Hong Kong protests.csv,7,2,5,,
73,Talk-List of November 2019 Hong Kong protests.csv,7,1,6,,
74,Talk-List of December 2019 Hong Kong protests.csv,2,0,2,,
75,Talk-Glory to Hong Kong.csv,12,1,11,,
76,Talk-Lennon Wall (Hong Kong).csv,7,3,4,,
77,Talk-HKmap.live.csv,7,1,6,,
