,Pageview,Revision,Corr.
496,List of December 2019 Hong Kong protests,Murder of Poon Hiu-wing,0.9855099446542588
11,12 June 2019 Hong Kong protest,Death of Chow Tsz-lok,0.9712882570390919
580,Police misconduct allegations during the 2019–20 Hong Kong protests,Reactions to the 2019–20 Hong Kong protests,0.9267666644198819
449,Hong Kong–Mainland China conflict,List of protests in Hong Kong,0.926343388310592
179,2019–20 Hong Kong protests,List of protests in Hong Kong,0.9035557993804872
291,Chinese University of Hong Kong conflict,Siege of the Hong Kong Polytechnic University,0.9029373281759492
8,12 June 2019 Hong Kong protest,Chinese University of Hong Kong conflict,0.8888565362242398
171,2019–20 Hong Kong protests,Hong Kong–Mainland China conflict,0.8867013014732565
504,List of July 2019 Hong Kong protests,List of March–June 2019 Hong Kong protests,0.8833627225000807
258,Causes of the 2019–20 Hong Kong protests,List of November 2019 Hong Kong protests,0.8825946173168513
524,List of March–June 2019 Hong Kong protests,Reactions to the 2019–20 Hong Kong protests,0.8621451387598377
523,List of March–June 2019 Hong Kong protests,Police misconduct allegations during the 2019–20 Hong Kong protests,0.8611594050739624
37,2019 Hong Kong extradition bill,2019–20 Hong Kong protests,0.8524525112640308
272,Chinese University of Hong Kong conflict,Death of Chow Tsz-lok,0.8478594261148961
267,Causes of the 2019–20 Hong Kong protests,Storming of the Legislative Council Complex,0.8466493517824638
582,Police misconduct allegations during the 2019–20 Hong Kong protests,Storming of the Legislative Council Complex,0.8433454131601451
537,List of November 2019 Hong Kong protests,Storming of the Legislative Council Complex,0.8183605572950473
512,List of July 2019 Hong Kong protests,Reactions to the 2019–20 Hong Kong protests,0.8164488869954126
423,Government of Hong Kong,Umbrella Movement,0.8139055373648666
264,Causes of the 2019–20 Hong Kong protests,Police misconduct allegations during the 2019–20 Hong Kong protests,0.8123928018588457
30,12 June 2019 Hong Kong protest,Siege of the Hong Kong Polytechnic University,0.8114947461940378
10,12 June 2019 Hong Kong protest,Death of Chan Yin-lam,0.8100730803688259
406,Government of Hong Kong,Hong Kong–Mainland China conflict,0.806803005952496
511,List of July 2019 Hong Kong protests,Police misconduct allegations during the 2019–20 Hong Kong protests,0.8017062713059026
247,Causes of the 2019–20 Hong Kong protests,Death of Chow Tsz-lok,0.7986129335680889
417,Government of Hong Kong,"One country, two systems",0.7980145735119476
57,2019 Hong Kong extradition bill,List of protests in Hong Kong,0.7979544169798188
42,2019 Hong Kong extradition bill,Civil Human Rights Front,0.7952840372743822
49,2019 Hong Kong extradition bill,Hong Kong–Mainland China conflict,0.7903197002831265
452,Hong Kong–Mainland China conflict,"One country, two systems",0.7901914888398596
22,12 June 2019 Hong Kong protest,List of November 2019 Hong Kong protests,0.7882550216209843
360,Death of Chow Tsz-lok,Siege of the Hong Kong Polytechnic University,0.7873261324150579
164,2019–20 Hong Kong protests,Civil Human Rights Front,0.7857936013283767
125,2019 Prince Edward station attack,Reactions to the 2019–20 Hong Kong protests,0.7848541775139026
47,2019 Hong Kong extradition bill,Government of Hong Kong,0.7824930180895304
301,Civil Human Rights Front,Hong Kong–Mainland China conflict,0.7820657042748858
327,Death of Chan Yin-lam,List of December 2019 Hong Kong protests,0.781384754072176
7,12 June 2019 Hong Kong protest,Causes of the 2019–20 Hong Kong protests,0.7813029395597925
309,Civil Human Rights Front,List of protests in Hong Kong,0.7755154634200241
39,2019 Hong Kong extradition bill,Carrie Lam,0.7708752884374003
352,Death of Chow Tsz-lok,List of November 2019 Hong Kong protests,0.7706451739167423
414,Government of Hong Kong,List of protests in Hong Kong,0.766270802886496
224,Carrie Lam,Government of Hong Kong,0.7621851025707566
319,Death of Chan Yin-lam,Death of Chow Tsz-lok,0.7613832526738765
31,12 June 2019 Hong Kong protest,Storming of the Legislative Council Complex,0.7603500051779382
283,Chinese University of Hong Kong conflict,List of November 2019 Hong Kong protests,0.7590913178987184
169,2019–20 Hong Kong protests,Government of Hong Kong,0.7586692774410017
334,Death of Chan Yin-lam,Murder of Poon Hiu-wing,0.7575152911687322
586,Reactions to the 2019–20 Hong Kong protests,Storming of the Legislative Council Complex,0.7529075783788186
554,List of protests in Hong Kong,Reactions to the 2019–20 Hong Kong protests,0.7526418732542708
526,List of March–June 2019 Hong Kong protests,Storming of the Legislative Council Complex,0.7522524015182522
534,List of November 2019 Hong Kong protests,Police misconduct allegations during the 2019–20 Hong Kong protests,0.7482912729349506
243,Carrie Lam,Umbrella Movement,0.7443147541738706
299,Civil Human Rights Front,Government of Hong Kong,0.7427051995406018
519,List of March–June 2019 Hong Kong protests,List of protests in Hong Kong,0.7425010702682414
361,Death of Chow Tsz-lok,Storming of the Legislative Council Complex,0.7418876906945189
553,List of protests in Hong Kong,Police misconduct allegations during the 2019–20 Hong Kong protests,0.7415322899858204
60,2019 Hong Kong extradition bill,"One country, two systems",0.7383119700032956
454,Hong Kong–Mainland China conflict,Reactions to the 2019–20 Hong Kong protests,0.7354906902391136
182,2019–20 Hong Kong protests,"One country, two systems",0.7333571342498889
552,List of protests in Hong Kong,"One country, two systems",0.7320328272335422
127,2019 Prince Edward station attack,Storming of the Legislative Council Complex,0.7309793395917905
507,List of July 2019 Hong Kong protests,List of protests in Hong Kong,0.7246460975176732
119,2019 Prince Edward station attack,List of October 2019 Hong Kong protests,0.7240528092195602
66,2019 Hong Kong extradition bill,Umbrella Movement,0.72160809302958
150,2019 Yuen Long attack,List of protests in Hong Kong,0.7210155404429469
476,List of August 2019 Hong Kong protests,List of July 2019 Hong Kong protests,0.7196650279235617
124,2019 Prince Edward station attack,Police misconduct allegations during the 2019–20 Hong Kong protests,0.7160456773608799
