,Article 1,Article 2,Corr.
642,List_of_December_2019_Hong_Kong_protests,Murder_of_Poon_Hiu-wing,0.9856458602935662
11,12_June_2019_Hong_Kong_protest,Death_of_Chow_Tsz-lok,0.9719873712096123
595,Hong_Kong–Mainland_China_conflict,List_of_protests_in_Hong_Kong,0.9299938266185058
726,Police_misconduct_allegations_during_the_2019–20_Hong_Kong_protests,Reactions_to_the_2019–20_Hong_Kong_protests,0.9266539646482076
331,Chinese_University_of_Hong_Kong_conflict,Siege_of_the_Hong_Kong_Polytechnic_University,0.9031418431475995
203,2019–20_Hong_Kong_protests,List_of_protests_in_Hong_Kong,0.9028008360778819
8,12_June_2019_Hong_Kong_protest,Chinese_University_of_Hong_Kong_conflict,0.8890827912425574
195,2019–20_Hong_Kong_protests,Hong_Kong–Mainland_China_conflict,0.8874719473481836
650,List_of_July_2019_Hong_Kong_protests,List_of_March–June_2019_Hong_Kong_protests,0.8830492337298972
294,Causes_of_the_2019–20_Hong_Kong_protests,List_of_November_2019_Hong_Kong_protests,0.8826097630790152
670,List_of_March–June_2019_Hong_Kong_protests,Reactions_to_the_2019–20_Hong_Kong_protests,0.86181600476392
669,List_of_March–June_2019_Hong_Kong_protests,Police_misconduct_allegations_during_the_2019–20_Hong_Kong_protests,0.860806828173277
41,2019_Hong_Kong_extradition_bill,2019–20_Hong_Kong_protests,0.8513942356209788
308,Chinese_University_of_Hong_Kong_conflict,Death_of_Chow_Tsz-lok,0.8483692597670103
303,Causes_of_the_2019–20_Hong_Kong_protests,Storming_of_the_Legislative_Council_Complex,0.8471353382164067
728,Police_misconduct_allegations_during_the_2019–20_Hong_Kong_protests,Storming_of_the_Legislative_Council_Complex,0.8439000306118684
683,List_of_November_2019_Hong_Kong_protests,Storming_of_the_Legislative_Council_Complex,0.8184031357465689
658,List_of_July_2019_Hong_Kong_protests,Reactions_to_the_2019–20_Hong_Kong_protests,0.8160020001364495
300,Causes_of_the_2019–20_Hong_Kong_protests,Police_misconduct_allegations_during_the_2019–20_Hong_Kong_protests,0.8123657828623567
34,12_June_2019_Hong_Kong_protest,Siege_of_the_Hong_Kong_Polytechnic_University,0.8115171950358446
10,12_June_2019_Hong_Kong_protest,Death_of_Chan_Yin-lam,0.8106275835359951
478,Government_of_Hong_Kong,List_of_protests_in_Hong_Kong,0.8087794866052722
657,List_of_July_2019_Hong_Kong_protests,Police_misconduct_allegations_during_the_2019–20_Hong_Kong_protests,0.8012009071264671
279,Causes_of_the_2019–20_Hong_Kong_protests,Death_of_Chow_Tsz-lok,0.7992695870813783
51,2019_Hong_Kong_extradition_bill,Government_of_Hong_Kong,0.7987367167844707
252,Carrie_Lam,Government_of_Hong_Kong,0.7963708438280364
65,2019_Hong_Kong_extradition_bill,List_of_protests_in_Hong_Kong,0.7961207529889214
470,Government_of_Hong_Kong,Hong_Kong–Mainland_China_conflict,0.7946050562192649
46,2019_Hong_Kong_extradition_bill,Civil_Human_Rights_Front,0.7933740515850178
57,2019_Hong_Kong_extradition_bill,Hong_Kong–Mainland_China_conflict,0.7896499958131926
26,12_June_2019_Hong_Kong_protest,List_of_November_2019_Hong_Kong_protests,0.7882984538124627
412,Death_of_Chow_Tsz-lok,Siege_of_the_Hong_Kong_Polytechnic_University,0.7876746868844017
141,2019_Prince_Edward_station_attack,Reactions_to_the_2019–20_Hong_Kong_protests,0.7848274893159537
184,2019–20_Hong_Kong_protests,Civil_Human_Rights_Front,0.7840062254349853
375,Death_of_Chan_Yin-lam,List_of_December_2019_Hong_Kong_protests,0.781450983301592
7,12_June_2019_Hong_Kong_protest,Causes_of_the_2019–20_Hong_Kong_protests,0.7812832748339841
339,Civil_Human_Rights_Front,Government_of_Hong_Kong,0.7735692828779694
404,Death_of_Chow_Tsz-lok,List_of_November_2019_Hong_Kong_protests,0.7712096104496493
189,2019–20_Hong_Kong_protests,Government_of_Hong_Kong,0.7706207951010091
345,Civil_Human_Rights_Front,Hong_Kong–Mainland_China_conflict,0.7696827967347394
43,2019_Hong_Kong_extradition_bill,Carrie_Lam,0.7687025287179605
353,Civil_Human_Rights_Front,List_of_protests_in_Hong_Kong,0.7642527754990381
363,Death_of_Chan_Yin-lam,Death_of_Chow_Tsz-lok,0.761975548696073
35,12_June_2019_Hong_Kong_protest,Storming_of_the_Legislative_Council_Complex,0.7603257840175294
323,Chinese_University_of_Hong_Kong_conflict,List_of_November_2019_Hong_Kong_protests,0.7593165646660484
598,Hong_Kong–Mainland_China_conflict,"One_country,_two_systems",0.7583438516206987
382,Death_of_Chan_Yin-lam,Murder_of_Poon_Hiu-wing,0.7575844090894238
732,Reactions_to_the_2019–20_Hong_Kong_protests,Storming_of_the_Legislative_Council_Complex,0.7531798422128946
672,List_of_March–June_2019_Hong_Kong_protests,Storming_of_the_Legislative_Council_Complex,0.7525771447531032
700,List_of_protests_in_Hong_Kong,Reactions_to_the_2019–20_Hong_Kong_protests,0.7519362538480028
275,Carrie_Lam,Umbrella_Movement,0.7514660225917121
680,List_of_November_2019_Hong_Kong_protests,Police_misconduct_allegations_during_the_2019–20_Hong_Kong_protests,0.7483671930036742
413,Death_of_Chow_Tsz-lok,Storming_of_the_Legislative_Council_Complex,0.7427033152452674
466,Government_of_Hong_Kong,Hong_Kong,0.7422458267038978
665,List_of_March–June_2019_Hong_Kong_protests,List_of_protests_in_Hong_Kong,0.7413815074662552
68,2019_Hong_Kong_extradition_bill,"One_country,_two_systems",0.7410851070531141
699,List_of_protests_in_Hong_Kong,Police_misconduct_allegations_during_the_2019–20_Hong_Kong_protests,0.740676272468995
53,2019_Hong_Kong_extradition_bill,Hong_Kong,0.7361769880935992
600,Hong_Kong–Mainland_China_conflict,Reactions_to_the_2019–20_Hong_Kong_protests,0.7357806183065888
206,2019–20_Hong_Kong_protests,"One_country,_two_systems",0.7351447990620145
487,Government_of_Hong_Kong,Umbrella_Movement,0.7347509907603929
143,2019_Prince_Edward_station_attack,Storming_of_the_Legislative_Council_Complex,0.7314829416722695
698,List_of_protests_in_Hong_Kong,"One_country,_two_systems",0.7314679418866462
74,2019_Hong_Kong_extradition_bill,Umbrella_Movement,0.7282308763589561
