,Article 1,Article 2,Corr.
617,Lennon Wall (Hong Kong),Siege of the Hong Kong Polytechnic University,0.922606118166278
737,Siege of the Hong Kong Polytechnic University,Umbrella Movement,0.88081281928436
359,Civil Human Rights Front,Siege of the Hong Kong Polytechnic University,0.8477208338120571
701,List of protests in Hong Kong,Siege of the Hong Kong Polytechnic University,0.8477208338120571
272,Carrie Lam,Siege of the Hong Kong Polytechnic University,0.8477208338120571
735,Siege of the Hong Kong Polytechnic University,Storming of the Legislative Council Complex,0.847720833812057
107,2019 Hong Kong local elections,Siege of the Hong Kong Polytechnic University,0.8357045967502553
34,12 June 2019 Hong Kong protest,Siege of the Hong Kong Polytechnic University,0.8287911452900407
547,Hong Kong Human Rights and Democracy Act,Siege of the Hong Kong Polytechnic University,0.8287007293902167
489,HKmap.live,Hong Kong Human Rights and Democracy Act,0.8262718910179122
302,Causes of the 2019–20 Hong Kong protests,Siege of the Hong Kong Polytechnic University,0.8187187045624817
21,12 June 2019 Hong Kong protest,Lennon Wall (Hong Kong),0.8093921591059602
9,12 June 2019 Hong Kong protest,Civil Human Rights Front,0.806991243340403
35,12 June 2019 Hong Kong protest,Storming of the Legislative Council Complex,0.806991243340403
28,12 June 2019 Hong Kong protest,List of protests in Hong Kong,0.806991243340403
37,12 June 2019 Hong Kong protest,Umbrella Movement,0.7977557683121704
1,12 June 2019 Hong Kong protest,2019 Hong Kong local elections,0.7973370835637166
157,2019 Yuen Long attack,HKmap.live,0.7901823363858447
492,HKmap.live,Hong Kong–Mainland China conflict,0.7818864812042027
601,Hong Kong–Mainland China conflict,Siege of the Hong Kong Polytechnic University,0.7786037655775181
72,2019 Hong Kong extradition bill,Storming of the Legislative Council Complex,0.762771650780386
237,Art of the 2019–20 Hong Kong protests,Murder of Poon Hiu-wing,0.7443998465285713
103,2019 Hong Kong local elections,Murder of Poon Hiu-wing,0.7386860060879731
268,Carrie Lam,Murder of Poon Hiu-wing,0.7386860060879726
713,Murder of Poon Hiu-wing,"One country, two systems",0.7386860060879726
523,Hong Kong 1 July marches,Murder of Poon Hiu-wing,0.7386860060879726
355,Civil Human Rights Front,Murder of Poon Hiu-wing,0.7386860060879726
480,Government of Hong Kong,Murder of Poon Hiu-wing,0.7386860060879726
717,Murder of Poon Hiu-wing,Storming of the Legislative Council Complex,0.7386860060879726
697,List of protests in Hong Kong,Murder of Poon Hiu-wing,0.7386860060879726
67,2019 Hong Kong extradition bill,Murder of Poon Hiu-wing,0.7386860060879726
