,Date,Count
0,2015-07-01,32
1,2015-07-02,21
2,2015-07-03,2
3,2015-07-04,5
4,2015-07-05,5
5,2015-07-06,10
6,2015-07-07,2
7,2015-07-08,4
8,2015-07-09,6
9,2015-07-10,7
10,2015-07-11,6
11,2015-07-12,1
12,2015-07-13,2
13,2015-07-14,6
14,2015-07-15,2
15,2015-07-16,1
16,2015-07-17,5
17,2015-07-18,4
18,2015-07-19,4
19,2015-07-20,13
20,2015-07-21,0
21,2015-07-22,5
22,2015-07-23,7
23,2015-07-24,3
24,2015-07-25,3
25,2015-07-26,5
26,2015-07-27,1
27,2015-07-28,3
28,2015-07-29,4
29,2015-07-30,6
30,2015-07-31,5
31,2015-08-01,4
32,2015-08-02,3
33,2015-08-03,5
34,2015-08-04,2
35,2015-08-05,3
36,2015-08-06,3
37,2015-08-07,3
38,2015-08-08,1
39,2015-08-09,2
40,2015-08-10,5
41,2015-08-11,3
42,2015-08-12,7
43,2015-08-13,4
44,2015-08-14,5
45,2015-08-15,5
46,2015-08-16,1
47,2015-08-17,2
48,2015-08-18,4
49,2015-08-19,3
50,2015-08-20,3
51,2015-08-21,1
52,2015-08-22,5
53,2015-08-23,2
54,2015-08-24,2
55,2015-08-25,2
56,2015-08-26,1
57,2015-08-27,3
58,2015-08-28,4
59,2015-08-29,3
60,2015-08-30,2
61,2015-08-31,10
62,2015-09-01,4
63,2015-09-02,1
64,2015-09-03,8
65,2015-09-04,4
66,2015-09-05,9
67,2015-09-06,3
68,2015-09-07,5
69,2015-09-08,7
70,2015-09-09,7
71,2015-09-10,7
72,2015-09-11,6
73,2015-09-12,2
74,2015-09-13,5
75,2015-09-14,4
76,2015-09-15,3
77,2015-09-16,5
78,2015-09-17,13
79,2015-09-18,1
80,2015-09-19,2
81,2015-09-20,5
82,2015-09-21,7
83,2015-09-22,11
84,2015-09-23,3
85,2015-09-24,2
86,2015-09-25,8
87,2015-09-26,3
88,2015-09-27,2
89,2015-09-28,7
90,2015-09-29,19
91,2015-09-30,12
92,2015-10-01,5
93,2015-10-02,4
94,2015-10-03,6
95,2015-10-04,6
96,2015-10-05,4
97,2015-10-06,8
98,2015-10-07,3
99,2015-10-08,5
100,2015-10-09,6
101,2015-10-10,5
102,2015-10-11,7
103,2015-10-12,3
104,2015-10-13,5
105,2015-10-14,4
106,2015-10-15,5
107,2015-10-16,3
108,2015-10-17,3
109,2015-10-18,3
110,2015-10-19,4
111,2015-10-20,5
112,2015-10-21,5
113,2015-10-22,9
114,2015-10-23,6
115,2015-10-24,6
116,2015-10-25,3
117,2015-10-26,3
118,2015-10-27,5
119,2015-10-28,2
120,2015-10-29,7
121,2015-10-30,4
122,2015-10-31,3
123,2015-11-01,1
124,2015-11-02,4
125,2015-11-03,7
126,2015-11-04,6
127,2015-11-05,5
128,2015-11-06,8
129,2015-11-07,3
130,2015-11-08,4
131,2015-11-09,3
132,2015-11-10,6
133,2015-11-11,7
134,2015-11-12,4
135,2015-11-13,2
136,2015-11-14,6
137,2015-11-15,2
138,2015-11-16,2
139,2015-11-17,4
140,2015-11-18,10
141,2015-11-19,4
142,2015-11-20,6
143,2015-11-21,1
144,2015-11-22,7
145,2015-11-23,13
146,2015-11-24,3
147,2015-11-25,5
148,2015-11-26,5
149,2015-11-27,11
150,2015-11-28,2
151,2015-11-29,2
152,2015-11-30,4
153,2015-12-01,4
154,2015-12-02,8
155,2015-12-03,2
156,2015-12-04,1
157,2015-12-05,3
158,2015-12-06,3
159,2015-12-07,14
160,2015-12-08,6
161,2015-12-09,5
162,2015-12-10,11
163,2015-12-11,3
164,2015-12-12,4
165,2015-12-13,3
166,2015-12-14,6
167,2015-12-15,3
168,2015-12-16,4
169,2015-12-17,3
170,2015-12-18,4
171,2015-12-19,3
172,2015-12-20,3
173,2015-12-21,1
174,2015-12-22,5
175,2015-12-23,1
176,2015-12-24,7
177,2015-12-25,4
178,2015-12-26,1
179,2015-12-27,0
180,2015-12-28,0
181,2015-12-29,4
182,2015-12-30,2
183,2015-12-31,1
184,2016-01-01,6
185,2016-01-02,1
186,2016-01-03,3
187,2016-01-04,7
188,2016-01-05,3
189,2016-01-06,2
190,2016-01-07,4
191,2016-01-08,2
192,2016-01-09,0
193,2016-01-10,3
194,2016-01-11,3
195,2016-01-12,2
196,2016-01-13,2
197,2016-01-14,2
198,2016-01-15,2
199,2016-01-16,2
200,2016-01-17,7
201,2016-01-18,1
202,2016-01-19,8
203,2016-01-20,3
204,2016-01-21,2
205,2016-01-22,4
206,2016-01-23,8
207,2016-01-24,0
208,2016-01-25,0
209,2016-01-26,6
210,2016-01-27,3
211,2016-01-28,2
212,2016-01-29,7
213,2016-01-30,3
214,2016-01-31,4
215,2016-02-01,2
216,2016-02-02,5
217,2016-02-03,4
218,2016-02-04,2
219,2016-02-05,1
220,2016-02-06,2
221,2016-02-07,5
222,2016-02-08,1
223,2016-02-09,5
224,2016-02-10,5
225,2016-02-11,12
226,2016-02-12,2
227,2016-02-13,6
228,2016-02-14,2
229,2016-02-15,1
230,2016-02-16,5
231,2016-02-17,6
232,2016-02-18,0
233,2016-02-19,2
234,2016-02-20,4
235,2016-02-21,2
236,2016-02-22,2
237,2016-02-23,5
238,2016-02-24,2
239,2016-02-25,4
240,2016-02-26,6
241,2016-02-27,5
242,2016-02-28,2
243,2016-02-29,6
244,2016-03-01,4
245,2016-03-02,8
246,2016-03-03,6
247,2016-03-04,2
248,2016-03-05,4
249,2016-03-06,2
250,2016-03-07,13
251,2016-03-08,2
252,2016-03-09,6
253,2016-03-10,6
254,2016-03-11,6
255,2016-03-12,2
256,2016-03-13,3
257,2016-03-14,0
258,2016-03-15,3
259,2016-03-16,4
260,2016-03-17,7
261,2016-03-18,4
262,2016-03-19,7
263,2016-03-20,3
264,2016-03-21,5
265,2016-03-22,5
266,2016-03-23,2
267,2016-03-24,4
268,2016-03-25,2
269,2016-03-26,1
270,2016-03-27,3
271,2016-03-28,4
272,2016-03-29,7
273,2016-03-30,7
274,2016-03-31,2
275,2016-04-01,7
276,2016-04-02,0
277,2016-04-03,4
278,2016-04-04,3
279,2016-04-05,10
280,2016-04-06,6
281,2016-04-07,2
282,2016-04-08,4
283,2016-04-09,2
284,2016-04-10,1
285,2016-04-11,5
286,2016-04-12,12
287,2016-04-13,4
288,2016-04-14,10
289,2016-04-15,11
290,2016-04-16,5
291,2016-04-17,4
292,2016-04-18,5
293,2016-04-19,6
294,2016-04-20,9
295,2016-04-21,7
296,2016-04-22,11
297,2016-04-23,4
298,2016-04-24,6
299,2016-04-25,9
300,2016-04-26,2
301,2016-04-27,2
302,2016-04-28,3
303,2016-04-29,2
304,2016-04-30,1
305,2016-05-01,5
306,2016-05-02,5
307,2016-05-03,3
308,2016-05-04,2
309,2016-05-05,3
310,2016-05-06,4
311,2016-05-07,4
312,2016-05-08,4
313,2016-05-09,5
314,2016-05-10,6
315,2016-05-11,2
316,2016-05-12,1
317,2016-05-13,12
318,2016-05-14,3
319,2016-05-15,6
320,2016-05-16,17
321,2016-05-17,13
322,2016-05-18,8
323,2016-05-19,4
324,2016-05-20,3
325,2016-05-21,2
326,2016-05-22,4
327,2016-05-23,6
328,2016-05-24,4
329,2016-05-25,8
330,2016-05-26,6
331,2016-05-27,4
332,2016-05-28,1
333,2016-05-29,2
334,2016-05-30,12
335,2016-05-31,7
336,2016-06-01,7
337,2016-06-02,2
338,2016-06-03,5
339,2016-06-04,2
340,2016-06-05,2
341,2016-06-06,1
342,2016-06-07,3
343,2016-06-08,3
344,2016-06-09,1
345,2016-06-10,9
346,2016-06-11,1
347,2016-06-12,1
348,2016-06-13,6
349,2016-06-14,7
350,2016-06-15,1
351,2016-06-16,4
352,2016-06-17,5
353,2016-06-18,3
354,2016-06-19,3
355,2016-06-20,2
356,2016-06-21,6
357,2016-06-22,7
358,2016-06-23,10
359,2016-06-24,5
360,2016-06-25,3
361,2016-06-26,6
362,2016-06-27,14
363,2016-06-28,7
364,2016-06-29,17
365,2016-06-30,26
366,2016-07-01,30
367,2016-07-02,7
368,2016-07-03,4
369,2016-07-04,2
370,2016-07-05,5
371,2016-07-06,4
372,2016-07-07,1
373,2016-07-08,9
374,2016-07-09,2
375,2016-07-10,4
376,2016-07-11,6
377,2016-07-12,11
378,2016-07-13,5
379,2016-07-14,3
380,2016-07-15,5
381,2016-07-16,0
382,2016-07-17,1
383,2016-07-18,6
384,2016-07-19,4
385,2016-07-20,3
386,2016-07-21,3
387,2016-07-22,4
388,2016-07-23,2
389,2016-07-24,4
390,2016-07-25,3
391,2016-07-26,4
392,2016-07-27,2
393,2016-07-28,3
394,2016-07-29,5
395,2016-07-30,2
396,2016-07-31,6
397,2016-08-01,0
398,2016-08-02,8
399,2016-08-03,5
400,2016-08-04,2
401,2016-08-05,4
402,2016-08-06,1
403,2016-08-07,2
404,2016-08-08,3
405,2016-08-09,1
406,2016-08-10,2
407,2016-08-11,0
408,2016-08-12,5
409,2016-08-13,1
410,2016-08-14,5
411,2016-08-15,5
412,2016-08-16,7
413,2016-08-17,4
414,2016-08-18,5
415,2016-08-19,5
416,2016-08-20,6
417,2016-08-21,6
418,2016-08-22,9
419,2016-08-23,8
420,2016-08-24,2
421,2016-08-25,6
422,2016-08-26,4
423,2016-08-27,1
424,2016-08-28,1
425,2016-08-29,6
426,2016-08-30,7
427,2016-08-31,3
428,2016-09-01,5
429,2016-09-02,3
430,2016-09-03,0
431,2016-09-04,3
432,2016-09-05,8
433,2016-09-06,4
434,2016-09-07,2
435,2016-09-08,1
436,2016-09-09,2
437,2016-09-10,1
438,2016-09-11,2
439,2016-09-12,0
440,2016-09-13,5
441,2016-09-14,4
442,2016-09-15,11
443,2016-09-16,3
444,2016-09-17,7
445,2016-09-18,0
446,2016-09-19,3
447,2016-09-20,4
448,2016-09-21,5
449,2016-09-22,7
450,2016-09-23,3
451,2016-09-24,3
452,2016-09-25,2
453,2016-09-26,7
454,2016-09-27,2
455,2016-09-28,2
456,2016-09-29,1
457,2016-09-30,2
458,2016-10-01,4
459,2016-10-02,1
460,2016-10-03,2
461,2016-10-04,2
462,2016-10-05,3
463,2016-10-06,6
464,2016-10-07,2
465,2016-10-08,3
466,2016-10-09,1
467,2016-10-10,1
468,2016-10-11,3
469,2016-10-12,1
470,2016-10-13,2
471,2016-10-14,9
472,2016-10-15,2
473,2016-10-16,5
474,2016-10-17,5
475,2016-10-18,4
476,2016-10-19,4
477,2016-10-20,3
478,2016-10-21,5
479,2016-10-22,5
480,2016-10-23,6
481,2016-10-24,4
482,2016-10-25,8
483,2016-10-26,2
484,2016-10-27,5
485,2016-10-28,5
486,2016-10-29,4
487,2016-10-30,5
488,2016-10-31,5
489,2016-11-01,1
490,2016-11-02,5
491,2016-11-03,11
492,2016-11-04,8
493,2016-11-05,3
494,2016-11-06,15
495,2016-11-07,14
496,2016-11-08,6
497,2016-11-09,3
498,2016-11-10,5
499,2016-11-11,5
500,2016-11-12,1
501,2016-11-13,10
502,2016-11-14,4
503,2016-11-15,3
504,2016-11-16,5
505,2016-11-17,5
506,2016-11-18,3
507,2016-11-19,6
508,2016-11-20,3
509,2016-11-21,4
510,2016-11-22,3
511,2016-11-23,4
512,2016-11-24,4
513,2016-11-25,8
514,2016-11-26,2
515,2016-11-27,3
516,2016-11-28,6
517,2016-11-29,6
518,2016-11-30,3
