,Date,Count
0,2015-07-01,186
1,2015-07-02,151
2,2015-07-03,129
3,2015-07-04,110
4,2015-07-05,113
5,2015-07-06,166
6,2015-07-07,200
7,2015-07-08,199
8,2015-07-09,193
9,2015-07-10,144
10,2015-07-11,118
11,2015-07-12,142
12,2015-07-13,174
13,2015-07-14,177
14,2015-07-15,158
15,2015-07-16,183
16,2015-07-17,127
17,2015-07-18,119
18,2015-07-19,119
19,2015-07-20,164
20,2015-07-21,195
21,2015-07-22,146
22,2015-07-23,166
23,2015-07-24,164
24,2015-07-25,141
25,2015-07-26,121
26,2015-07-27,155
27,2015-07-28,159
28,2015-07-29,145
29,2015-07-30,200
30,2015-07-31,131
31,2015-08-01,118
32,2015-08-02,128
33,2015-08-03,130
34,2015-08-04,153
35,2015-08-05,145
36,2015-08-06,153
37,2015-08-07,137
38,2015-08-08,92
39,2015-08-09,126
40,2015-08-10,131
41,2015-08-11,132
42,2015-08-12,139
43,2015-08-13,157
44,2015-08-14,130
45,2015-08-15,136
46,2015-08-16,131
47,2015-08-17,137
48,2015-08-18,200
49,2015-08-19,192
50,2015-08-20,160
51,2015-08-21,154
52,2015-08-22,131
53,2015-08-23,161
54,2015-08-24,162
55,2015-08-25,183
56,2015-08-26,157
57,2015-08-27,150
58,2015-08-28,151
59,2015-08-29,113
60,2015-08-30,90
61,2015-08-31,133
62,2015-09-01,141
63,2015-09-02,135
64,2015-09-03,191
65,2015-09-04,157
66,2015-09-05,135
67,2015-09-06,138
68,2015-09-07,216
69,2015-09-08,280
70,2015-09-09,173
71,2015-09-10,164
72,2015-09-11,163
73,2015-09-12,120
74,2015-09-13,142
75,2015-09-14,213
76,2015-09-15,190
77,2015-09-16,148
78,2015-09-17,183
79,2015-09-18,142
80,2015-09-19,108
81,2015-09-20,148
82,2015-09-21,164
83,2015-09-22,179
84,2015-09-23,199
85,2015-09-24,150
86,2015-09-25,145
87,2015-09-26,109
88,2015-09-27,137
89,2015-09-28,195
90,2015-09-29,176
91,2015-09-30,188
92,2015-10-01,178
93,2015-10-02,160
94,2015-10-03,155
95,2015-10-04,127
96,2015-10-05,214
97,2015-10-06,185
98,2015-10-07,200
99,2015-10-08,179
100,2015-10-09,166
101,2015-10-10,149
102,2015-10-11,163
103,2015-10-12,159
104,2015-10-13,184
105,2015-10-14,225
106,2015-10-15,193
107,2015-10-16,153
108,2015-10-17,128
109,2015-10-18,177
110,2015-10-19,195
111,2015-10-20,245
112,2015-10-21,204
113,2015-10-22,196
114,2015-10-23,181
115,2015-10-24,128
116,2015-10-25,133
117,2015-10-26,216
118,2015-10-27,255
119,2015-10-28,210
120,2015-10-29,206
121,2015-10-30,173
122,2015-10-31,121
123,2015-11-01,146
124,2015-11-02,204
125,2015-11-03,212
126,2015-11-04,227
127,2015-11-05,200
128,2015-11-06,191
129,2015-11-07,132
130,2015-11-08,182
131,2015-11-09,207
132,2015-11-10,222
133,2015-11-11,219
134,2015-11-12,207
135,2015-11-13,165
136,2015-11-14,146
137,2015-11-15,146
138,2015-11-16,217
139,2015-11-17,235
140,2015-11-18,213
141,2015-11-19,199
142,2015-11-20,210
143,2015-11-21,163
144,2015-11-22,205
145,2015-11-23,240
146,2015-11-24,202
147,2015-11-25,218
148,2015-11-26,193
149,2015-11-27,146
150,2015-11-28,129
151,2015-11-29,146
152,2015-11-30,212
153,2015-12-01,202
154,2015-12-02,230
155,2015-12-03,216
156,2015-12-04,159
157,2015-12-05,127
158,2015-12-06,145
159,2015-12-07,169
160,2015-12-08,220
161,2015-12-09,188
162,2015-12-10,163
163,2015-12-11,169
164,2015-12-12,108
165,2015-12-13,151
166,2015-12-14,176
167,2015-12-15,177
168,2015-12-16,161
169,2015-12-17,148
170,2015-12-18,135
171,2015-12-19,91
172,2015-12-20,87
173,2015-12-21,115
174,2015-12-22,115
175,2015-12-23,101
176,2015-12-24,100
177,2015-12-25,102
178,2015-12-26,99
179,2015-12-27,98
180,2015-12-28,122
181,2015-12-29,137
182,2015-12-30,170
183,2015-12-31,108
184,2016-01-01,137
185,2016-01-02,106
186,2016-01-03,127
187,2016-01-04,194
188,2016-01-05,166
189,2016-01-06,205
190,2016-01-07,170
191,2016-01-08,143
192,2016-01-09,152
193,2016-01-10,163
194,2016-01-11,187
195,2016-01-12,173
196,2016-01-13,202
197,2016-01-14,207
198,2016-01-15,173
199,2016-01-16,126
200,2016-01-17,133
201,2016-01-18,178
202,2016-01-19,198
203,2016-01-20,224
204,2016-01-21,214
205,2016-01-22,157
206,2016-01-23,141
207,2016-01-24,162
208,2016-01-25,214
209,2016-01-26,165
210,2016-01-27,186
211,2016-01-28,196
212,2016-01-29,158
213,2016-01-30,118
214,2016-01-31,187
215,2016-02-01,235
216,2016-02-02,219
217,2016-02-03,228
218,2016-02-04,204
219,2016-02-05,175
220,2016-02-06,148
221,2016-02-07,123
222,2016-02-08,177
223,2016-02-09,241
224,2016-02-10,193
225,2016-02-11,216
226,2016-02-12,208
227,2016-02-13,113
228,2016-02-14,142
229,2016-02-15,202
230,2016-02-16,237
231,2016-02-17,211
232,2016-02-18,210
233,2016-02-19,186
234,2016-02-20,150
235,2016-02-21,218
236,2016-02-22,236
237,2016-02-23,190
238,2016-02-24,207
239,2016-02-25,200
240,2016-02-26,190
241,2016-02-27,176
242,2016-02-28,147
243,2016-02-29,243
244,2016-03-01,237
245,2016-03-02,220
246,2016-03-03,191
247,2016-03-04,194
248,2016-03-05,112
249,2016-03-06,144
250,2016-03-07,194
251,2016-03-08,218
252,2016-03-09,207
253,2016-03-10,203
254,2016-03-11,232
255,2016-03-12,162
256,2016-03-13,189
257,2016-03-14,204
258,2016-03-15,212
259,2016-03-16,177
260,2016-03-17,223
261,2016-03-18,157
262,2016-03-19,118
263,2016-03-20,200
264,2016-03-21,223
265,2016-03-22,213
266,2016-03-23,176
267,2016-03-24,150
268,2016-03-25,145
269,2016-03-26,147
270,2016-03-27,148
271,2016-03-28,182
272,2016-03-29,210
273,2016-03-30,145
274,2016-03-31,198
275,2016-04-01,151
276,2016-04-02,125
277,2016-04-03,157
278,2016-04-04,147
279,2016-04-05,184
280,2016-04-06,203
281,2016-04-07,201
282,2016-04-08,202
283,2016-04-09,131
284,2016-04-10,178
285,2016-04-11,260
286,2016-04-12,243
287,2016-04-13,190
288,2016-04-14,180
289,2016-04-15,172
290,2016-04-16,135
291,2016-04-17,131
292,2016-04-18,183
293,2016-04-19,194
294,2016-04-20,240
295,2016-04-21,166
296,2016-04-22,188
297,2016-04-23,143
298,2016-04-24,165
299,2016-04-25,239
300,2016-04-26,204
301,2016-04-27,168
302,2016-04-28,220
303,2016-04-29,194
304,2016-04-30,149
305,2016-05-01,166
306,2016-05-02,216
307,2016-05-03,216
308,2016-05-04,183
309,2016-05-05,194
310,2016-05-06,146
311,2016-05-07,126
312,2016-05-08,179
313,2016-05-09,214
314,2016-05-10,278
315,2016-05-11,235
316,2016-05-12,187
317,2016-05-13,242
318,2016-05-14,134
319,2016-05-15,163
320,2016-05-16,206
321,2016-05-17,263
322,2016-05-18,276
323,2016-05-19,250
324,2016-05-20,208
325,2016-05-21,144
326,2016-05-22,168
327,2016-05-23,221
328,2016-05-24,214
329,2016-05-25,155
330,2016-05-26,173
331,2016-05-27,164
332,2016-05-28,176
333,2016-05-29,152
334,2016-05-30,185
335,2016-05-31,189
336,2016-06-01,201
337,2016-06-02,173
338,2016-06-03,183
339,2016-06-04,124
340,2016-06-05,126
341,2016-06-06,143
342,2016-06-07,141
343,2016-06-08,151
344,2016-06-09,151
345,2016-06-10,131
346,2016-06-11,101
347,2016-06-12,119
348,2016-06-13,157
349,2016-06-14,165
350,2016-06-15,161
351,2016-06-16,164
352,2016-06-17,132
353,2016-06-18,123
354,2016-06-19,121
355,2016-06-20,189
356,2016-06-21,139
357,2016-06-22,139
358,2016-06-23,145
359,2016-06-24,153
360,2016-06-25,137
361,2016-06-26,106
362,2016-06-27,166
363,2016-06-28,155
364,2016-06-29,162
365,2016-06-30,135
366,2016-07-01,150
367,2016-07-02,119
368,2016-07-03,141
369,2016-07-04,146
370,2016-07-05,148
371,2016-07-06,143
372,2016-07-07,130
373,2016-07-08,132
374,2016-07-09,143
375,2016-07-10,126
376,2016-07-11,155
377,2016-07-12,160
378,2016-07-13,149
379,2016-07-14,144
380,2016-07-15,160
381,2016-07-16,111
382,2016-07-17,120
383,2016-07-18,166
384,2016-07-19,175
385,2016-07-20,124
386,2016-07-21,142
387,2016-07-22,122
388,2016-07-23,111
389,2016-07-24,123
390,2016-07-25,141
391,2016-07-26,165
392,2016-07-27,149
393,2016-07-28,163
394,2016-07-29,169
395,2016-07-30,162
396,2016-07-31,161
397,2016-08-01,140
398,2016-08-02,208
399,2016-08-03,156
400,2016-08-04,146
401,2016-08-05,118
402,2016-08-06,190
403,2016-08-07,142
404,2016-08-08,157
405,2016-08-09,188
406,2016-08-10,139
407,2016-08-11,152
408,2016-08-12,123
409,2016-08-13,119
410,2016-08-14,121
411,2016-08-15,154
412,2016-08-16,165
413,2016-08-17,164
414,2016-08-18,128
415,2016-08-19,131
416,2016-08-20,130
417,2016-08-21,125
418,2016-08-22,186
419,2016-08-23,215
420,2016-08-24,144
421,2016-08-25,138
422,2016-08-26,135
423,2016-08-27,129
424,2016-08-28,124
425,2016-08-29,168
426,2016-08-30,175
427,2016-08-31,191
428,2016-09-01,166
429,2016-09-02,147
430,2016-09-03,158
431,2016-09-04,189
432,2016-09-05,283
433,2016-09-06,236
434,2016-09-07,204
435,2016-09-08,182
436,2016-09-09,161
437,2016-09-10,132
438,2016-09-11,118
439,2016-09-12,185
440,2016-09-13,211
441,2016-09-14,171
442,2016-09-15,144
443,2016-09-16,194
444,2016-09-17,130
445,2016-09-18,129
446,2016-09-19,198
447,2016-09-20,205
448,2016-09-21,286
449,2016-09-22,295
450,2016-09-23,195
451,2016-09-24,150
452,2016-09-25,164
453,2016-09-26,180
454,2016-09-27,186
455,2016-09-28,207
456,2016-09-29,168
457,2016-09-30,156
458,2016-10-01,139
459,2016-10-02,123
460,2016-10-03,159
461,2016-10-04,177
462,2016-10-05,211
463,2016-10-06,219
464,2016-10-07,160
465,2016-10-08,123
466,2016-10-09,160
467,2016-10-10,185
468,2016-10-11,194
469,2016-10-12,202
470,2016-10-13,216
471,2016-10-14,164
472,2016-10-15,140
473,2016-10-16,151
474,2016-10-17,181
475,2016-10-18,227
476,2016-10-19,230
477,2016-10-20,200
478,2016-10-21,202
479,2016-10-22,125
480,2016-10-23,160
481,2016-10-24,193
482,2016-10-25,184
483,2016-10-26,215
484,2016-10-27,177
