,Date,Count
0,2015-07-01,13101
1,2015-07-02,12952
2,2015-07-03,12234
3,2015-07-04,10466
4,2015-07-05,10998
5,2015-07-06,12584
6,2015-07-07,12669
7,2015-07-08,12617
8,2015-07-09,14253
9,2015-07-10,12363
10,2015-07-11,10948
11,2015-07-12,12390
12,2015-07-13,13041
13,2015-07-14,12726
14,2015-07-15,13009
15,2015-07-16,12185
16,2015-07-17,12051
17,2015-07-18,10717
18,2015-07-19,11397
19,2015-07-20,12576
20,2015-07-21,13535
21,2015-07-22,13208
22,2015-07-23,13865
23,2015-07-24,11919
24,2015-07-25,11194
25,2015-07-26,12197
26,2015-07-27,13222
27,2015-07-28,13303
28,2015-07-29,13146
29,2015-07-30,12920
30,2015-07-31,12255
31,2015-08-01,10715
32,2015-08-02,11622
33,2015-08-03,12536
34,2015-08-04,13505
35,2015-08-05,13003
36,2015-08-06,12902
37,2015-08-07,12290
38,2015-08-08,11406
39,2015-08-09,12956
40,2015-08-10,13119
41,2015-08-11,13017
42,2015-08-12,14330
43,2015-08-13,14196
44,2015-08-14,13344
45,2015-08-15,14185
46,2015-08-16,12421
47,2015-08-17,16454
48,2015-08-18,15368
49,2015-08-19,14456
50,2015-08-20,13674
51,2015-08-21,13408
52,2015-08-22,12213
53,2015-08-23,12690
54,2015-08-24,15033
55,2015-08-25,14890
56,2015-08-26,14196
57,2015-08-27,13804
58,2015-08-28,12984
59,2015-08-29,13572
60,2015-08-30,12680
61,2015-08-31,13413
62,2015-09-01,13296
63,2015-09-02,13671
64,2015-09-03,14248
65,2015-09-04,12720
66,2015-09-05,12521
67,2015-09-06,12634
68,2015-09-07,15339
69,2015-09-08,14626
70,2015-09-09,14077
71,2015-09-10,13916
72,2015-09-11,13364
73,2015-09-12,12092
74,2015-09-13,13337
75,2015-09-14,14986
76,2015-09-15,15877
77,2015-09-16,13536
78,2015-09-17,13428
79,2015-09-18,12628
80,2015-09-19,12619
81,2015-09-20,13105
82,2015-09-21,14093
83,2015-09-22,14338
84,2015-09-23,15651
85,2015-09-24,14299
86,2015-09-25,13888
87,2015-09-26,12204
88,2015-09-27,12548
89,2015-09-28,14691
90,2015-09-29,14763
91,2015-09-30,13601
92,2015-10-01,12479
93,2015-10-02,11926
94,2015-10-03,10771
95,2015-10-04,11750
96,2015-10-05,13284
97,2015-10-06,13809
98,2015-10-07,13678
99,2015-10-08,13660
100,2015-10-09,16250
101,2015-10-10,11416
102,2015-10-11,12503
103,2015-10-12,15201
104,2015-10-13,13924
105,2015-10-14,13643
106,2015-10-15,13390
107,2015-10-16,12382
108,2015-10-17,11546
109,2015-10-18,12404
110,2015-10-19,13894
111,2015-10-20,14900
112,2015-10-21,13681
113,2015-10-22,13192
114,2015-10-23,12573
115,2015-10-24,11449
116,2015-10-25,13199
117,2015-10-26,14193
118,2015-10-27,13658
119,2015-10-28,13918
120,2015-10-29,13581
121,2015-10-30,12900
122,2015-10-31,17270
123,2015-11-01,15057
124,2015-11-02,13564
125,2015-11-03,13730
126,2015-11-04,15280
127,2015-11-05,13919
128,2015-11-06,12701
129,2015-11-07,13685
130,2015-11-08,13880
131,2015-11-09,15354
132,2015-11-10,15499
133,2015-11-11,14990
134,2015-11-12,14592
135,2015-11-13,13622
136,2015-11-14,11698
137,2015-11-15,14155
138,2015-11-16,14104
139,2015-11-17,15709
140,2015-11-18,14825
141,2015-11-19,14099
142,2015-11-20,12981
143,2015-11-21,11777
144,2015-11-22,13319
145,2015-11-23,15451
146,2015-11-24,13811
147,2015-11-25,14073
148,2015-11-26,14071
149,2015-11-27,12910
150,2015-11-28,12370
151,2015-11-29,13008
152,2015-11-30,14722
153,2015-12-01,14505
154,2015-12-02,14704
155,2015-12-03,14072
156,2015-12-04,13080
157,2015-12-05,14140
158,2015-12-06,13352
159,2015-12-07,15416
160,2015-12-08,14871
161,2015-12-09,13812
162,2015-12-10,13461
163,2015-12-11,13023
164,2015-12-12,12795
165,2015-12-13,12206
166,2015-12-14,15568
167,2015-12-15,13820
168,2015-12-16,12992
169,2015-12-17,12652
170,2015-12-18,11469
171,2015-12-19,10668
172,2015-12-20,11169
173,2015-12-21,11884
174,2015-12-22,11449
175,2015-12-23,11021
176,2015-12-24,10080
177,2015-12-25,10630
178,2015-12-26,11431
179,2015-12-27,11603
180,2015-12-28,12592
181,2015-12-29,12269
182,2015-12-30,12953
183,2015-12-31,12107
184,2016-01-01,12728
185,2016-01-02,12568
186,2016-01-03,13615
187,2016-01-04,15349
188,2016-01-05,15852
189,2016-01-06,15222
190,2016-01-07,14716
191,2016-01-08,14382
192,2016-01-09,12928
193,2016-01-10,13976
194,2016-01-11,14701
195,2016-01-12,13812
196,2016-01-13,13824
197,2016-01-14,13863
198,2016-01-15,13187
199,2016-01-16,13332
200,2016-01-17,14196
201,2016-01-18,14677
202,2016-01-19,14557
203,2016-01-20,14488
204,2016-01-21,14023
205,2016-01-22,13633
206,2016-01-23,12641
207,2016-01-24,15204
208,2016-01-25,15812
209,2016-01-26,14870
210,2016-01-27,14549
211,2016-01-28,14517
212,2016-01-29,13209
213,2016-01-30,12146
214,2016-01-31,13193
215,2016-02-01,14057
216,2016-02-02,13868
217,2016-02-03,13979
218,2016-02-04,15505
219,2016-02-05,13572
220,2016-02-06,12764
221,2016-02-07,12822
222,2016-02-08,14600
223,2016-02-09,17419
224,2016-02-10,13890
225,2016-02-11,13308
226,2016-02-12,12914
227,2016-02-13,11307
228,2016-02-14,11675
229,2016-02-15,14413
230,2016-02-16,14768
231,2016-02-17,13809
232,2016-02-18,14723
233,2016-02-19,13372
234,2016-02-20,12002
235,2016-02-21,12963
236,2016-02-22,16020
237,2016-02-23,14143
238,2016-02-24,13788
239,2016-02-25,13670
240,2016-02-26,12413
241,2016-02-27,10891
242,2016-02-28,11728
243,2016-02-29,12912
244,2016-03-01,12285
245,2016-03-02,12599
246,2016-03-03,12618
247,2016-03-04,12229
248,2016-03-05,11171
249,2016-03-06,12654
250,2016-03-07,15080
251,2016-03-08,25802
252,2016-03-09,16000
253,2016-03-10,23250
254,2016-03-11,15397
255,2016-03-12,16449
256,2016-03-13,15169
257,2016-03-14,13929
258,2016-03-15,13676
259,2016-03-16,13188
260,2016-03-17,13295
261,2016-03-18,11897
262,2016-03-19,10456
263,2016-03-20,12016
264,2016-03-21,13467
265,2016-03-22,13086
266,2016-03-23,12667
267,2016-03-24,12696
268,2016-03-25,11475
269,2016-03-26,10662
270,2016-03-27,11381
271,2016-03-28,12765
272,2016-03-29,13443
273,2016-03-30,12637
274,2016-03-31,12651
275,2016-04-01,12881
276,2016-04-02,11006
277,2016-04-03,11556
278,2016-04-04,13724
279,2016-04-05,13370
280,2016-04-06,13334
281,2016-04-07,13007
282,2016-04-08,12629
283,2016-04-09,11566
284,2016-04-10,13726
285,2016-04-11,13779
286,2016-04-12,13435
287,2016-04-13,13423
288,2016-04-14,12676
289,2016-04-15,12367
290,2016-04-16,10638
291,2016-04-17,12477
292,2016-04-18,12611
293,2016-04-19,13276
294,2016-04-20,13078
295,2016-04-21,12697
296,2016-04-22,11818
297,2016-04-23,11712
298,2016-04-24,11192
299,2016-04-25,12896
300,2016-04-26,13309
301,2016-04-27,13944
302,2016-04-28,13445
303,2016-04-29,12866
304,2016-04-30,14011
305,2016-05-01,13323
306,2016-05-02,12648
307,2016-05-03,12654
308,2016-05-04,11936
309,2016-05-05,11825
310,2016-05-06,11508
311,2016-05-07,10255
312,2016-05-08,11208
313,2016-05-09,13105
314,2016-05-10,12949
315,2016-05-11,12672
316,2016-05-12,11860
317,2016-05-13,11454
318,2016-05-14,10134
319,2016-05-15,11286
320,2016-05-16,13122
321,2016-05-17,15086
322,2016-05-18,13237
323,2016-05-19,14687
324,2016-05-20,12477
325,2016-05-21,10379
326,2016-05-22,11829
327,2016-05-23,12959
328,2016-05-24,13019
329,2016-05-25,11890
330,2016-05-26,11720
331,2016-05-27,11363
332,2016-05-28,11419
333,2016-05-29,10778
334,2016-05-30,11938
335,2016-05-31,12793
336,2016-06-01,12198
337,2016-06-02,12132
338,2016-06-03,11733
339,2016-06-04,10500
340,2016-06-05,11477
341,2016-06-06,12927
342,2016-06-07,12548
343,2016-06-08,13309
344,2016-06-09,12098
345,2016-06-10,11540
346,2016-06-11,10106
347,2016-06-12,11071
348,2016-06-13,12245
349,2016-06-14,11548
350,2016-06-15,12538
351,2016-06-16,12568
352,2016-06-17,11200
353,2016-06-18,10123
354,2016-06-19,11012
355,2016-06-20,11825
356,2016-06-21,11503
357,2016-06-22,12471
358,2016-06-23,12464
359,2016-06-24,12470
360,2016-06-25,11123
361,2016-06-26,12269
362,2016-06-27,12045
363,2016-06-28,12328
364,2016-06-29,11871
365,2016-06-30,11725
366,2016-07-01,13943
367,2016-07-02,10841
368,2016-07-03,10493
369,2016-07-04,11744
370,2016-07-05,11928
371,2016-07-06,11766
372,2016-07-07,10932
373,2016-07-08,10479
374,2016-07-09,9902
375,2016-07-10,10305
376,2016-07-11,12688
377,2016-07-12,11711
378,2016-07-13,11893
379,2016-07-14,11160
380,2016-07-15,10492
381,2016-07-16,9233
382,2016-07-17,10123
