,Date,Count
0,2015-07-01,93
1,2015-07-02,124
2,2015-07-03,114
3,2015-07-04,104
4,2015-07-05,132
5,2015-07-06,74
6,2015-07-07,78
7,2015-07-08,99
8,2015-07-09,78
9,2015-07-10,68
10,2015-07-11,62
11,2015-07-12,142
12,2015-07-13,82
13,2015-07-14,80
14,2015-07-15,84
15,2015-07-16,74
16,2015-07-17,58
17,2015-07-18,56
18,2015-07-19,56
19,2015-07-20,61
20,2015-07-21,51
21,2015-07-22,72
22,2015-07-23,62
23,2015-07-24,35
24,2015-07-25,55
25,2015-07-26,62
26,2015-07-27,71
27,2015-07-28,58
28,2015-07-29,55
29,2015-07-30,59
30,2015-07-31,57
31,2015-08-01,30
32,2015-08-02,47
33,2015-08-03,74
34,2015-08-04,81
35,2015-08-05,69
36,2015-08-06,86
37,2015-08-07,75
38,2015-08-08,67
39,2015-08-09,60
40,2015-08-10,88
41,2015-08-11,77
42,2015-08-12,94
43,2015-08-13,85
44,2015-08-14,101
45,2015-08-15,62
46,2015-08-16,75
47,2015-08-17,84
48,2015-08-18,68
49,2015-08-19,66
50,2015-08-20,82
51,2015-08-21,68
52,2015-08-22,89
53,2015-08-23,63
54,2015-08-24,80
55,2015-08-25,77
56,2015-08-26,60
57,2015-08-27,79
58,2015-08-28,71
59,2015-08-29,81
60,2015-08-30,78
61,2015-08-31,93
62,2015-09-01,181
63,2015-09-02,85
64,2015-09-03,133
65,2015-09-04,62
66,2015-09-05,83
67,2015-09-06,97
68,2015-09-07,94
69,2015-09-08,77
70,2015-09-09,87
71,2015-09-10,82
72,2015-09-11,75
73,2015-09-12,66
74,2015-09-13,113
75,2015-09-14,92
76,2015-09-15,108
77,2015-09-16,88
78,2015-09-17,110
79,2015-09-18,65
80,2015-09-19,57
81,2015-09-20,130
82,2015-09-21,98
83,2015-09-22,149
84,2015-09-23,106
85,2015-09-24,111
86,2015-09-25,90
87,2015-09-26,74
88,2015-09-27,78
89,2015-09-28,114
90,2015-09-29,106
91,2015-09-30,83
92,2015-10-01,102
93,2015-10-02,78
94,2015-10-03,66
95,2015-10-04,157
96,2015-10-05,141
97,2015-10-06,148
98,2015-10-07,124
99,2015-10-08,202
100,2015-10-09,115
101,2015-10-10,80
102,2015-10-11,109
103,2015-10-12,106
104,2015-10-13,111
105,2015-10-14,110
106,2015-10-15,81
107,2015-10-16,83
108,2015-10-17,70
109,2015-10-18,162
110,2015-10-19,131
111,2015-10-20,127
112,2015-10-21,169
113,2015-10-22,153
114,2015-10-23,110
115,2015-10-24,115
116,2015-10-25,146
117,2015-10-26,123
118,2015-10-27,143
119,2015-10-28,147
120,2015-10-29,155
121,2015-10-30,122
122,2015-10-31,125
123,2015-11-01,207
124,2015-11-02,203
125,2015-11-03,161
126,2015-11-04,147
127,2015-11-05,179
128,2015-11-06,116
129,2015-11-07,128
130,2015-11-08,167
131,2015-11-09,201
132,2015-11-10,192
133,2015-11-11,178
134,2015-11-12,178
135,2015-11-13,165
136,2015-11-14,102
137,2015-11-15,151
138,2015-11-16,162
139,2015-11-17,255
140,2015-11-18,198
141,2015-11-19,192
142,2015-11-20,150
143,2015-11-21,142
144,2015-11-22,172
145,2015-11-23,156
146,2015-11-24,166
147,2015-11-25,196
148,2015-11-26,136
149,2015-11-27,124
150,2015-11-28,131
151,2015-11-29,153
152,2015-11-30,145
153,2015-12-01,128
154,2015-12-02,149
155,2015-12-03,135
156,2015-12-04,121
157,2015-12-05,119
158,2015-12-06,130
159,2015-12-07,168
160,2015-12-08,118
161,2015-12-09,160
162,2015-12-10,115
163,2015-12-11,134
164,2015-12-12,96
165,2015-12-13,124
166,2015-12-14,134
167,2015-12-15,125
168,2015-12-16,101
169,2015-12-17,110
170,2015-12-18,79
171,2015-12-19,76
172,2015-12-20,115
173,2015-12-21,95
174,2015-12-22,86
175,2015-12-23,75
176,2015-12-24,49
177,2015-12-25,78
178,2015-12-26,55
179,2015-12-27,96
180,2015-12-28,107
181,2015-12-29,106
182,2015-12-30,91
183,2015-12-31,78
184,2016-01-01,90
185,2016-01-02,120
186,2016-01-03,142
187,2016-01-04,139
188,2016-01-05,124
189,2016-01-06,116
190,2016-01-07,124
191,2016-01-08,103
192,2016-01-09,105
193,2016-01-10,141
194,2016-01-11,134
195,2016-01-12,111
196,2016-01-13,125
197,2016-01-14,124
198,2016-01-15,122
199,2016-01-16,113
200,2016-01-17,121
201,2016-01-18,126
