,Date,Count
0,2015-07-01,1
1,2015-07-02,1
2,2015-07-03,1
3,2015-07-04,1
4,2015-07-05,1
5,2015-07-06,2
6,2015-07-07,0
7,2015-07-08,1
8,2015-07-09,0
9,2015-07-10,4
10,2015-07-11,1
11,2015-07-12,0
12,2015-07-13,0
13,2015-07-14,0
14,2015-07-15,2
15,2015-07-16,2
16,2015-07-17,0
17,2015-07-18,2
18,2015-07-19,2
19,2015-07-20,1
20,2015-07-21,0
21,2015-07-22,2
22,2015-07-23,1
23,2015-07-24,1
24,2015-07-25,3
25,2015-07-26,2
26,2015-07-27,0
27,2015-07-28,0
28,2015-07-29,1
29,2015-07-30,3
30,2015-07-31,1
31,2015-08-01,0
32,2015-08-02,2
33,2015-08-03,1
34,2015-08-04,1
35,2015-08-05,1
36,2015-08-06,0
37,2015-08-07,1
38,2015-08-08,5
39,2015-08-09,0
40,2015-08-10,3
41,2015-08-11,3
42,2015-08-12,1
43,2015-08-13,0
44,2015-08-14,1
45,2015-08-15,0
46,2015-08-16,0
47,2015-08-17,3
48,2015-08-18,2
49,2015-08-19,0
50,2015-08-20,3
51,2015-08-21,2
52,2015-08-22,2
53,2015-08-23,13
54,2015-08-24,16
55,2015-08-25,7
56,2015-08-26,6
57,2015-08-27,1
58,2015-08-28,7
59,2015-08-29,72
60,2015-08-30,2
61,2015-08-31,3
62,2015-09-01,6
63,2015-09-02,25
64,2015-09-03,7
65,2015-09-04,12
66,2015-09-05,8
67,2015-09-06,8
68,2015-09-07,9
69,2015-09-08,14
70,2015-09-09,4
71,2015-09-10,2
72,2015-09-11,8
73,2015-09-12,5
74,2015-09-13,7
75,2015-09-14,5
76,2015-09-15,3
77,2015-09-16,13
78,2015-09-17,1
79,2015-09-18,4
80,2015-09-19,4
81,2015-09-20,8
82,2015-09-21,4
83,2015-09-22,3
84,2015-09-23,4
85,2015-09-24,5
86,2015-09-25,5
87,2015-09-26,3
88,2015-09-27,8
89,2015-09-28,50
90,2015-09-29,9
91,2015-09-30,7
92,2015-10-01,2
93,2015-10-02,6
94,2015-10-03,6
95,2015-10-04,3
96,2015-10-05,9
97,2015-10-06,4
98,2015-10-07,7
99,2015-10-08,6
100,2015-10-09,8
101,2015-10-10,7
102,2015-10-11,4
103,2015-10-12,8
104,2015-10-13,5
105,2015-10-14,6
106,2015-10-15,5
107,2015-10-16,20
108,2015-10-17,8
109,2015-10-18,18
110,2015-10-19,7
111,2015-10-20,10
112,2015-10-21,5
113,2015-10-22,5
114,2015-10-23,6
115,2015-10-24,5
116,2015-10-25,16
117,2015-10-26,5
118,2015-10-27,5
119,2015-10-28,8
120,2015-10-29,5
121,2015-10-30,6
122,2015-10-31,2
123,2015-11-01,4
124,2015-11-02,4
125,2015-11-03,4
126,2015-11-04,8
127,2015-11-05,4
128,2015-11-06,6
129,2015-11-07,5
130,2015-11-08,16
131,2015-11-09,10
132,2015-11-10,8
133,2015-11-11,4
134,2015-11-12,11
135,2015-11-13,4
136,2015-11-14,9
137,2015-11-15,3
138,2015-11-16,10
139,2015-11-17,6
140,2015-11-18,6
141,2015-11-19,4
142,2015-11-20,8
143,2015-11-21,2
