,Date,Count
0,2015-07-01,1
1,2015-07-02,3
2,2015-07-03,4
3,2015-07-04,1
4,2015-07-05,0
5,2015-07-06,3
6,2015-07-07,0
7,2015-07-08,0
8,2015-07-09,3
9,2015-07-10,0
10,2015-07-11,2
11,2015-07-12,0
12,2015-07-13,0
13,2015-07-14,0
14,2015-07-15,0
15,2015-07-16,1
16,2015-07-17,2
17,2015-07-18,5
18,2015-07-19,2
19,2015-07-20,2
20,2015-07-21,0
21,2015-07-22,0
22,2015-07-23,3
23,2015-07-24,1
24,2015-07-25,3
25,2015-07-26,3
26,2015-07-27,0
27,2015-07-28,3
28,2015-07-29,4
29,2015-07-30,3
30,2015-07-31,1
31,2015-08-01,1
32,2015-08-02,0
33,2015-08-03,0
34,2015-08-04,3
35,2015-08-05,2
36,2015-08-06,1
37,2015-08-07,1
38,2015-08-08,0
39,2015-08-09,1
40,2015-08-10,1
41,2015-08-11,3
42,2015-08-12,1
43,2015-08-13,0
44,2015-08-14,0
45,2015-08-15,0
46,2015-08-16,2
47,2015-08-17,3
48,2015-08-18,3
49,2015-08-19,2
50,2015-08-20,2
51,2015-08-21,1
52,2015-08-22,4
53,2015-08-23,0
54,2015-08-24,2
55,2015-08-25,0
56,2015-08-26,1
57,2015-08-27,1
58,2015-08-28,1
59,2015-08-29,3
60,2015-08-30,0
61,2015-08-31,1
62,2015-09-01,5
63,2015-09-02,1
64,2015-09-03,2
65,2015-09-04,2
66,2015-09-05,0
67,2015-09-06,3
68,2015-09-07,1
69,2015-09-08,1
70,2015-09-09,0
71,2015-09-10,0
72,2015-09-11,4
73,2015-09-12,0
74,2015-09-13,1
75,2015-09-14,3
76,2015-09-15,2
77,2015-09-16,3
78,2015-09-17,3
79,2015-09-18,0
80,2015-09-19,0
81,2015-09-20,0
82,2015-09-21,0
83,2015-09-22,1
84,2015-09-23,1
85,2015-09-24,4
86,2015-09-25,3
87,2015-09-26,3
88,2015-09-27,4
89,2015-09-28,1
90,2015-09-29,1
91,2015-09-30,1
92,2015-10-01,0
93,2015-10-02,2
94,2015-10-03,2
95,2015-10-04,2
96,2015-10-05,2
97,2015-10-06,0
98,2015-10-07,0
99,2015-10-08,2
100,2015-10-09,1
101,2015-10-10,1
102,2015-10-11,1
103,2015-10-12,0
104,2015-10-13,2
105,2015-10-14,0
106,2015-10-15,2
