,Date,Count
0,2015-07-01,291
1,2015-07-02,268
2,2015-07-03,274
3,2015-07-04,253
4,2015-07-05,263
5,2015-07-06,330
6,2015-07-07,332
7,2015-07-08,252
8,2015-07-09,262
9,2015-07-10,254
10,2015-07-11,200
11,2015-07-12,265
12,2015-07-13,239
13,2015-07-14,221
14,2015-07-15,260
15,2015-07-16,239
16,2015-07-17,202
17,2015-07-18,208
18,2015-07-19,241
19,2015-07-20,268
20,2015-07-21,266
21,2015-07-22,273
22,2015-07-23,481
23,2015-07-24,621
24,2015-07-25,224
25,2015-07-26,267
26,2015-07-27,297
27,2015-07-28,271
28,2015-07-29,287
29,2015-07-30,298
30,2015-07-31,284
31,2015-08-01,199
32,2015-08-02,267
33,2015-08-03,291
34,2015-08-04,276
35,2015-08-05,246
36,2015-08-06,246
37,2015-08-07,232
38,2015-08-08,228
39,2015-08-09,245
40,2015-08-10,255
41,2015-08-11,256
42,2015-08-12,309
43,2015-08-13,313
44,2015-08-14,272
45,2015-08-15,250
46,2015-08-16,279
47,2015-08-17,303
48,2015-08-18,304
49,2015-08-19,315
50,2015-08-20,282
51,2015-08-21,251
52,2015-08-22,238
53,2015-08-23,268
54,2015-08-24,285
55,2015-08-25,340
56,2015-08-26,281
57,2015-08-27,266
58,2015-08-28,238
59,2015-08-29,236
60,2015-08-30,228
61,2015-08-31,273
62,2015-09-01,249
63,2015-09-02,277
64,2015-09-03,307
65,2015-09-04,255
66,2015-09-05,238
67,2015-09-06,265
68,2015-09-07,261
69,2015-09-08,304
70,2015-09-09,308
71,2015-09-10,290
72,2015-09-11,259
73,2015-09-12,245
74,2015-09-13,303
75,2015-09-14,360
76,2015-09-15,347
77,2015-09-16,293
78,2015-09-17,276
79,2015-09-18,245
80,2015-09-19,1744
81,2015-09-20,329
82,2015-09-21,301
83,2015-09-22,313
84,2015-09-23,332
85,2015-09-24,361
86,2015-09-25,277
87,2015-09-26,245
88,2015-09-27,285
89,2015-09-28,370
90,2015-09-29,305
91,2015-09-30,326
92,2015-10-01,341
93,2015-10-02,273
94,2015-10-03,246
95,2015-10-04,278
96,2015-10-05,311
97,2015-10-06,330
98,2015-10-07,401
99,2015-10-08,363
100,2015-10-09,304
101,2015-10-10,265
102,2015-10-11,348
103,2015-10-12,291
104,2015-10-13,331
105,2015-10-14,314
106,2015-10-15,313
107,2015-10-16,303
108,2015-10-17,277
109,2015-10-18,338
110,2015-10-19,388
111,2015-10-20,416
112,2015-10-21,423
113,2015-10-22,393
114,2015-10-23,283
115,2015-10-24,244
116,2015-10-25,332
117,2015-10-26,356
118,2015-10-27,380
119,2015-10-28,358
120,2015-10-29,423
121,2015-10-30,316
122,2015-10-31,290
123,2015-11-01,276
124,2015-11-02,342
125,2015-11-03,359
126,2015-11-04,517
127,2015-11-05,440
128,2015-11-06,331
129,2015-11-07,464
130,2015-11-08,465
131,2015-11-09,530
132,2015-11-10,444
133,2015-11-11,403
134,2015-11-12,375
135,2015-11-13,353
136,2015-11-14,275
137,2015-11-15,336
138,2015-11-16,385
139,2015-11-17,445
140,2015-11-18,379
141,2015-11-19,346
142,2015-11-20,311
143,2015-11-21,275
144,2015-11-22,306
145,2015-11-23,379
146,2015-11-24,384
147,2015-11-25,381
148,2015-11-26,344
149,2015-11-27,306
150,2015-11-28,275
151,2015-11-29,319
152,2015-11-30,392
153,2015-12-01,410
154,2015-12-02,382
155,2015-12-03,357
156,2015-12-04,318
157,2015-12-05,275
158,2015-12-06,323
159,2015-12-07,417
160,2015-12-08,437
161,2015-12-09,412
162,2015-12-10,409
163,2015-12-11,351
164,2015-12-12,263
165,2015-12-13,341
166,2015-12-14,512
167,2015-12-15,354
168,2015-12-16,345
169,2015-12-17,377
170,2015-12-18,285
171,2015-12-19,227
172,2015-12-20,224
173,2015-12-21,214
174,2015-12-22,218
175,2015-12-23,228
176,2015-12-24,231
177,2015-12-25,164
178,2015-12-26,164
179,2015-12-27,294
180,2015-12-28,270
181,2015-12-29,236
182,2015-12-30,276
183,2015-12-31,220
184,2016-01-01,244
185,2016-01-02,303
186,2016-01-03,346
187,2016-01-04,529
188,2016-01-05,437
189,2016-01-06,437
190,2016-01-07,384
191,2016-01-08,363
192,2016-01-09,313
193,2016-01-10,866
194,2016-01-11,1041
195,2016-01-12,390
196,2016-01-13,395
197,2016-01-14,376
198,2016-01-15,384
199,2016-01-16,612
200,2016-01-17,621
201,2016-01-18,559
202,2016-01-19,510
203,2016-01-20,424
204,2016-01-21,422
205,2016-01-22,354
206,2016-01-23,293
207,2016-01-24,339
208,2016-01-25,727
209,2016-01-26,459
210,2016-01-27,407
211,2016-01-28,437
212,2016-01-29,342
213,2016-01-30,341
214,2016-01-31,410
215,2016-02-01,393
216,2016-02-02,411
217,2016-02-03,338
218,2016-02-04,404
219,2016-02-05,347
220,2016-02-06,322
221,2016-02-07,328
222,2016-02-08,506
223,2016-02-09,543
224,2016-02-10,393
225,2016-02-11,405
226,2016-02-12,403
227,2016-02-13,305
228,2016-02-14,346
229,2016-02-15,416
230,2016-02-16,451
231,2016-02-17,474
232,2016-02-18,414
233,2016-02-19,339
234,2016-02-20,312
235,2016-02-21,338
236,2016-02-22,418
237,2016-02-23,403
238,2016-02-24,346
239,2016-02-25,346
240,2016-02-26,321
241,2016-02-27,302
242,2016-02-28,375
243,2016-02-29,444
244,2016-03-01,432
245,2016-03-02,386
246,2016-03-03,385
247,2016-03-04,364
248,2016-03-05,289
249,2016-03-06,349
250,2016-03-07,432
251,2016-03-08,370
252,2016-03-09,415
253,2016-03-10,432
254,2016-03-11,340
255,2016-03-12,311
256,2016-03-13,442
257,2016-03-14,387
258,2016-03-15,330
259,2016-03-16,329
260,2016-03-17,423
261,2016-03-18,405
262,2016-03-19,270
263,2016-03-20,358
264,2016-03-21,378
265,2016-03-22,369
266,2016-03-23,361
267,2016-03-24,338
268,2016-03-25,253
269,2016-03-26,272
270,2016-03-27,331
271,2016-03-28,335
272,2016-03-29,339
273,2016-03-30,332
274,2016-03-31,385
275,2016-04-01,317
276,2016-04-02,242
277,2016-04-03,311
278,2016-04-04,437
279,2016-04-05,403
280,2016-04-06,471
281,2016-04-07,363
282,2016-04-08,366
283,2016-04-09,325
284,2016-04-10,440
285,2016-04-11,497
286,2016-04-12,529
287,2016-04-13,445
288,2016-04-14,426
289,2016-04-15,462
290,2016-04-16,310
291,2016-04-17,355
292,2016-04-18,400
293,2016-04-19,412
294,2016-04-20,397
295,2016-04-21,378
296,2016-04-22,375
297,2016-04-23,294
298,2016-04-24,357
299,2016-04-25,458
300,2016-04-26,392
301,2016-04-27,418
302,2016-04-28,359
303,2016-04-29,341
304,2016-04-30,346
305,2016-05-01,321
306,2016-05-02,402
307,2016-05-03,426
308,2016-05-04,343
309,2016-05-05,374
310,2016-05-06,316
311,2016-05-07,240
312,2016-05-08,317
313,2016-05-09,372
314,2016-05-10,441
315,2016-05-11,430
316,2016-05-12,383
317,2016-05-13,316
318,2016-05-14,276
319,2016-05-15,290
320,2016-05-16,462
321,2016-05-17,513
322,2016-05-18,464
323,2016-05-19,590
324,2016-05-20,672
325,2016-05-21,474
326,2016-05-22,410
327,2016-05-23,654
328,2016-05-24,915
329,2016-05-25,456
330,2016-05-26,399
331,2016-05-27,293
332,2016-05-28,259
333,2016-05-29,322
334,2016-05-30,331
335,2016-05-31,419
336,2016-06-01,357
337,2016-06-02,342
338,2016-06-03,331
339,2016-06-04,315
340,2016-06-05,348
341,2016-06-06,312
342,2016-06-07,338
343,2016-06-08,324
344,2016-06-09,302
345,2016-06-10,305
346,2016-06-11,228
347,2016-06-12,234
348,2016-06-13,303
349,2016-06-14,289
350,2016-06-15,307
351,2016-06-16,353
352,2016-06-17,401
353,2016-06-18,500
354,2016-06-19,339
355,2016-06-20,380
356,2016-06-21,412
357,2016-06-22,428
358,2016-06-23,335
359,2016-06-24,314
360,2016-06-25,232
361,2016-06-26,308
362,2016-06-27,285
363,2016-06-28,281
364,2016-06-29,283
365,2016-06-30,300
366,2016-07-01,377
367,2016-07-02,245
368,2016-07-03,190
369,2016-07-04,272
370,2016-07-05,318
371,2016-07-06,272
372,2016-07-07,261
373,2016-07-08,239
374,2016-07-09,231
375,2016-07-10,217
376,2016-07-11,261
377,2016-07-12,324
378,2016-07-13,277
379,2016-07-14,247
380,2016-07-15,263
381,2016-07-16,249
382,2016-07-17,249
383,2016-07-18,281
384,2016-07-19,290
385,2016-07-20,291
386,2016-07-21,287
387,2016-07-22,206
388,2016-07-23,212
389,2016-07-24,268
390,2016-07-25,293
391,2016-07-26,225
392,2016-07-27,280
393,2016-07-28,229
394,2016-07-29,257
395,2016-07-30,229
396,2016-07-31,259
397,2016-08-01,290
398,2016-08-02,278
399,2016-08-03,250
400,2016-08-04,287
401,2016-08-05,257
402,2016-08-06,672
403,2016-08-07,360
404,2016-08-08,368
405,2016-08-09,325
406,2016-08-10,269
407,2016-08-11,291
408,2016-08-12,304
409,2016-08-13,275
410,2016-08-14,311
411,2016-08-15,343
412,2016-08-16,298
413,2016-08-17,287
414,2016-08-18,336
415,2016-08-19,282
416,2016-08-20,244
417,2016-08-21,297
418,2016-08-22,350
419,2016-08-23,326
420,2016-08-24,263
421,2016-08-25,286
