,Date,Count
0,2015-07-01,8
1,2015-07-02,7
2,2015-07-03,6
3,2015-07-04,6
4,2015-07-05,3
5,2015-07-06,8
6,2015-07-07,11
7,2015-07-08,12
8,2015-07-09,4
9,2015-07-10,4
10,2015-07-11,3
11,2015-07-12,10
12,2015-07-13,6
13,2015-07-14,5
14,2015-07-15,8
15,2015-07-16,2
16,2015-07-17,3
17,2015-07-18,5
18,2015-07-19,2
19,2015-07-20,7
20,2015-07-21,1
21,2015-07-22,0
22,2015-07-23,10
23,2015-07-24,6
24,2015-07-25,7
25,2015-07-26,6
26,2015-07-27,7
27,2015-07-28,8
28,2015-07-29,8
29,2015-07-30,18
30,2015-07-31,4
31,2015-08-01,5
32,2015-08-02,7
33,2015-08-03,3
34,2015-08-04,4
35,2015-08-05,6
36,2015-08-06,8
37,2015-08-07,5
38,2015-08-08,9
39,2015-08-09,6
40,2015-08-10,5
41,2015-08-11,6
42,2015-08-12,7
43,2015-08-13,7
44,2015-08-14,68
45,2015-08-15,22
46,2015-08-16,7
47,2015-08-17,10
48,2015-08-18,3
49,2015-08-19,8
50,2015-08-20,15
51,2015-08-21,3
52,2015-08-22,6
53,2015-08-23,1
54,2015-08-24,8
55,2015-08-25,6
56,2015-08-26,4
57,2015-08-27,3
58,2015-08-28,4
59,2015-08-29,21
60,2015-08-30,11
61,2015-08-31,3
62,2015-09-01,6
63,2015-09-02,10
64,2015-09-03,7
65,2015-09-04,5
66,2015-09-05,5
67,2015-09-06,8
68,2015-09-07,13
69,2015-09-08,38
70,2015-09-09,54
71,2015-09-10,45
72,2015-09-11,10
73,2015-09-12,2
74,2015-09-13,4
75,2015-09-14,5
76,2015-09-15,39
77,2015-09-16,18
78,2015-09-17,11
79,2015-09-18,5
80,2015-09-19,0
81,2015-09-20,10
82,2015-09-21,11
83,2015-09-22,15
84,2015-09-23,55
85,2015-09-24,10
86,2015-09-25,22
87,2015-09-26,8
88,2015-09-27,4
89,2015-09-28,10
90,2015-09-29,16
91,2015-09-30,6
92,2015-10-01,10
93,2015-10-02,3
94,2015-10-03,7
95,2015-10-04,3
96,2015-10-05,4
97,2015-10-06,4
98,2015-10-07,10
99,2015-10-08,7
100,2015-10-09,7
101,2015-10-10,10
102,2015-10-11,19
103,2015-10-12,81
104,2015-10-13,12
105,2015-10-14,4
106,2015-10-15,7
107,2015-10-16,9
108,2015-10-17,4
109,2015-10-18,7
110,2015-10-19,6
111,2015-10-20,15
112,2015-10-21,10
113,2015-10-22,14
114,2015-10-23,5
115,2015-10-24,4
116,2015-10-25,2
117,2015-10-26,2
118,2015-10-27,4
119,2015-10-28,5
120,2015-10-29,7
121,2015-10-30,8
122,2015-10-31,5
123,2015-11-01,2
124,2015-11-02,3
125,2015-11-03,6
126,2015-11-04,16
127,2015-11-05,4
128,2015-11-06,4
129,2015-11-07,3
130,2015-11-08,5
131,2015-11-09,5
132,2015-11-10,8
133,2015-11-11,43
134,2015-11-12,10
135,2015-11-13,7
136,2015-11-14,0
137,2015-11-15,2
138,2015-11-16,5
139,2015-11-17,10
140,2015-11-18,14
141,2015-11-19,32
142,2015-11-20,10
143,2015-11-21,5
144,2015-11-22,7
145,2015-11-23,7
146,2015-11-24,6
147,2015-11-25,5
148,2015-11-26,4
149,2015-11-27,7
150,2015-11-28,5
151,2015-11-29,9
152,2015-11-30,9
153,2015-12-01,6
154,2015-12-02,4
155,2015-12-03,3
156,2015-12-04,6
157,2015-12-05,2
158,2015-12-06,13
159,2015-12-07,2
160,2015-12-08,10
161,2015-12-09,9
162,2015-12-10,10
163,2015-12-11,11
164,2015-12-12,5
165,2015-12-13,4
166,2015-12-14,6
167,2015-12-15,6
168,2015-12-16,9
169,2015-12-17,8
170,2015-12-18,6
171,2015-12-19,5
172,2015-12-20,1
173,2015-12-21,3
174,2015-12-22,7
175,2015-12-23,3
176,2015-12-24,6
177,2015-12-25,7
178,2015-12-26,2
179,2015-12-27,3
180,2015-12-28,4
181,2015-12-29,6
182,2015-12-30,3
183,2015-12-31,12
184,2016-01-01,4
185,2016-01-02,6
186,2016-01-03,3
187,2016-01-04,3
188,2016-01-05,4
189,2016-01-06,9
190,2016-01-07,9
191,2016-01-08,7
192,2016-01-09,2
193,2016-01-10,4
194,2016-01-11,3
195,2016-01-12,8
196,2016-01-13,9
197,2016-01-14,4
198,2016-01-15,9
199,2016-01-16,4
200,2016-01-17,2
201,2016-01-18,2
202,2016-01-19,6
203,2016-01-20,8
204,2016-01-21,6
205,2016-01-22,8
206,2016-01-23,4
207,2016-01-24,8
208,2016-01-25,5
209,2016-01-26,4
210,2016-01-27,9
211,2016-01-28,9
212,2016-01-29,13
213,2016-01-30,3
214,2016-01-31,3
215,2016-02-01,3
216,2016-02-02,6
217,2016-02-03,7
218,2016-02-04,7
219,2016-02-05,3
220,2016-02-06,15
221,2016-02-07,2
222,2016-02-08,7
223,2016-02-09,8
224,2016-02-10,5
225,2016-02-11,2
226,2016-02-12,5
227,2016-02-13,3
228,2016-02-14,4
229,2016-02-15,10
230,2016-02-16,4
231,2016-02-17,0
232,2016-02-18,16
233,2016-02-19,3
234,2016-02-20,2
235,2016-02-21,8
236,2016-02-22,7
237,2016-02-23,5
238,2016-02-24,5
239,2016-02-25,6
240,2016-02-26,4
241,2016-02-27,6
242,2016-02-28,2
243,2016-02-29,0
244,2016-03-01,5
245,2016-03-02,3
246,2016-03-03,1
247,2016-03-04,10
248,2016-03-05,8
249,2016-03-06,10
250,2016-03-07,2
251,2016-03-08,22
252,2016-03-09,7
253,2016-03-10,15
254,2016-03-11,1
255,2016-03-12,3
256,2016-03-13,15
257,2016-03-14,7
258,2016-03-15,25
259,2016-03-16,10
260,2016-03-17,7
261,2016-03-18,5
262,2016-03-19,1
263,2016-03-20,2
264,2016-03-21,9
265,2016-03-22,2
266,2016-03-23,5
267,2016-03-24,13
268,2016-03-25,10
269,2016-03-26,3
270,2016-03-27,4
271,2016-03-28,10
272,2016-03-29,0
273,2016-03-30,7
274,2016-03-31,5
275,2016-04-01,13
276,2016-04-02,3
277,2016-04-03,6
278,2016-04-04,3
279,2016-04-05,4
280,2016-04-06,4
281,2016-04-07,9
282,2016-04-08,8
283,2016-04-09,13
284,2016-04-10,17
285,2016-04-11,14
286,2016-04-12,8
287,2016-04-13,12
288,2016-04-14,8
289,2016-04-15,8
290,2016-04-16,6
291,2016-04-17,6
292,2016-04-18,9
293,2016-04-19,7
294,2016-04-20,2
295,2016-04-21,10
296,2016-04-22,8
297,2016-04-23,3
298,2016-04-24,2
299,2016-04-25,2
300,2016-04-26,9
301,2016-04-27,7
302,2016-04-28,4
303,2016-04-29,5
304,2016-04-30,2
305,2016-05-01,13
306,2016-05-02,5
307,2016-05-03,9
308,2016-05-04,5
309,2016-05-05,4
310,2016-05-06,14
311,2016-05-07,5
312,2016-05-08,0
313,2016-05-09,4
314,2016-05-10,6
315,2016-05-11,7
316,2016-05-12,9
317,2016-05-13,10
318,2016-05-14,8
319,2016-05-15,5
320,2016-05-16,5
321,2016-05-17,27
322,2016-05-18,25
323,2016-05-19,14
324,2016-05-20,7
325,2016-05-21,8
326,2016-05-22,5
327,2016-05-23,4
328,2016-05-24,12
329,2016-05-25,16
330,2016-05-26,8
331,2016-05-27,11
332,2016-05-28,8
333,2016-05-29,5
334,2016-05-30,2
335,2016-05-31,6
336,2016-06-01,3
337,2016-06-02,6
338,2016-06-03,14
339,2016-06-04,6
340,2016-06-05,3
341,2016-06-06,4
342,2016-06-07,6
343,2016-06-08,7
344,2016-06-09,3
345,2016-06-10,3
346,2016-06-11,7
347,2016-06-12,5
348,2016-06-13,22
349,2016-06-14,8
350,2016-06-15,19
351,2016-06-16,4
352,2016-06-17,6
353,2016-06-18,2
354,2016-06-19,2
355,2016-06-20,7
356,2016-06-21,4
357,2016-06-22,2
358,2016-06-23,11
359,2016-06-24,12
360,2016-06-25,1
361,2016-06-26,6
362,2016-06-27,2
363,2016-06-28,7
364,2016-06-29,2
365,2016-06-30,5
366,2016-07-01,2
367,2016-07-02,6
368,2016-07-03,15
369,2016-07-04,6
370,2016-07-05,4
371,2016-07-06,6
372,2016-07-07,5
373,2016-07-08,2
374,2016-07-09,1
375,2016-07-10,4
376,2016-07-11,9
377,2016-07-12,5
378,2016-07-13,5
379,2016-07-14,6
380,2016-07-15,7
381,2016-07-16,3
382,2016-07-17,8
383,2016-07-18,10
384,2016-07-19,5
385,2016-07-20,8
386,2016-07-21,7
387,2016-07-22,4
388,2016-07-23,3
389,2016-07-24,4
390,2016-07-25,5
391,2016-07-26,9
392,2016-07-27,7
393,2016-07-28,4
394,2016-07-29,6
395,2016-07-30,13
396,2016-07-31,9
397,2016-08-01,5
398,2016-08-02,9
399,2016-08-03,7
400,2016-08-04,4
401,2016-08-05,9
402,2016-08-06,3
403,2016-08-07,7
404,2016-08-08,6
405,2016-08-09,6
406,2016-08-10,7
407,2016-08-11,5
408,2016-08-12,2
409,2016-08-13,1
410,2016-08-14,3
411,2016-08-15,7
412,2016-08-16,2
413,2016-08-17,16
414,2016-08-18,12
415,2016-08-19,26
416,2016-08-20,13
417,2016-08-21,7
418,2016-08-22,26
419,2016-08-23,18
420,2016-08-24,13
421,2016-08-25,11
422,2016-08-26,7
423,2016-08-27,7
424,2016-08-28,4
425,2016-08-29,5
426,2016-08-30,7
427,2016-08-31,12
428,2016-09-01,6
429,2016-09-02,8
430,2016-09-03,10
431,2016-09-04,9
432,2016-09-05,4
433,2016-09-06,7
434,2016-09-07,2
435,2016-09-08,3
436,2016-09-09,7
437,2016-09-10,3
438,2016-09-11,5
439,2016-09-12,3
440,2016-09-13,7
441,2016-09-14,7
442,2016-09-15,6
443,2016-09-16,9
444,2016-09-17,1
445,2016-09-18,5
446,2016-09-19,5
447,2016-09-20,12
448,2016-09-21,7
449,2016-09-22,9
450,2016-09-23,7
451,2016-09-24,2
452,2016-09-25,9
453,2016-09-26,7
454,2016-09-27,5
455,2016-09-28,13
456,2016-09-29,4
457,2016-09-30,2
458,2016-10-01,3
459,2016-10-02,3
460,2016-10-03,2
461,2016-10-04,5
462,2016-10-05,5
463,2016-10-06,1
464,2016-10-07,12
465,2016-10-08,5
466,2016-10-09,13
467,2016-10-10,11
468,2016-10-11,11
469,2016-10-12,8
470,2016-10-13,4
471,2016-10-14,4
472,2016-10-15,9
473,2016-10-16,5
474,2016-10-17,5
475,2016-10-18,13
476,2016-10-19,14
477,2016-10-20,11
478,2016-10-21,7
479,2016-10-22,3
480,2016-10-23,5
481,2016-10-24,3
482,2016-10-25,12
483,2016-10-26,8
484,2016-10-27,5
485,2016-10-28,11
486,2016-10-29,7
487,2016-10-30,4
488,2016-10-31,2
489,2016-11-01,11
490,2016-11-02,10
491,2016-11-03,25
492,2016-11-04,10
493,2016-11-05,7
494,2016-11-06,6
495,2016-11-07,9
496,2016-11-08,12
497,2016-11-09,10
498,2016-11-10,12
499,2016-11-11,7
500,2016-11-12,7
501,2016-11-13,9
502,2016-11-14,7
503,2016-11-15,2
504,2016-11-16,6
505,2016-11-17,12
506,2016-11-18,11
507,2016-11-19,8
508,2016-11-20,10
509,2016-11-21,14
510,2016-11-22,5
511,2016-11-23,3
512,2016-11-24,9
513,2016-11-25,6
514,2016-11-26,10
515,2016-11-27,7
516,2016-11-28,10
517,2016-11-29,10
518,2016-11-30,10
519,2016-12-01,6
520,2016-12-02,3
521,2016-12-03,8
522,2016-12-04,10
523,2016-12-05,8
524,2016-12-06,6
525,2016-12-07,18
526,2016-12-08,7
