,Date,Count
0,2015-07-01,189
1,2015-07-02,182
2,2015-07-03,101
3,2015-07-04,106
4,2015-07-05,106
5,2015-07-06,138
6,2015-07-07,131
7,2015-07-08,118
8,2015-07-09,160
9,2015-07-10,104
10,2015-07-11,107
11,2015-07-12,122
12,2015-07-13,99
13,2015-07-14,114
14,2015-07-15,115
15,2015-07-16,119
16,2015-07-17,114
17,2015-07-18,70
18,2015-07-19,113
19,2015-07-20,135
20,2015-07-21,131
21,2015-07-22,170
22,2015-07-23,141
23,2015-07-24,137
24,2015-07-25,95
25,2015-07-26,106
26,2015-07-27,109
27,2015-07-28,135
28,2015-07-29,131
29,2015-07-30,177
30,2015-07-31,120
31,2015-08-01,101
32,2015-08-02,85
33,2015-08-03,166
34,2015-08-04,156
35,2015-08-05,131
36,2015-08-06,123
37,2015-08-07,126
38,2015-08-08,109
39,2015-08-09,121
40,2015-08-10,136
41,2015-08-11,151
42,2015-08-12,97
43,2015-08-13,115
44,2015-08-14,94
45,2015-08-15,84
46,2015-08-16,119
47,2015-08-17,139
48,2015-08-18,148
49,2015-08-19,144
50,2015-08-20,116
51,2015-08-21,114
52,2015-08-22,118
53,2015-08-23,120
54,2015-08-24,157
55,2015-08-25,138
56,2015-08-26,150
57,2015-08-27,219
58,2015-08-28,185
59,2015-08-29,177
60,2015-08-30,193
61,2015-08-31,198
62,2015-09-01,175
63,2015-09-02,141
64,2015-09-03,205
65,2015-09-04,145
66,2015-09-05,122
67,2015-09-06,151
68,2015-09-07,166
69,2015-09-08,196
70,2015-09-09,186
71,2015-09-10,180
72,2015-09-11,150
73,2015-09-12,158
74,2015-09-13,163
75,2015-09-14,223
76,2015-09-15,199
77,2015-09-16,190
78,2015-09-17,195
79,2015-09-18,187
80,2015-09-19,152
81,2015-09-20,183
82,2015-09-21,182
83,2015-09-22,251
84,2015-09-23,248
85,2015-09-24,266
86,2015-09-25,238
87,2015-09-26,251
88,2015-09-27,308
89,2015-09-28,707
90,2015-09-29,400
91,2015-09-30,276
92,2015-10-01,273
93,2015-10-02,291
94,2015-10-03,318
95,2015-10-04,251
96,2015-10-05,305
97,2015-10-06,265
98,2015-10-07,270
99,2015-10-08,321
100,2015-10-09,173
101,2015-10-10,161
102,2015-10-11,252
103,2015-10-12,239
104,2015-10-13,218
105,2015-10-14,231
106,2015-10-15,240
107,2015-10-16,205
108,2015-10-17,186
109,2015-10-18,218
110,2015-10-19,248
111,2015-10-20,244
112,2015-10-21,277
113,2015-10-22,243
114,2015-10-23,206
115,2015-10-24,167
116,2015-10-25,198
117,2015-10-26,274
118,2015-10-27,283
119,2015-10-28,243
120,2015-10-29,249
121,2015-10-30,154
122,2015-10-31,129
123,2015-11-01,206
124,2015-11-02,243
125,2015-11-03,247
126,2015-11-04,261
127,2015-11-05,255
128,2015-11-06,166
129,2015-11-07,115
130,2015-11-08,236
131,2015-11-09,215
132,2015-11-10,246
133,2015-11-11,171
134,2015-11-12,207
135,2015-11-13,196
136,2015-11-14,149
137,2015-11-15,206
138,2015-11-16,252
139,2015-11-17,513
140,2015-11-18,249
141,2015-11-19,208
142,2015-11-20,177
143,2015-11-21,134
144,2015-11-22,216
145,2015-11-23,1026
146,2015-11-24,611
147,2015-11-25,352
148,2015-11-26,298
149,2015-11-27,245
150,2015-11-28,238
151,2015-11-29,256
152,2015-11-30,289
153,2015-12-01,243
154,2015-12-02,284
155,2015-12-03,248
156,2015-12-04,215
157,2015-12-05,141
158,2015-12-06,205
159,2015-12-07,244
160,2015-12-08,204
161,2015-12-09,235
162,2015-12-10,211
163,2015-12-11,203
164,2015-12-12,126
165,2015-12-13,179
166,2015-12-14,200
167,2015-12-15,210
168,2015-12-16,152
169,2015-12-17,116
170,2015-12-18,100
171,2015-12-19,99
172,2015-12-20,107
173,2015-12-21,110
174,2015-12-22,100
175,2015-12-23,89
176,2015-12-24,73
177,2015-12-25,59
178,2015-12-26,64
179,2015-12-27,75
180,2015-12-28,90
181,2015-12-29,89
182,2015-12-30,86
183,2015-12-31,92
184,2016-01-01,130
185,2016-01-02,113
186,2016-01-03,143
187,2016-01-04,148
188,2016-01-05,133
189,2016-01-06,131
190,2016-01-07,121
191,2016-01-08,159
192,2016-01-09,122
193,2016-01-10,137
194,2016-01-11,137
195,2016-01-12,124
196,2016-01-13,142
197,2016-01-14,133
198,2016-01-15,96
199,2016-01-16,109
200,2016-01-17,148
201,2016-01-18,166
202,2016-01-19,154
203,2016-01-20,151
204,2016-01-21,181
205,2016-01-22,123
206,2016-01-23,131
207,2016-01-24,92
208,2016-01-25,158
209,2016-01-26,200
210,2016-01-27,219
211,2016-01-28,231
212,2016-01-29,167
213,2016-01-30,216
214,2016-01-31,202
215,2016-02-01,206
216,2016-02-02,196
217,2016-02-03,156
218,2016-02-04,169
219,2016-02-05,117
220,2016-02-06,85
221,2016-02-07,107
222,2016-02-08,192
223,2016-02-09,588
224,2016-02-10,331
225,2016-02-11,249
226,2016-02-12,192
227,2016-02-13,144
228,2016-02-14,147
229,2016-02-15,203
230,2016-02-16,253
231,2016-02-17,242
232,2016-02-18,221
233,2016-02-19,162
234,2016-02-20,218
235,2016-02-21,179
236,2016-02-22,218
237,2016-02-23,250
238,2016-02-24,258
239,2016-02-25,190
240,2016-02-26,170
241,2016-02-27,137
242,2016-02-28,246
243,2016-02-29,282
244,2016-03-01,188
