,revid,parentid,user,userid,timestamp,size,anon
0,901179277,901170661,Lmmnhn,4599174,2019-06-10T05:47:23Z,52618,
1,901183999,901179277,223.197.139.136,0,2019-06-10T06:46:27Z,52872,True
2,901184055,901183999,223.197.139.136,0,2019-06-10T06:47:12Z,52940,True
3,901184136,901184055,223.197.139.136,0,2019-06-10T06:47:50Z,52949,True
4,901188205,901184136,107.184.58.145,0,2019-06-10T07:28:14Z,52962,True
5,901188530,901188205,107.184.58.145,0,2019-06-10T07:31:43Z,52966,True
6,901195081,901188530,Evas1on,30388816,2019-06-10T08:37:22Z,52965,
7,901209318,901195081,MSGJ,42630,2019-06-10T11:02:54Z,52972,
8,901210696,901209318,Landingdude13,20659301,2019-06-10T11:15:37Z,52958,
9,901210806,901210696,Jhertel,119408,2019-06-10T11:16:34Z,52959,
10,901212270,901210806,CRau080,33923477,2019-06-10T11:31:08Z,52951,
11,901213353,901212270,Lmmnhn,4599174,2019-06-10T11:42:58Z,53197,
12,901213531,901213353,Lmmnhn,4599174,2019-06-10T11:44:29Z,53186,
13,901213788,901213531,Coffeeandcrumbs,31403387,2019-06-10T11:47:17Z,53195,
14,901214044,901213788,Coffeeandcrumbs,31403387,2019-06-10T11:50:20Z,53692,
15,901214378,901214044,Cam58073,32819947,2019-06-10T11:53:39Z,53693,
16,901214420,901214378,Cam58073,32819947,2019-06-10T11:54:00Z,53692,
17,901214624,901214420,Cam58073,32819947,2019-06-10T11:56:01Z,55096,
18,901214721,901214624,Cam58073,32819947,2019-06-10T11:56:58Z,53692,
19,901214802,901214721,Coffeeandcrumbs,31403387,2019-06-10T11:57:51Z,53724,
20,901217170,901214802,Ohconfucius,736651,2019-06-10T12:22:30Z,53654,
21,901217795,901217170,Ohconfucius,736651,2019-06-10T12:28:34Z,54224,
22,901219404,901217795,Ntsimp,1219859,2019-06-10T12:44:59Z,54221,
23,901219577,901219404,Ntsimp,1219859,2019-06-10T12:46:29Z,54225,
24,901220493,901219577,Lmmnhn,4599174,2019-06-10T12:56:02Z,54909,
25,901220694,901220493,Lmmnhn,4599174,2019-06-10T12:57:58Z,54910,
26,901220757,901220694,Lmmnhn,4599174,2019-06-10T12:58:37Z,54921,
27,901221929,901220757,Lmmnhn,4599174,2019-06-10T13:09:11Z,54921,
28,901222310,901221929,Lmmnhn,4599174,2019-06-10T13:12:17Z,54963,
29,901222409,901222310,Lmmnhn,4599174,2019-06-10T13:13:07Z,54963,
30,901226321,901222409,WikiWinters,20254913,2019-06-10T13:47:35Z,54967,
31,901226977,901226321,Coffeeandcrumbs,31403387,2019-06-10T13:53:07Z,54959,
32,901229229,901226977,Marxistfounder,17955628,2019-06-10T14:10:22Z,55102,
33,901229291,901229229,Marxistfounder,17955628,2019-06-10T14:10:51Z,55103,
34,901229420,901229291,Dps04,10603863,2019-06-10T14:11:48Z,55129,
35,901229673,901229420,Caker18,33153424,2019-06-10T14:14:11Z,55082,
36,901230040,901229673,Caker18,33153424,2019-06-10T14:17:12Z,55083,
37,901235838,901230040,FobTown,33836211,2019-06-10T15:06:20Z,55192,
38,901237605,901235838,RainbowSilver2ndBackup,31403118,2019-06-10T15:20:11Z,55281,
39,901237651,901237605,RainbowSilver2ndBackup,31403118,2019-06-10T15:20:30Z,55281,
40,901240841,901237651,Jaywubba1887,817684,2019-06-10T15:44:46Z,55291,
41,901241175,901240841,Jaywubba1887,817684,2019-06-10T15:47:17Z,55298,
42,901241455,901241175,Jaywubba1887,817684,2019-06-10T15:49:33Z,55356,
43,901241559,901241455,185.38.15.134,0,2019-06-10T15:50:23Z,55704,True
44,901242123,901241559,185.38.15.134,0,2019-06-10T15:54:55Z,55760,True
45,901254102,901242123,Wefk423,30693367,2019-06-10T17:26:12Z,54269,
46,901254589,901254102,Wefk423,30693367,2019-06-10T17:29:45Z,52920,
47,901257262,901254589,Esszet,16511937,2019-06-10T17:50:59Z,52922,
48,901257524,901257262,Esszet,16511937,2019-06-10T17:52:50Z,52920,
49,901257634,901257524,Esszet,16511937,2019-06-10T17:53:41Z,52924,
50,901258527,901257634,Wefk423,30693367,2019-06-10T18:00:17Z,52069,
51,901259427,901258527,CentreLeftRight,23551833,2019-06-10T18:07:37Z,52112,
52,901260111,901259427,Wefk423,30693367,2019-06-10T18:13:18Z,52236,
53,901260849,901260111,Lmmnhn,4599174,2019-06-10T18:18:49Z,53207,
54,901261284,901260849,Kaldari,59944,2019-06-10T18:21:21Z,53199,
55,901261438,901261284,Kaldari,59944,2019-06-10T18:22:17Z,53201,
56,901261857,901261438,Lmmnhn,4599174,2019-06-10T18:25:16Z,53961,
57,901263854,901261857,72.141.106.240,0,2019-06-10T18:39:34Z,53880,True
58,901264068,901263854,72.141.106.240,0,2019-06-10T18:41:07Z,53872,True
59,901264403,901264068,Wefk423,30693367,2019-06-10T18:44:00Z,52590,
60,901265105,901264403,Lmmnhn,4599174,2019-06-10T18:50:05Z,53961,
61,901265452,901265105,Lmmnhn,4599174,2019-06-10T18:53:07Z,54569,
62,901265615,901265452,Wefk423,30693367,2019-06-10T18:54:27Z,54648,
63,901265875,901265615,Lmmnhn,4599174,2019-06-10T18:56:38Z,54647,
64,901266075,901265875,Lmmnhn,4599174,2019-06-10T18:58:22Z,54717,
65,901266740,901266075,137.189.232.1,0,2019-06-10T19:03:41Z,55294,True
66,901266768,901266740,137.189.232.1,0,2019-06-10T19:03:53Z,55295,True
67,901266833,901266768,137.189.232.1,0,2019-06-10T19:04:24Z,55315,True
68,901267330,901266833,Wefk423,30693367,2019-06-10T19:08:46Z,55487,
69,901267398,901267330,Lmmnhn,4599174,2019-06-10T19:09:28Z,55046,
70,901269024,901267398,Lmmnhn,4599174,2019-06-10T19:23:41Z,55027,
71,901269414,901269024,Lmmnhn,4599174,2019-06-10T19:26:15Z,55067,
72,901269459,901269414,Coffeeandcrumbs,31403387,2019-06-10T19:26:37Z,55123,
73,901269659,901269459,Lmmnhn,4599174,2019-06-10T19:28:05Z,55133,
74,901269787,901269659,Lmmnhn,4599174,2019-06-10T19:29:09Z,55078,
75,901270581,901269787,Wefk423,30693367,2019-06-10T19:35:23Z,55327,
76,901270937,901270581,Wefk423,30693367,2019-06-10T19:38:11Z,55326,
77,901271107,901270937,Wefk423,30693367,2019-06-10T19:39:37Z,55277,
78,901271195,901271107,Lmmnhn,4599174,2019-06-10T19:40:26Z,55230,
79,901272866,901271195,Lmmnhn,4599174,2019-06-10T19:54:27Z,55145,
80,901274947,901272866,Lmmnhn,4599174,2019-06-10T20:12:29Z,55144,
81,901285834,901274947,Coffeeandcrumbs,31403387,2019-06-10T21:43:50Z,55196,
82,901307165,901285834,StepSisterWantedAnaI,36714997,2019-06-11T01:26:29Z,55226,
83,901307193,901307165,Everedux,34818168,2019-06-11T01:26:42Z,55196,
84,901307352,901307193,StepSisterWantedAnaI,36714997,2019-06-11T01:28:21Z,55226,
85,901307401,901307352,PlyrStar93,9997592,2019-06-11T01:28:58Z,55196,
86,901312462,901307401,Lmmnhn,4599174,2019-06-11T02:27:11Z,55264,
87,901314401,901312462,Lmmnhn,4599174,2019-06-11T02:48:49Z,56613,
88,901315454,901314401,Lmmnhn,4599174,2019-06-11T02:56:23Z,56667,
89,901315532,901315454,Lmmnhn,4599174,2019-06-11T02:57:06Z,56667,
90,901326675,901315532,Lmmnhn,4599174,2019-06-11T05:15:51Z,56667,
91,901327430,901326675,Syopsis,35875490,2019-06-11T05:26:43Z,57109,
92,901327831,901327430,61.15.200.99,0,2019-06-11T05:32:31Z,57028,True
93,901328286,901327831,61.15.200.99,0,2019-06-11T05:36:47Z,57053,True
