,revid,parentid,user,userid,timestamp,size,anon
0,902492021,899453559,Lmmnhn,4599174,2019-06-19T06:23:12Z,17008,
1,902492139,902492021,Lmmnhn,4599174,2019-06-19T06:25:18Z,17010,
2,902492693,902492139,Lmmnhn,4599174,2019-06-19T06:33:28Z,17009,
3,902567802,902492693,Lmmnhn,4599174,2019-06-19T18:17:07Z,17008,
4,902567855,902567802,Lmmnhn,4599174,2019-06-19T18:17:32Z,17004,
5,903103600,902567855,Lmmnhn,4599174,2019-06-23T15:52:39Z,17032,
6,903108262,903103600,Lmmnhn,4599174,2019-06-23T16:35:25Z,17031,
7,904622389,903108262,Braganza,25296459,2019-07-03T10:41:12Z,17068,
8,907309693,904622389,146.74.94.65,0,2019-07-22T01:01:49Z,17068,True
9,908245987,907309693,119.246.180.127,0,2019-07-28T13:14:37Z,17068,True
10,909386586,908245987,Hoising,2864272,2019-08-05T02:29:31Z,17055,
11,911054613,909386586,14.0.180.205,0,2019-08-16T07:42:45Z,17055,True
12,911977505,911054613,14.199.242.101,0,2019-08-22T12:17:20Z,17065,True
13,912401079,911977505,Pikamander2,4743453,2019-08-25T09:44:38Z,17069,
14,913299157,912401079,Lmmnhn,4599174,2019-08-31T05:21:57Z,17054,
15,913299225,913299157,Lmmnhn,4599174,2019-08-31T05:22:55Z,17044,
16,914457840,913299225,58.153.243.65,0,2019-09-07T15:51:12Z,17044,True
17,917311093,914457840,Lmmnhn,4599174,2019-09-23T07:37:53Z,17022,
18,917819703,917311093,Lmmnhn,4599174,2019-09-25T16:58:27Z,17133,
19,919094217,917819703,Lmmnhn,4599174,2019-10-01T20:16:04Z,17144,
20,919094365,919094217,Lmmnhn,4599174,2019-10-01T20:17:10Z,17207,
21,919241858,919094365,Braganza,25296459,2019-10-02T16:25:40Z,17238,
22,919544895,919241858,Lmmnhn,4599174,2019-10-04T09:32:05Z,17240,
23,919550091,919544895,Lmmnhn,4599174,2019-10-04T10:12:37Z,17268,
24,919550136,919550091,Lmmnhn,4599174,2019-10-04T10:12:56Z,17305,
25,919675540,919550136,Hugo999,3006008,2019-10-05T02:09:15Z,17306,
26,920013216,919675540,Lmmnhn,4599174,2019-10-07T05:41:20Z,17803,
27,920155409,920013216,64.7.154.165,0,2019-10-08T00:08:07Z,17806,True
28,921165616,920155409,144.178.14.10,0,2019-10-14T09:08:40Z,17803,True
29,921734994,921165616,Lmmnhn,4599174,2019-10-17T15:33:10Z,19989,
30,921735224,921734994,Lmmnhn,4599174,2019-10-17T15:35:07Z,20097,
31,921735293,921735224,Lmmnhn,4599174,2019-10-17T15:35:43Z,20092,
32,921740935,921735293,Lmmnhn,4599174,2019-10-17T16:16:48Z,20183,
33,921818134,921740935,Lmmnhn,4599174,2019-10-18T02:57:53Z,20525,
34,921818715,921818134,Lmmnhn,4599174,2019-10-18T03:04:08Z,21341,
35,921818742,921818715,Lmmnhn,4599174,2019-10-18T03:04:28Z,21343,
36,921837202,921818742,Lmmnhn,4599174,2019-10-18T06:46:23Z,21347,
37,921978428,921837202,Lmmnhn,4599174,2019-10-19T02:53:00Z,21417,
38,922002127,921978428,58.153.105.245,0,2019-10-19T07:56:16Z,21405,True
39,922152826,922002127,Magiclife1,37105813,2019-10-20T08:41:44Z,21404,
40,922152867,922152826,Magiclife1,37105813,2019-10-20T08:42:07Z,21405,
41,922318922,922152867,Heart-of-Greed,37640923,2019-10-21T11:21:48Z,21404,
42,922318947,922318922,Heart-of-Greed,37640923,2019-10-21T11:22:09Z,21405,
43,922327294,922318947,112.120.180.152,0,2019-10-21T12:46:57Z,20610,True
44,922327851,922327294,Cmfromhk,37642444,2019-10-21T12:52:20Z,20530,
45,922425606,922327851,Lmmnhn,4599174,2019-10-22T01:52:10Z,21181,
46,922425729,922425606,Lmmnhn,4599174,2019-10-22T01:53:26Z,21254,
47,922425831,922425729,Lmmnhn,4599174,2019-10-22T01:54:16Z,21256,
48,922426246,922425831,Lmmnhn,4599174,2019-10-22T01:58:20Z,21660,
49,922426307,922426246,Lmmnhn,4599174,2019-10-22T01:58:53Z,21704,
50,922952311,922426307,Hkfreedomfighter,37349311,2019-10-25T10:54:07Z,21702,
51,923550668,922952311,Lmmnhn,4599174,2019-10-29T07:30:00Z,23133,
52,923559829,923550668,Lmmnhn,4599174,2019-10-29T09:20:18Z,23150,
53,923560809,923559829,Lmmnhn,4599174,2019-10-29T09:32:49Z,23237,
54,923568952,923560809,223.197.160.199,0,2019-10-29T11:09:37Z,23258,True
55,923569170,923568952,223.197.160.199,0,2019-10-29T11:11:41Z,23241,True
56,923582554,923569170,Lmmnhn,4599174,2019-10-29T13:27:13Z,23237,
57,923750648,923582554,Lmmnhn,4599174,2019-10-30T15:16:33Z,23653,
58,923820334,923750648,96.29.153.46,0,2019-10-31T00:04:47Z,23653,True
59,924003607,923820334,175.159.212.158,0,2019-11-01T04:23:01Z,23653,True
60,924196744,924003607,Rotesdiadem,28021093,2019-11-02T12:09:38Z,23658,
61,924263289,924196744,Lmmnhn,4599174,2019-11-02T20:07:10Z,25777,
62,924263838,924263289,Lmmnhn,4599174,2019-11-02T20:11:38Z,25808,
63,924352635,924263838,Lmmnhn,4599174,2019-11-03T09:50:43Z,25803,
64,924421624,924352635,Lmmnhn,4599174,2019-11-03T19:31:38Z,25802,
65,924421698,924421624,Lmmnhn,4599174,2019-11-03T19:32:08Z,25776,
66,924914932,924421698,MB,26021349,2019-11-06T18:26:20Z,25773,
67,925017151,924914932,Lmmnhn,4599174,2019-11-07T09:24:01Z,28084,
68,925019533,925017151,Lmmnhn,4599174,2019-11-07T09:54:51Z,28084,
69,925025907,925019533,Lmmnhn,4599174,2019-11-07T11:10:04Z,28079,
70,925129671,925025907,Lmmnhn,4599174,2019-11-08T01:16:20Z,28098,
71,925306480,925129671,Lmmnhn,4599174,2019-11-09T06:13:29Z,28098,
72,925308694,925306480,Lmmnhn,4599174,2019-11-09T06:46:10Z,28126,
73,925308759,925308694,Lmmnhn,4599174,2019-11-09T06:46:59Z,28121,
74,926404212,925308759,Cmfromhk,37642444,2019-11-16T03:56:01Z,28700,
75,926422748,926404212,Lmmnhn,4599174,2019-11-16T08:06:33Z,28121,
76,926422832,926422748,Lmmnhn,4599174,2019-11-16T08:08:02Z,28245,
77,926422858,926422832,Lmmnhn,4599174,2019-11-16T08:08:32Z,28256,
78,926503802,926422858,Felixishim,20227685,2019-11-16T21:05:31Z,31474,
79,927040638,926503802,Lmmnhn,4599174,2019-11-20T00:01:25Z,31470,
80,927040972,927040638,Lmmnhn,4599174,2019-11-20T00:03:09Z,31470,
81,927042922,927040972,Lmmnhn,4599174,2019-11-20T00:17:54Z,31421,
82,927059433,927042922,Robertsky,1990013,2019-11-20T02:27:38Z,30933,
83,927059796,927059433,Robertsky,1990013,2019-11-20T02:30:51Z,35935,
84,927095888,927059796,Lmmnhn,4599174,2019-11-20T08:57:44Z,35876,
85,927267937,927095888,Lmmnhn,4599174,2019-11-21T10:38:32Z,35876,
86,927283626,927267937,Felixishim,20227685,2019-11-21T13:47:22Z,35884,
87,927291623,927283626,Lmmnhn,4599174,2019-11-21T15:02:47Z,35880,
88,927371121,927291623,Lmmnhn,4599174,2019-11-22T02:08:45Z,35916,
89,927371908,927371121,Lmmnhn,4599174,2019-11-22T02:15:56Z,35962,
90,927571466,927371908,103.211.18.251,0,2019-11-23T09:50:55Z,35983,True
91,927571575,927571466,103.211.18.251,0,2019-11-23T09:52:35Z,35963,True
92,927571703,927571575,103.211.18.251,0,2019-11-23T09:54:25Z,35983,True
93,927572184,927571703,128.90.142.213,0,2019-11-23T10:00:59Z,35962,True
94,927622789,927572184,L31g,20212553,2019-11-23T18:24:24Z,35967,
95,927623288,927622789,L31g,20212553,2019-11-23T18:28:52Z,35943,
96,927633685,927623288,94.231.255.214,0,2019-11-23T19:50:27Z,35901,True
97,927638355,927633685,MB,26021349,2019-11-23T20:27:04Z,35898,
98,927667919,927638355,Azmi1995,6792845,2019-11-24T00:32:28Z,35925,
99,927668055,927667919,Azmi1995,6792845,2019-11-24T00:33:57Z,35898,
100,927705804,927668055,HapHaxion,13501746,2019-11-24T07:08:51Z,35919,
101,927706004,927705804,HapHaxion,13501746,2019-11-24T07:11:35Z,35925,
102,927706463,927706004,HapHaxion,13501746,2019-11-24T07:17:58Z,36064,
103,927706493,927706463,HapHaxion,13501746,2019-11-24T07:18:21Z,36087,
104,927708527,927706493,Neo-Jay,561624,2019-11-24T07:43:29Z,36098,
105,927711887,927708527,Lmmnhn,4599174,2019-11-24T08:23:43Z,35936,
106,927720071,927711887,NYKTNE,23666568,2019-11-24T09:48:59Z,36106,
107,927720360,927720071,Universehk,1355576,2019-11-24T09:51:25Z,36996,
108,927722268,927720360,Universehk,1355576,2019-11-24T10:10:02Z,38200,
