,revid,parentid,user,anon,userid,timestamp,size
0,901455531,897918148,129.133.211.147,True,0,2019-06-12T00:12:03Z,4204
1,902475577,901455531,Robertolacayo14,,36688769,2019-06-19T02:55:09Z,4516
2,902476190,902475577,Robertolacayo14,,36688769,2019-06-19T03:01:28Z,4574
3,905628798,902476190,61.92.157.37,True,0,2019-07-10T09:03:18Z,4649
4,905631073,905628798,Citobun,,19212093,2019-07-10T09:34:36Z,4574
5,907229514,905631073,Mariogoods,,34143604,2019-07-21T12:48:21Z,4614
6,907231513,907229514,AnomieBOT,,7611264,2019-07-21T13:09:04Z,4629
7,907984651,907231513,Takinginterest01,,32884160,2019-07-26T16:13:07Z,4701
8,907984706,907984651,Takinginterest01,,32884160,2019-07-26T16:13:37Z,4702
9,907984729,907984706,Takinginterest01,,32884160,2019-07-26T16:13:47Z,4629
10,907984749,907984729,Takinginterest01,,32884160,2019-07-26T16:14:03Z,4701
11,907984802,907984749,Takinginterest01,,32884160,2019-07-26T16:14:33Z,4701
12,908675602,907984802,Citobun,,19212093,2019-07-31T07:39:17Z,4759
13,911348023,908675602,180.68.3.23,True,0,2019-08-18T09:46:16Z,4757
14,911535933,911348023,STSC,,1732781,2019-08-19T14:18:23Z,4621
15,911537117,911535933,STSC,,1732781,2019-08-19T14:29:00Z,4580
16,913227496,911537117,Cossaxx,,10061784,2019-08-30T18:57:57Z,4525
17,913244386,913227496,X1\,,31634280,2019-08-30T21:16:18Z,4563
18,913246766,913244386,AnomieBOT,,7611264,2019-08-30T21:38:00Z,4580
19,913252641,913246766,Cossaxx,,10061784,2019-08-30T22:27:03Z,8401
20,914555785,913252641,RodsTR,,34996118,2019-09-08T02:59:13Z,8448
21,915514907,914555785,BrownHairedGirl,,754619,2019-09-13T18:24:33Z,8424
22,917590086,915514907,Feminist,,25530780,2019-09-24T14:47:44Z,8428
23,919237005,917590086,Feminist,,25530780,2019-10-02T15:50:57Z,8452
24,919237073,919237005,Feminist,,25530780,2019-10-02T15:51:35Z,8498
25,925375056,919237073,121.163.89.190,True,0,2019-11-09T18:31:51Z,8502
26,925439071,925375056,InternetArchiveBot,,27015025,2019-11-10T03:36:35Z,8654
