,revid,parentid,user,userid,timestamp,size,anon
0,901386535,901164928,Jftsang,164130,2019-06-11T14:48:45Z,54207,
1,901386663,901386535,Jftsang,164130,2019-06-11T14:49:53Z,54123,
2,901471537,901386663,Qilin85,36722606,2019-06-12T03:12:59Z,54117,
3,901482526,901471537,Qilin85,36722606,2019-06-12T05:19:47Z,54115,
4,902351696,901482526,Koavf,205121,2019-06-18T06:56:55Z,54106,
5,903364745,902351696,103.66.173.234,0,2019-06-25T08:21:17Z,54106,True
6,903484425,903364745,207.98.72.251,0,2019-06-26T00:06:46Z,53970,True
7,903618548,903484425,2A02:C7F:C206:E400:64A6:F533:C672:9BDB,0,2019-06-26T19:42:41Z,53970,True
8,904059307,903618548,BrownHairedGirl,754619,2019-06-29T18:20:37Z,53936,
9,904692420,904059307,Boud,4492,2019-07-03T21:24:28Z,53905,
10,904693346,904692420,Boud,4492,2019-07-03T21:33:34Z,54578,
11,904920257,904693346,Dodobird2019,36874700,2019-07-05T14:38:00Z,54685,
12,904920439,904920257,Wham2001,915833,2019-07-05T14:39:50Z,54578,
13,904921279,904920439,Dodobird2019,36874700,2019-07-05T14:48:02Z,54613,
14,904921289,904921279,ClueBot NG,13286072,2019-07-05T14:48:07Z,54578,
15,907404394,904921289,S. Neuman,337575,2019-07-22T17:23:20Z,54578,
16,909777103,907404394,69.157.127.100,0,2019-08-07T14:59:51Z,54642,True
17,909778579,909777103,69.157.127.100,0,2019-08-07T15:11:49Z,55662,True
18,910118829,909778579,115.113.208.124,0,2019-08-09T19:54:03Z,55677,True
19,910118877,910118829,Plandu,34084,2019-08-09T19:54:23Z,55662,
20,910861236,910118877,2603:3024:101C:E000:3910:18CF:2AE:A947,0,2019-08-14T23:50:40Z,55666,True
21,910861339,910861236,2603:3024:101C:E000:3910:18CF:2AE:A947,0,2019-08-14T23:51:42Z,55665,True
22,910968455,910861339,Mangokeylime,20770885,2019-08-15T18:29:59Z,55705,
23,912862897,910968455,Taekhosong,24617815,2019-08-28T10:41:53Z,55600,
24,913161229,912862897,Mariogoods,34143604,2019-08-30T08:56:13Z,55594,
25,913161300,913161229,Mariogoods,34143604,2019-08-30T08:56:57Z,55596,
26,913332043,913161300,Ltyl,37205493,2019-08-31T12:18:01Z,55605,
27,913343816,913332043,Ltyl,37205493,2019-08-31T14:09:16Z,55662,
28,913357728,913343816,AnomieBOT,7611264,2019-08-31T16:12:32Z,55679,
29,913595916,913357728,Vandergay,20466489,2019-09-02T01:32:49Z,55452,
30,913901375,913595916,CRau080,33923477,2019-09-03T22:46:12Z,55455,
31,913901404,913901375,CRau080,33923477,2019-09-03T22:46:31Z,55456,
32,913902067,913901404,CRau080,33923477,2019-09-03T22:52:32Z,55465,
33,913902462,913902067,CRau080,33923477,2019-09-03T22:55:54Z,55469,
34,913902620,913902462,CRau080,33923477,2019-09-03T22:57:13Z,55475,
35,913902899,913902620,CRau080,33923477,2019-09-03T22:59:57Z,55473,
36,913903733,913902899,CRau080,33923477,2019-09-03T23:07:13Z,55542,
37,913904045,913903733,CRau080,33923477,2019-09-03T23:10:14Z,55557,
38,913904303,913904045,CRau080,33923477,2019-09-03T23:12:49Z,55568,
39,913904546,913904303,CRau080,33923477,2019-09-03T23:14:58Z,55581,
40,913904744,913904546,CRau080,33923477,2019-09-03T23:16:45Z,55588,
41,913904807,913904744,CRau080,33923477,2019-09-03T23:17:14Z,55592,
42,913904959,913904807,CRau080,33923477,2019-09-03T23:18:56Z,55591,
43,913905128,913904959,CRau080,33923477,2019-09-03T23:20:33Z,55588,
44,913905175,913905128,CRau080,33923477,2019-09-03T23:20:58Z,55587,
45,914280986,913905175,Tobby72,9107368,2019-09-06T10:25:56Z,55887,
46,914970428,914280986,Crispy Wafers,35535276,2019-09-10T12:51:02Z,55890,
47,915161426,914970428,DOR (HK),6036204,2019-09-11T15:49:55Z,55887,
48,916388846,915161426,Simonm223,6654301,2019-09-18T17:23:12Z,55900,
49,916470221,916388846,Citobun,19212093,2019-09-19T02:24:13Z,55897,
50,919904911,916470221,Sirlanz,4714987,2019-10-06T15:11:23Z,55900,
51,919911371,919904911,Tobby72,9107368,2019-10-06T16:00:49Z,56102,
52,920014858,919911371,嘉傑,34373489,2019-10-07T06:00:28Z,56235,
53,920933062,920014858,2600:1015:B05E:FDB5:DC9D:2699:E626:BB8B,0,2019-10-12T20:14:04Z,56234,True
54,921609631,920933062,Rich Farmbrough,82835,2019-10-16T19:12:47Z,56223,
55,921834867,921609631,Bonthefox3,35810938,2019-10-18T06:20:42Z,56234,
