,revid,parentid,user,userid,timestamp,size,anon
0,902570874,843380028,JesseRafe,641784,2019-06-19T18:42:04Z,8101,
1,902571007,902570874,JesseRafe,641784,2019-06-19T18:43:13Z,6982,
2,902571091,902571007,JesseRafe,641784,2019-06-19T18:44:03Z,6343,
3,905542738,902571091,65.60.163.223,0,2019-07-09T20:02:03Z,7202,True
4,905546041,905542738,65.60.163.223,0,2019-07-09T20:24:48Z,7339,True
5,905591146,905546041,61.244.38.142,0,2019-07-10T02:28:29Z,7338,True
6,905601460,905591146,Inoneword,5924580,2019-07-10T04:02:42Z,8492,
7,905601845,905601460,Inoneword,5924580,2019-07-10T04:06:27Z,8492,
8,905602324,905601845,Inoneword,5924580,2019-07-10T04:11:33Z,8543,
9,905602409,905602324,Inoneword,5924580,2019-07-10T04:12:29Z,8628,
10,905602566,905602409,65.60.163.223,0,2019-07-10T04:14:01Z,9487,True
11,905603146,905602566,Inoneword,5924580,2019-07-10T04:19:24Z,9517,
12,905603202,905603146,65.60.163.223,0,2019-07-10T04:19:51Z,9521,True
13,905605405,905603202,65.60.163.223,0,2019-07-10T04:40:29Z,10489,True
14,905606869,905605405,65.60.163.223,0,2019-07-10T04:53:42Z,10520,True
15,905609609,905606869,65.60.163.223,0,2019-07-10T05:20:12Z,10869,True
16,905611586,905609609,65.60.163.223,0,2019-07-10T05:40:24Z,10877,True
17,905615156,905611586,65.60.163.223,0,2019-07-10T06:19:56Z,11383,True
18,905620992,905615156,65.60.163.223,0,2019-07-10T07:26:28Z,11328,True
19,905621204,905620992,65.60.163.223,0,2019-07-10T07:29:34Z,11457,True
20,905623766,905621204,65.60.163.223,0,2019-07-10T08:03:11Z,11533,True
21,905653804,905623766,Inoneword,5924580,2019-07-10T13:32:09Z,11759,
22,905654460,905653804,Wpcpey,3875779,2019-07-10T13:38:25Z,11542,
23,905654785,905654460,Wpcpey,3875779,2019-07-10T13:41:37Z,11981,
24,905655043,905654785,Wpcpey,3875779,2019-07-10T13:44:24Z,12172,
25,905656356,905655043,Inoneword,5924580,2019-07-10T13:56:59Z,12285,
26,905657070,905656356,Inoneword,5924580,2019-07-10T14:03:37Z,12286,
27,905657257,905657070,Inoneword,5924580,2019-07-10T14:05:17Z,12256,
28,905676066,905657257,65.60.163.223,0,2019-07-10T16:49:54Z,12654,True
29,905676348,905676066,65.60.163.223,0,2019-07-10T16:52:31Z,12693,True
30,905676939,905676348,65.60.163.223,0,2019-07-10T16:57:51Z,12688,True
31,905689728,905676939,65.60.163.223,0,2019-07-10T18:44:32Z,13461,True
32,905692408,905689728,65.60.163.223,0,2019-07-10T19:07:22Z,14076,True
33,905693502,905692408,65.60.163.223,0,2019-07-10T19:16:51Z,14344,True
34,905696411,905693502,65.60.163.223,0,2019-07-10T19:42:39Z,14256,True
35,905718227,905696411,65.60.163.223,0,2019-07-10T22:53:40Z,14646,True
36,905734126,905718227,Citobun,19212093,2019-07-11T01:50:42Z,14256,
37,905734234,905734126,Citobun,19212093,2019-07-11T01:51:53Z,14256,
38,905753438,905734234,Tai Po Joe,36736629,2019-07-11T05:54:34Z,13984,
39,905753542,905753438,Tai Po Joe,36736629,2019-07-11T05:55:59Z,13209,
40,905761977,905753542,Suzukaze-c,15040441,2019-07-11T07:48:05Z,13291,
41,905777950,905761977,Ohconfucius,736651,2019-07-11T10:40:18Z,13377,
42,905779723,905777950,AnomieBOT,7611264,2019-07-11T11:01:16Z,13422,
43,905826305,905779723,65.60.163.223,0,2019-07-11T18:01:06Z,13638,True
44,905826595,905826305,65.60.163.223,0,2019-07-11T18:03:23Z,13670,True
45,905831021,905826595,65.60.163.223,0,2019-07-11T18:37:19Z,14338,True
46,905832642,905831021,65.60.163.223,0,2019-07-11T18:50:53Z,14355,True
47,905838657,905832642,65.60.163.223,0,2019-07-11T19:41:42Z,14453,True
48,905842106,905838657,65.60.163.223,0,2019-07-11T20:10:10Z,14732,True
49,905846474,905842106,65.60.163.223,0,2019-07-11T20:47:18Z,14778,True
50,905865042,905846474,65.60.163.223,0,2019-07-11T23:46:36Z,15252,True
51,905866842,905865042,65.60.163.223,0,2019-07-12T00:05:29Z,15603,True
52,905888023,905866842,65.60.163.223,0,2019-07-12T03:58:41Z,16349,True
53,905896001,905888023,65.60.163.223,0,2019-07-12T05:48:33Z,16349,True
54,905897128,905896001,65.60.163.223,0,2019-07-12T06:05:33Z,16982,True
55,906039732,905897128,Natg 19,3492060,2019-07-13T06:07:40Z,17000,
56,906040680,906039732,65.60.163.223,0,2019-07-13T06:17:33Z,17301,True
57,906068788,906040680,Corachow,36414508,2019-07-13T11:53:38Z,17295,
58,906077619,906068788,OceanHok,21559323,2019-07-13T13:25:45Z,17722,
59,906099867,906077619,65.60.163.223,0,2019-07-13T16:37:22Z,17722,True
60,906181482,906099867,65.60.163.223,0,2019-07-14T05:30:48Z,18004,True
61,906222406,906181482,Allenkong11,27024708,2019-07-14T12:52:54Z,18051,
62,906566084,906222406,65.60.163.223,0,2019-07-16T17:55:07Z,18051,True
63,906770026,906566084,Aethernolt,33664154,2019-07-18T03:38:10Z,18059,
64,906788640,906770026,65.60.163.223,0,2019-07-18T07:44:05Z,18388,True
65,906789442,906788640,65.60.163.223,0,2019-07-18T07:54:09Z,20095,True
66,906789564,906789442,65.60.163.223,0,2019-07-18T07:55:54Z,20128,True
67,906824269,906789564,Vatnið,16638669,2019-07-18T14:02:19Z,20129,
68,906911108,906824269,Infospazm,27106060,2019-07-19T04:14:27Z,20131,
69,907080696,906911108,202.40.137.197,0,2019-07-20T10:35:39Z,20174,True
70,907669070,907080696,Underwaterbuffalo,6833051,2019-07-24T13:16:51Z,20202,
71,907799797,907669070,71.235.184.247,0,2019-07-25T11:02:57Z,20201,True
72,907866318,907799797,65.60.163.223,0,2019-07-25T20:08:24Z,20575,True
73,907867240,907866318,65.60.163.223,0,2019-07-25T20:15:58Z,20937,True
74,908078358,907867240,80.111.42.123,0,2019-07-27T08:19:40Z,20926,True
75,909576276,908078358,Dong2019,37080635,2019-08-06T08:17:48Z,21111,
76,909576410,909576276,Roxy the dog,6200168,2019-08-06T08:18:43Z,20926,
77,909578632,909576410,Dong2019,37080635,2019-08-06T08:39:04Z,21220,
78,909578957,909578632,Roxy the dog,6200168,2019-08-06T08:41:50Z,20926,
79,909582843,909578957,Dong2019,37080635,2019-08-06T09:16:02Z,21220,
80,909584666,909582843,Roxy the dog,6200168,2019-08-06T09:38:03Z,20926,
81,910270113,909584666,129.97.124.36,0,2019-08-10T21:41:13Z,20916,True
82,910823254,910270113,61.79.134.182,0,2019-08-14T18:08:19Z,20975,True
83,912024487,910823254,Mount2010,25679202,2019-08-22T19:05:27Z,20983,
84,912024669,912024487,Mount2010,25679202,2019-08-22T19:06:52Z,21065,
85,912252032,912024669,202.40.137.197,0,2019-08-24T08:17:54Z,21152,True
86,912262706,912252032,AnomieBOT,7611264,2019-08-24T10:18:08Z,21169,
87,912269410,912262706,80.111.165.52,0,2019-08-24T11:24:20Z,18970,True
88,912269569,912269410,80.111.165.52,0,2019-08-24T11:25:43Z,21130,True
89,912465255,912269569,Mount2010,25679202,2019-08-25T19:53:01Z,21130,
90,912836509,912465255,Tenbeens,20590254,2019-08-28T05:32:16Z,21130,
91,912838183,912836509,Citobun,19212093,2019-08-28T05:48:29Z,21026,
92,912838220,912838183,Citobun,19212093,2019-08-28T05:48:50Z,21026,
93,912838275,912838220,Citobun,19212093,2019-08-28T05:49:22Z,21080,
94,912838417,912838275,Citobun,19212093,2019-08-28T05:50:55Z,21282,
95,913131665,912838417,Newslinger,33467233,2019-08-30T02:59:38Z,21332,
96,913699345,913131665,173.63.184.71,0,2019-09-02T17:48:23Z,21344,True
97,914389144,913699345,Vagavince,37296801,2019-09-07T05:26:17Z,21897,
98,914391831,914389144,Vagavince,37296801,2019-09-07T06:05:07Z,22925,
99,914392657,914391831,Vagavince,37296801,2019-09-07T06:17:50Z,23912,
100,914393284,914392657,Vagavince,37296801,2019-09-07T06:26:20Z,24206,
101,914649781,914393284,65.60.163.223,0,2019-09-08T16:18:41Z,24186,True
102,914652190,914649781,65.60.163.223,0,2019-09-08T16:37:43Z,24231,True
103,914811806,914652190,Ohconfucius,736651,2019-09-09T14:17:35Z,24253,
104,914811860,914811806,Ohconfucius,736651,2019-09-09T14:18:02Z,24241,
105,914815175,914811860,AnomieBOT,7611264,2019-09-09T14:39:43Z,24281,
106,914950137,914815175,Syced,223682,2019-09-10T09:35:04Z,24404,
107,915998084,914950137,Mk6aizsc,16808491,2019-09-16T12:17:17Z,24682,
108,915998679,915998084,Mk6aizsc,16808491,2019-09-16T12:22:38Z,25580,
109,916114702,915998679,130.216.44.234,0,2019-09-17T03:03:00Z,25958,True
110,916153634,916114702,Rodw,125972,2019-09-17T09:47:20Z,25992,
111,916556988,916153634,68.195.237.122,0,2019-09-19T13:43:58Z,26311,True
112,916583574,916556988,68.195.237.122,0,2019-09-19T16:20:40Z,26314,True
113,916584125,916583574,68.195.237.122,0,2019-09-19T16:24:07Z,26457,True
114,916584335,916584125,68.195.237.122,0,2019-09-19T16:25:20Z,26323,True
115,916584492,916584335,68.195.237.122,0,2019-09-19T16:26:09Z,26334,True
116,916752579,916584492,68.195.237.122,0,2019-09-20T13:19:21Z,26672,True
117,916753377,916752579,68.195.237.122,0,2019-09-20T13:25:07Z,26779,True
118,916754756,916753377,68.195.237.122,0,2019-09-20T13:35:03Z,26827,True
119,916754816,916754756,68.195.237.122,0,2019-09-20T13:35:28Z,26827,True
120,916757069,916754816,68.195.237.122,0,2019-09-20T13:50:32Z,26988,True
121,916800349,916757069,68.195.237.122,0,2019-09-20T18:12:07Z,26989,True
122,916801480,916800349,JJMC89 bot III,35936988,2019-09-20T18:18:49Z,26967,
123,917101334,916801480,61.239.187.73,0,2019-09-22T08:12:31Z,27189,True
124,917101572,917101334,61.239.187.73,0,2019-09-22T08:14:05Z,26969,True
125,917101624,917101572,61.239.187.73,0,2019-09-22T08:14:25Z,27190,True
126,917150651,917101624,61.239.187.73,0,2019-09-22T13:45:59Z,26970,True
127,917151280,917150651,61.239.187.73,0,2019-09-22T13:50:00Z,27114,True
128,917151628,917151280,61.239.187.73,0,2019-09-22T13:52:01Z,27119,True
129,918406026,917151628,BeenAroundAWhile,1108424,2019-09-28T14:11:38Z,27119,
130,918444854,918406026,BeenAroundAWhile,1108424,2019-09-28T18:05:39Z,27202,
131,918444943,918444854,BeenAroundAWhile,1108424,2019-09-28T18:06:11Z,27172,
132,920054087,918444943,Pi bot,30394555,2019-10-07T12:09:58Z,27174,
133,920246562,920054087,Feminist,25530780,2019-10-08T14:39:27Z,27045,
134,920459065,920246562,TextClick,29214748,2019-10-09T22:49:08Z,27045,
135,921476446,920459065,Qwert7886,16212509,2019-10-15T23:22:03Z,27043,
136,921840905,921476446,Bonthefox3,35810938,2019-10-18T07:34:15Z,27308,
