,revid,parentid,user,userid,timestamp,size,anon
0,901409715,628750479,Wefk423,30693367,2019-06-11T17:43:38Z,848,
1,901409994,901409715,Wefk423,30693367,2019-06-11T17:45:15Z,865,
2,901424839,901409994,Underbar dk,677153,2019-06-11T19:32:45Z,869,
3,909295202,901424839,Feminist,25530780,2019-08-04T13:49:46Z,846,
4,909314613,909295202,Wefk423,30693367,2019-08-04T16:33:31Z,904,
5,911416056,909314613,Wefk423,30693367,2019-08-18T18:10:55Z,1102,
6,911694429,911416056,JGHowes,3048829,2019-08-20T14:41:54Z,1103,
7,913485955,911694429,Wefk423,30693367,2019-09-01T10:47:51Z,1173,
8,913486008,913485955,Wefk423,30693367,2019-09-01T10:48:23Z,1194,
9,914493052,913486008,Wefk423,30693367,2019-09-07T19:45:16Z,1084,
10,919147878,914493052,64.140.204.118,0,2019-10-02T02:46:01Z,1130,True
11,919689012,919147878,47.145.194.80,0,2019-10-05T04:48:09Z,1191,True
12,919689015,919689012,ClueBot NG,13286072,2019-10-05T04:48:11Z,1130,
13,921365072,919689015,Anonymouskaiser,37594451,2019-10-15T10:28:31Z,1132,
14,921365313,921365072,Shellwood,2366721,2019-10-15T10:30:42Z,1130,
15,922623220,921365313,RealFakeKim,37247652,2019-10-23T08:31:09Z,1351,
16,923237384,922623220,RMCD bot,17216044,2019-10-27T07:48:08Z,1497,
17,924157691,923237384,Feminist,25530780,2019-11-02T04:54:45Z,1544,
18,924717972,924157691,Paine Ellsworth,9092818,2019-11-05T14:41:45Z,1544,
19,924718868,924717972,RMCD bot,17216044,2019-11-05T14:48:37Z,1398,
20,926573939,924718868,A bit iffy,431183,2019-11-17T09:04:33Z,1398,
21,927709247,926573939,2001:569:7CB3:8100:F166:34AE:6723:E71A,0,2019-11-24T07:51:38Z,1425,True
22,928733884,927709247,RealFakeKim,37247652,2019-12-01T08:40:13Z,1472,
