,revid,parentid,user,anon,userid,timestamp,size
0,902121764,897580660,2601:140:8000:A739:E419:FA4E:A2D6:309F,True,0,2019-06-16T18:15:29Z,34993
1,903362566,902121764,112.204.221.61,True,0,2019-06-25T08:04:31Z,37269
2,903365762,903362566,175.176.24.226,True,0,2019-06-25T08:32:23Z,37258
3,903368224,903365762,175.176.24.226,True,0,2019-06-25T09:01:31Z,37254
4,903368770,903368224,175.176.24.226,True,0,2019-06-25T09:08:18Z,37262
5,903801240,903368770,175.176.24.37,True,0,2019-06-28T02:10:40Z,37323
6,904069388,903801240,BrownHairedGirl,,754619,2019-06-29T19:46:18Z,37277
7,904299884,904069388,112.204.250.236,True,0,2019-07-01T07:39:01Z,37277
8,904788748,904299884,Cervota,,21666075,2019-07-04T15:02:38Z,37274
9,905054623,904788748,Narky Blert,,22041646,2019-07-06T14:40:17Z,37290
10,905220241,905054623,2600:1700:1102:F80:40C9:EBA5:BA18:1A58,True,0,2019-07-07T18:23:29Z,37290
11,906349171,905220241,118.140.136.78,True,0,2019-07-15T08:07:28Z,37290
12,906349201,906349171,118.140.136.78,True,0,2019-07-15T08:07:45Z,37290
13,907263854,906349201,Mistakefinder,,9236845,2019-07-21T17:59:05Z,37294
14,907585905,907263854,Ohconfucius,,736651,2019-07-23T22:11:09Z,37290
15,908235479,907585905,82.43.75.59,True,0,2019-07-28T11:27:27Z,37290
16,909319521,908235479,82.63.72.187,True,0,2019-08-04T17:13:17Z,37294
17,909725804,909319521,203.144.88.79,True,0,2019-08-07T06:23:02Z,37290
18,910141235,909725804,50.234.31.26,True,0,2019-08-09T23:09:38Z,37293
19,912139919,910141235,191.101.252.90,True,0,2019-08-23T14:26:44Z,37356
20,912141091,912139919,191.101.252.90,True,0,2019-08-23T14:36:38Z,37506
21,912142979,912141091,191.101.252.90,True,0,2019-08-23T14:52:30Z,37543
22,912143066,912142979,191.101.252.90,True,0,2019-08-23T14:53:15Z,37544
23,912195670,912143066,2019OutlaweD,,37132700,2019-08-23T21:21:49Z,38130
24,912195760,912195670,2019OutlaweD,,37132700,2019-08-23T21:22:32Z,38136
25,912198653,912195760,2019OutlaweD,,37132700,2019-08-23T21:44:31Z,38137
26,912313659,912198653,51.6.237.17,True,0,2019-08-24T17:47:45Z,38162
27,912324508,912313659,2019OutlaweD,,37132700,2019-08-24T19:21:51Z,38190
28,912333643,912324508,2019OutlaweD,,37132700,2019-08-24T20:40:47Z,38783
29,912409784,912333643,2019OutlaweD,,37132700,2019-08-25T11:22:44Z,38759
30,912587986,912409784,Simonm223,,6654301,2019-08-26T16:30:26Z,37293
31,912666302,912587986,The Eloquent Peasant,,18054835,2019-08-27T02:41:10Z,37374
32,914301671,912666302,45.125.2.20,True,0,2019-09-06T13:39:46Z,37625
33,914303385,914301671,Simonm223,,6654301,2019-09-06T13:54:15Z,37293
34,914303963,914303385,45.125.2.20,True,0,2019-09-06T13:57:59Z,37625
35,914304181,914303963,Simonm223,,6654301,2019-09-06T13:59:26Z,37293
36,914309636,914304181,45.125.2.20,True,0,2019-09-06T14:39:52Z,37625
37,917294414,914309636,Monkbot,,20483999,2019-09-23T05:00:36Z,37586
38,919929669,917294414,203.145.94.53,True,0,2019-10-06T18:16:55Z,37593
39,919929795,919929669,S0091,,35056011,2019-10-06T18:17:55Z,37586
40,921015349,919929795,60.241.31.232,True,0,2019-10-13T09:49:38Z,37449
41,923392918,921015349,Opera fera,,14971092,2019-10-28T08:05:57Z,37439
42,924015770,923392918,Flyguy1020,,26200465,2019-11-01T07:21:41Z,37483
43,925440073,924015770,Mariogoods,,34143604,2019-11-10T03:46:08Z,37535
44,925440151,925440073,Mariogoods,,34143604,2019-11-10T03:46:52Z,37570
45,925452266,925440151,AnomieBOT,,7611264,2019-11-10T05:44:13Z,37589
46,926566434,925452266,142.160.131.220,True,0,2019-11-17T07:21:47Z,37587
47,926931694,926566434,14.202.177.65,True,0,2019-11-19T09:21:31Z,39017
48,926932106,926931694,14.202.177.65,True,0,2019-11-19T09:27:12Z,39015
49,926932453,926932106,14.202.177.65,True,0,2019-11-19T09:31:24Z,39016
50,926932587,926932453,HaeB,,35184,2019-11-19T09:32:51Z,37587
51,926932809,926932587,HaeB,,35184,2019-11-19T09:35:46Z,39016
52,926933435,926932809,HaeB,,35184,2019-11-19T09:42:36Z,37587
53,926935669,926933435,14.202.177.65,True,0,2019-11-19T10:05:55Z,38764
54,926935781,926935669,14.202.177.65,True,0,2019-11-19T10:07:14Z,38767
55,926935940,926935781,HaeB,,35184,2019-11-19T10:09:05Z,38975
56,927362710,926935940,Nikgervae,,31940751,2019-11-22T00:56:57Z,39062
57,927362752,927362710,Nikgervae,,31940751,2019-11-22T00:57:21Z,39064
58,928672178,927362752,Gog the Mild,,21177078,2019-11-30T22:19:18Z,45697
