,num_editors,num_anon_editors,num_reg_editors,num_edits,average_edit_size,titles,median_edit_size
0,991,399,592,6688,234177.4837021531,2019–20 Hong Kong protests.csv,243939.5
1,1247,150,1097,5029,156422.6595744681,Hong Kong.csv,151187.0
2,398,154,244,1110,43250.27747747748,Carrie Lam.csv,36752.0
3,184,54,130,718,58803.14066852368,2019 Hong Kong extradition bill.csv,62025.5
4,134,40,94,647,40446.177743431224,2019 Hong Kong local elections.csv,39423.0
5,121,34,87,529,130757.0775047259,Reactions to the 2019–20 Hong Kong protests.csv,118184.0
6,98,19,79,470,44091.21702127659,2019 Yuen Long attack.csv,48198.0
7,88,17,71,452,127506.80309734514,Tactics and methods surrounding the 2019–20 Hong Kong protests.csv,128855.5
8,235,90,145,426,23882.07276995305,"One country, two systems.csv",22927.5
9,118,33,85,380,58417.36842105263,Umbrella Movement.csv,69622.5
10,147,70,77,220,13015.968181818182,Government of Hong Kong.csv,12838.5
11,7,0,7,31,26083.41935483871,Murder of Poon Hiu-wing.csv,26154.0
12,107,40,67,287,12845.142857142857,Demosistō.csv,13982.0
13,103,28,75,175,28267.325714285715,Hong Kong 1 July marches.csv,29508.0
14,37,8,29,57,4313.80701754386,Civil Human Rights Front.csv,4197.0
15,70,28,42,261,31238.0,Hong Kong Human Rights and Democracy Act.csv,31171.0
16,29,7,22,99,19998.20202020202,Chinese University of Hong Kong conflict.csv,18510.0
17,27,6,21,283,23760.572438162544,Death of Chow Tsz-lok.csv,26545.0
18,43,12,31,146,18757.924657534248,Siege of the Hong Kong Polytechnic University.csv,17178.5
19,151,49,102,378,41347.089947089946,Hong Kong–Mainland China conflict.csv,49950.5
20,13,1,12,103,36274.57281553398,Storming of the Legislative Council Complex.csv,32665.0
21,39,5,34,158,15538.208860759494,Hong Kong Way.csv,17751.5
22,33,8,25,155,17815.81935483871,2019 Prince Edward station attack.csv,19246.0
23,16,0,16,107,12776.457943925234,Death of Chan Yin-lam.csv,12762.0
24,15,3,12,24,1140.2916666666667,List of protests in Hong Kong.csv,1131.0
25,58,16,42,286,70672.72377622378,Police misconduct allegations during the 2019–20 Hong Kong protests.csv,58267.0
26,10,0,10,68,56914.117647058825,Art of the 2019–20 Hong Kong protests.csv,56902.0
