,Pageviews,Revisions,Corr.
0,Government of Hong Kong,Murder of Poon Hiu-wing,0.9186896218916688
1,Hong Kong 1 July marches,Siege of the Hong Kong Polytechnic University,0.8823377948281149
2,Hong Kong 1 July marches,12 June 2019 Hong Kong protest,0.7904977608100185
3,Umbrella Movement,Art of the 2019–20 Hong Kong protests,0.7808708100143121
4,"One country, two systems",Murder of Poon Hiu-wing,0.7504330319635639
5,Civil Human Rights Front,Murder of Poon Hiu-wing,0.74171034432421
6,Hong Kong 1 July marches,Murder of Poon Hiu-wing,0.7114611279558415
7,Umbrella Movement,Murder of Poon Hiu-wing,0.6924123134376555
8,Civil Human Rights Front,Siege of the Hong Kong Polytechnic University,0.6746060689761544
9,Civil Human Rights Front,HKmap.live,0.6699004644243812
