,Article 1,Article 2,Corr.
0,Murder of Poon Hiu-wing,List of December 2019 Hong Kong protests,0.9849373957688133
1,List of December 2019 Hong Kong protests,Murder of Poon Hiu-wing,0.9849373957688132
2,12 June 2019 Hong Kong protest,Death of Chow Tsz-lok,0.9686691847253344
3,Death of Chow Tsz-lok,12 June 2019 Hong Kong protest,0.9686691847253343
4,Hong Kong,"One country, two systems",0.9425383894455408
5,"One country, two systems",Hong Kong,0.9425383894455407
6,Siege of the Hong Kong Polytechnic University,Chinese University of Hong Kong conflict,0.8961239609269046
7,Chinese University of Hong Kong conflict,Siege of the Hong Kong Polytechnic University,0.8961239609269046
8,Police misconduct allegations during the 2019–20 Hong Kong protests,Reactions to the 2019–20 Hong Kong protests,0.8776617949407846
9,Reactions to the 2019–20 Hong Kong protests,Police misconduct allegations during the 2019–20 Hong Kong protests,0.8776617949407846
