,Date,Pageviews
0,2019-06-19,1243
1,2019-06-20,1243
2,2019-06-21,1243
3,2019-06-22,1243
4,2019-06-23,1243
5,2019-06-24,1243
6,2019-06-25,1243
7,2019-06-26,1243
8,2019-06-27,1243
9,2019-06-28,1243
10,2019-06-29,1243
11,2019-06-30,1243
12,2019-07-01,1243
13,2019-07-02,1243
14,2019-07-03,1243
15,2019-07-04,1243
16,2019-07-05,1243
17,2019-07-06,1243
18,2019-07-07,1243
19,2019-07-08,1243
20,2019-07-09,1243
21,2019-07-10,1243
22,2019-07-11,1243
23,2019-07-12,1243
24,2019-07-13,1243
25,2019-07-14,1243
26,2019-07-15,1243
27,2019-07-16,1243
28,2019-07-17,1243
29,2019-07-18,1243
30,2019-07-19,1243
31,2019-07-20,1243
32,2019-07-21,1243
33,2019-07-22,1243
34,2019-07-23,1243
35,2019-07-24,1243
36,2019-07-25,1243
37,2019-07-26,1243
38,2019-07-27,1243
39,2019-07-28,1243
40,2019-07-29,1243
41,2019-07-30,1243
42,2019-07-31,1243
43,2019-08-01,1243
44,2019-08-02,1243
45,2019-08-03,1243
46,2019-08-04,1243
47,2019-08-05,1243
48,2019-08-06,1243
49,2019-08-07,1243
50,2019-08-08,1243
51,2019-08-09,1243
52,2019-08-10,1243
53,2019-08-11,1243
54,2019-08-12,1243
55,2019-08-13,1243
56,2019-08-14,1243
57,2019-08-15,1243
58,2019-08-16,1243
59,2019-08-17,1243
60,2019-08-18,1243
61,2019-08-19,1243
62,2019-08-20,1243
63,2019-08-21,1243
64,2019-08-22,1243
65,2019-08-23,1243
66,2019-08-24,1243
67,2019-08-25,1243
68,2019-08-26,1243
69,2019-08-27,1243
70,2019-08-28,1243
71,2019-08-29,1243
72,2019-08-30,1243
73,2019-08-31,1243
74,2019-09-01,1243
75,2019-09-02,1243
76,2019-09-03,1243
77,2019-09-04,1243
78,2019-09-05,1243
79,2019-09-06,1243
80,2019-09-07,1243
81,2019-09-08,1243
82,2019-09-09,1243
83,2019-09-10,1243
84,2019-09-11,1243
85,2019-09-12,1243
86,2019-09-13,1243
87,2019-09-14,1243
88,2019-09-15,1243
89,2019-09-16,1243
90,2019-09-17,1243
91,2019-09-18,1243
92,2019-09-19,1243
93,2019-09-20,1243
94,2019-09-21,1243
95,2019-09-22,1243
96,2019-09-23,1243
97,2019-09-24,1243
98,2019-09-25,1243
99,2019-09-26,1243
100,2019-09-27,1243
101,2019-09-28,1243
102,2019-09-29,1243
103,2019-09-30,1243
104,2019-10-01,1243
105,2019-10-02,1243
106,2019-10-03,1243
107,2019-10-04,1243
108,2019-10-05,1243
109,2019-10-06,1243
110,2019-10-07,1243
111,2019-10-08,1243
112,2019-10-09,1243
113,2019-10-10,1243
114,2019-10-11,1243
115,2019-10-12,1243
116,2019-10-13,1243
117,2019-10-14,1243
118,2019-10-15,1243
119,2019-10-16,1243
120,2019-10-17,1243
121,2019-10-18,1243
122,2019-10-19,1243
123,2019-10-20,1243
124,2019-10-21,1243
125,2019-10-22,1243
126,2019-10-23,1243
127,2019-10-24,1243
128,2019-10-25,1243
129,2019-10-26,1243
130,2019-10-27,1243
131,2019-10-28,1243
132,2019-10-29,1243
133,2019-10-30,1243
134,2019-10-31,1243
135,2019-11-01,1243
136,2019-11-02,1243
137,2019-11-03,1243
138,2019-11-04,1243
139,2019-11-05,1243
140,2019-11-06,1243
141,2019-11-07,1243
142,2019-11-08,1243
143,2019-11-09,1243
144,2019-11-10,1243
145,2019-11-11,1243
146,2019-11-12,1243
147,2019-11-13,1243
148,2019-11-14,1243
149,2019-11-15,1243
150,2019-11-16,1243
151,2019-11-17,1243
152,2019-11-18,1243
153,2019-11-19,1243
154,2019-11-20,1243
155,2019-11-21,1243
156,2019-11-22,1243
157,2019-11-23,1243
158,2019-11-24,1243
159,2019-11-25,1243
160,2019-11-26,1243
161,2019-11-27,1243
162,2019-11-28,1243
163,2019-11-29,1243
164,2019-11-30,1243
165,2019-12-01,1243
166,2019-12-02,1243
167,2019-12-03,1243
168,2019-12-04,1243
169,2019-12-05,1243
170,2019-12-06,1243
171,2019-12-07,1243
172,2019-12-08,1243
173,2019-12-09,1243
174,2019-12-10,1243
