,Date,Pageviews
0,2018-12-13,28
1,2018-12-14,28
2,2018-12-15,28
3,2018-12-16,28
4,2018-12-17,28
5,2018-12-18,28
6,2018-12-19,28
7,2018-12-20,28
8,2018-12-21,28
9,2018-12-22,28
10,2018-12-23,28
11,2018-12-24,28
12,2018-12-25,28
13,2018-12-26,28
14,2018-12-27,28
15,2018-12-28,28
16,2018-12-29,28
17,2018-12-30,28
18,2018-12-31,28
19,2019-01-01,28
20,2019-01-02,28
21,2019-01-03,28
22,2019-01-04,28
23,2019-01-05,28
24,2019-01-06,28
25,2019-01-07,28
26,2019-01-08,28
27,2019-01-09,28
28,2019-01-10,28
29,2019-01-11,28
30,2019-01-12,28
31,2019-01-13,28
32,2019-01-14,28
33,2019-01-15,28
34,2019-01-16,28
35,2019-01-17,28
36,2019-01-18,28
37,2019-01-19,28
38,2019-01-20,28
39,2019-01-21,28
40,2019-01-22,28
41,2019-01-23,28
42,2019-01-24,28
43,2019-01-25,28
44,2019-01-26,28
45,2019-01-27,28
46,2019-01-28,28
47,2019-01-29,28
48,2019-01-30,28
49,2019-01-31,28
50,2019-02-01,28
51,2019-02-02,28
52,2019-02-03,28
53,2019-02-04,28
54,2019-02-05,28
55,2019-02-06,28
56,2019-02-07,28
57,2019-02-08,28
58,2019-02-09,28
59,2019-02-10,28
60,2019-02-11,28
61,2019-02-12,28
62,2019-02-13,28
63,2019-02-14,28
64,2019-02-15,28
65,2019-02-16,28
66,2019-02-17,28
67,2019-02-18,28
68,2019-02-19,28
69,2019-02-20,28
70,2019-02-21,28
71,2019-02-22,28
72,2019-02-23,28
73,2019-02-24,28
74,2019-02-25,28
75,2019-02-26,28
76,2019-02-27,28
77,2019-02-28,28
78,2019-03-01,28
79,2019-03-02,28
80,2019-03-03,28
81,2019-03-04,28
82,2019-03-05,28
83,2019-03-06,28
84,2019-03-07,28
85,2019-03-08,28
86,2019-03-09,28
87,2019-03-10,28
88,2019-03-11,28
89,2019-03-12,28
90,2019-03-13,28
91,2019-03-14,28
92,2019-03-15,28
93,2019-03-16,28
94,2019-03-17,28
95,2019-03-18,28
96,2019-03-19,28
97,2019-03-20,28
98,2019-03-21,28
99,2019-03-22,28
100,2019-03-23,28
101,2019-03-24,28
102,2019-03-25,28
103,2019-03-26,28
104,2019-03-27,28
105,2019-03-28,28
106,2019-03-29,28
107,2019-03-30,28
108,2019-03-31,28
109,2019-04-01,28
110,2019-04-02,28
111,2019-04-03,28
112,2019-04-04,28
113,2019-04-05,28
114,2019-04-06,28
115,2019-04-07,28
116,2019-04-08,28
117,2019-04-09,28
118,2019-04-10,28
119,2019-04-11,28
120,2019-04-12,28
121,2019-04-13,28
122,2019-04-14,28
123,2019-04-15,28
124,2019-04-16,28
125,2019-04-17,28
126,2019-04-18,28
127,2019-04-19,28
128,2019-04-20,28
129,2019-04-21,28
130,2019-04-22,28
131,2019-04-23,28
132,2019-04-24,28
133,2019-04-25,28
134,2019-04-26,28
135,2019-04-27,28
136,2019-04-28,28
137,2019-04-29,28
138,2019-04-30,28
139,2019-05-01,28
140,2019-05-02,28
141,2019-05-03,28
142,2019-05-04,28
143,2019-05-05,28
144,2019-05-06,28
145,2019-05-07,28
146,2019-05-08,28
147,2019-05-09,28
148,2019-05-10,28
149,2019-05-11,28
150,2019-05-12,28
151,2019-05-13,28
152,2019-05-14,28
153,2019-05-15,28
154,2019-05-16,28
155,2019-05-17,28
156,2019-05-18,28
157,2019-05-19,28
158,2019-05-20,28
159,2019-05-21,28
160,2019-05-22,28
161,2019-05-23,28
162,2019-05-24,28
163,2019-05-25,28
164,2019-05-26,28
165,2019-05-27,28
166,2019-05-28,28
167,2019-05-29,28
168,2019-05-30,28
169,2019-05-31,28
170,2019-06-01,28
171,2019-06-02,28
172,2019-06-03,28
173,2019-06-04,28
174,2019-06-05,28
175,2019-06-06,28
176,2019-06-07,28
177,2019-06-08,28
178,2019-06-09,28
179,2019-06-10,28
180,2019-06-11,28
181,2019-06-12,28
182,2019-06-13,28
