,Date,Pageviews
0,2019-10-07,366
1,2019-10-08,366
2,2019-10-09,366
3,2019-10-10,366
4,2019-10-11,366
5,2019-10-12,366
6,2019-10-13,366
7,2019-10-14,366
8,2019-10-15,366
9,2019-10-16,366
10,2019-10-17,366
11,2019-10-18,366
12,2019-10-19,366
13,2019-10-20,366
14,2019-10-21,366
15,2019-10-22,366
16,2019-10-23,366
17,2019-10-24,366
18,2019-10-25,366
19,2019-10-26,366
20,2019-10-27,366
21,2019-10-28,366
22,2019-10-29,366
23,2019-10-30,366
24,2019-10-31,366
25,2019-11-01,366
26,2019-11-02,366
27,2019-11-03,366
28,2019-11-04,366
29,2019-11-05,366
30,2019-11-06,366
31,2019-11-07,366
32,2019-11-08,366
33,2019-11-09,366
34,2019-11-10,366
35,2019-11-11,366
36,2019-11-12,366
37,2019-11-13,366
38,2019-11-14,366
39,2019-11-15,366
40,2019-11-16,366
41,2019-11-17,366
42,2019-11-18,366
43,2019-11-19,366
44,2019-11-20,366
45,2019-11-21,366
46,2019-11-22,366
47,2019-11-23,366
48,2019-11-24,366
49,2019-11-25,366
50,2019-11-26,366
51,2019-11-27,366
52,2019-11-28,366
53,2019-11-29,366
54,2019-11-30,366
55,2019-12-01,366
56,2019-12-02,366
57,2019-12-03,366
58,2019-12-04,366
59,2019-12-05,366
60,2019-12-06,366
61,2019-12-07,366
62,2019-12-08,366
63,2019-12-09,366
64,2019-12-10,366
