,Date,Pageviews
0,2019-08-10,101
1,2019-08-11,101
2,2019-08-12,101
3,2019-08-13,101
4,2019-08-14,101
5,2019-08-15,101
6,2019-08-16,101
7,2019-08-17,101
8,2019-08-18,101
9,2019-08-19,101
10,2019-08-20,101
11,2019-08-21,101
12,2019-08-22,101
13,2019-08-23,101
14,2019-08-24,101
15,2019-08-25,101
16,2019-08-26,101
17,2019-08-27,101
18,2019-08-28,101
19,2019-08-29,101
20,2019-08-30,101
21,2019-08-31,101
22,2019-09-01,101
23,2019-09-02,101
24,2019-09-03,101
25,2019-09-04,101
26,2019-09-05,101
27,2019-09-06,101
28,2019-09-07,101
29,2019-09-08,101
30,2019-09-09,101
31,2019-09-10,101
32,2019-09-11,101
33,2019-09-12,101
34,2019-09-13,101
35,2019-09-14,101
36,2019-09-15,101
37,2019-09-16,101
38,2019-09-17,101
39,2019-09-18,101
40,2019-09-19,101
41,2019-09-20,101
42,2019-09-21,101
43,2019-09-22,101
44,2019-09-23,101
45,2019-09-24,101
46,2019-09-25,101
47,2019-09-26,101
48,2019-09-27,101
49,2019-09-28,101
50,2019-09-29,101
51,2019-09-30,101
52,2019-10-01,101
53,2019-10-02,101
54,2019-10-03,101
55,2019-10-04,101
56,2019-10-05,101
57,2019-10-06,101
58,2019-10-07,101
59,2019-10-08,101
60,2019-10-09,101
61,2019-10-10,101
62,2019-10-11,101
63,2019-10-12,101
64,2019-10-13,101
65,2019-10-14,101
66,2019-10-15,101
67,2019-10-16,101
68,2019-10-17,101
69,2019-10-18,101
70,2019-10-19,101
71,2019-10-20,101
72,2019-10-21,101
73,2019-10-22,101
74,2019-10-23,101
75,2019-10-24,101
76,2019-10-25,101
77,2019-10-26,101
78,2019-10-27,101
79,2019-10-28,101
80,2019-10-29,101
81,2019-10-30,101
82,2019-10-31,101
83,2019-11-01,101
84,2019-11-02,101
85,2019-11-03,101
86,2019-11-04,101
87,2019-11-05,101
88,2019-11-06,101
89,2019-11-07,101
90,2019-11-08,101
91,2019-11-09,101
92,2019-11-10,101
93,2019-11-11,101
94,2019-11-12,101
95,2019-11-13,101
96,2019-11-14,101
97,2019-11-15,101
98,2019-11-16,101
99,2019-11-17,101
100,2019-11-18,101
101,2019-11-19,101
102,2019-11-20,101
103,2019-11-21,101
104,2019-11-22,101
105,2019-11-23,101
106,2019-11-24,101
107,2019-11-25,101
108,2019-11-26,101
109,2019-11-27,101
110,2019-11-28,101
111,2019-11-29,101
112,2019-11-30,101
113,2019-12-01,101
114,2019-12-02,101
115,2019-12-03,101
116,2019-12-04,101
117,2019-12-05,101
118,2019-12-06,101
119,2019-12-07,101
120,2019-12-08,101
121,2019-12-09,101
122,2019-12-10,101
