,Date,Pageviews
0,2015-07-02,35
1,2015-07-03,35
2,2015-07-04,35
3,2015-07-05,35
4,2015-07-06,35
5,2015-07-07,35
6,2015-07-08,35
7,2015-07-09,35
8,2015-07-10,35
9,2015-07-11,35
10,2015-07-12,35
11,2015-07-13,35
12,2015-07-14,35
13,2015-07-15,35
14,2015-07-16,35
15,2015-07-17,35
16,2015-07-18,35
17,2015-07-19,35
18,2015-07-20,35
19,2015-07-21,35
20,2015-07-22,35
21,2015-07-23,35
22,2015-07-24,35
23,2015-07-25,35
24,2015-07-26,35
25,2015-07-27,35
26,2015-07-28,35
27,2015-07-29,35
28,2015-07-30,35
29,2015-07-31,35
30,2015-08-01,35
31,2015-08-02,35
32,2015-08-03,35
33,2015-08-04,35
34,2015-08-05,35
35,2015-08-06,35
36,2015-08-07,35
37,2015-08-08,35
38,2015-08-09,35
39,2015-08-10,35
40,2015-08-11,35
41,2015-08-12,35
42,2015-08-13,35
43,2015-08-14,35
44,2015-08-15,35
45,2015-08-16,35
46,2015-08-17,35
47,2015-08-18,35
48,2015-08-19,35
49,2015-08-20,35
50,2015-08-21,35
51,2015-08-22,35
52,2015-08-23,35
53,2015-08-24,35
54,2015-08-25,35
55,2015-08-26,35
56,2015-08-27,35
57,2015-08-28,35
58,2015-08-29,35
59,2015-08-30,35
60,2015-08-31,35
61,2015-09-01,35
62,2015-09-02,35
63,2015-09-03,35
64,2015-09-04,35
65,2015-09-05,35
66,2015-09-06,35
67,2015-09-07,35
68,2015-09-08,35
69,2015-09-09,35
70,2015-09-10,35
71,2015-09-11,35
72,2015-09-12,35
73,2015-09-13,35
74,2015-09-14,35
75,2015-09-15,35
76,2015-09-16,35
77,2015-09-17,35
78,2015-09-18,35
79,2015-09-19,35
80,2015-09-20,35
81,2015-09-21,35
82,2015-09-22,35
83,2015-09-23,35
84,2015-09-24,35
85,2015-09-25,35
86,2015-09-26,35
87,2015-09-27,35
88,2015-09-28,35
89,2015-09-29,35
90,2015-09-30,35
91,2015-10-01,35
92,2015-10-02,35
93,2015-10-03,35
94,2015-10-04,35
95,2015-10-05,35
96,2015-10-06,35
97,2015-10-07,35
98,2015-10-08,35
99,2015-10-09,35
100,2015-10-10,35
101,2015-10-11,35
102,2015-10-12,35
103,2015-10-13,35
104,2015-10-14,35
105,2015-10-15,35
106,2015-10-16,35
107,2015-10-17,35
108,2015-10-18,35
109,2015-10-19,35
110,2015-10-20,35
111,2015-10-21,35
112,2015-10-22,35
113,2015-10-23,35
114,2015-10-24,35
115,2015-10-25,35
116,2015-10-26,35
117,2015-10-27,35
118,2015-10-28,35
119,2015-10-29,35
120,2015-10-30,35
121,2015-10-31,35
122,2015-11-01,35
123,2015-11-02,35
124,2015-11-03,35
125,2015-11-04,35
126,2015-11-05,35
127,2015-11-06,35
128,2015-11-07,35
129,2015-11-08,35
130,2015-11-09,35
