,Date,Pageviews
0,2019-09-11,213
1,2019-09-12,213
2,2019-09-13,213
3,2019-09-14,213
4,2019-09-15,213
5,2019-09-16,213
6,2019-09-17,213
7,2019-09-18,213
8,2019-09-19,213
9,2019-09-20,213
10,2019-09-21,213
11,2019-09-22,213
12,2019-09-23,213
13,2019-09-24,213
14,2019-09-25,213
15,2019-09-26,213
16,2019-09-27,213
17,2019-09-28,213
18,2019-09-29,213
19,2019-09-30,213
20,2019-10-01,213
21,2019-10-02,213
22,2019-10-03,213
23,2019-10-04,213
24,2019-10-05,213
25,2019-10-06,213
26,2019-10-07,213
27,2019-10-08,213
28,2019-10-09,213
29,2019-10-10,213
30,2019-10-11,213
31,2019-10-12,213
32,2019-10-13,213
33,2019-10-14,213
34,2019-10-15,213
35,2019-10-16,213
36,2019-10-17,213
37,2019-10-18,213
38,2019-10-19,213
39,2019-10-20,213
40,2019-10-21,213
41,2019-10-22,213
42,2019-10-23,213
43,2019-10-24,213
44,2019-10-25,213
45,2019-10-26,213
46,2019-10-27,213
47,2019-10-28,213
48,2019-10-29,213
49,2019-10-30,213
50,2019-10-31,213
51,2019-11-01,213
52,2019-11-02,213
53,2019-11-03,213
54,2019-11-04,213
55,2019-11-05,213
56,2019-11-06,213
57,2019-11-07,213
58,2019-11-08,213
59,2019-11-09,213
60,2019-11-10,213
61,2019-11-11,213
62,2019-11-12,213
63,2019-11-13,213
64,2019-11-14,213
65,2019-11-15,213
66,2019-11-16,213
67,2019-11-17,213
68,2019-11-18,213
69,2019-11-19,213
70,2019-11-20,213
71,2019-11-21,213
72,2019-11-22,213
73,2019-11-23,213
74,2019-11-24,213
75,2019-11-25,213
76,2019-11-26,213
77,2019-11-27,213
78,2019-11-28,213
79,2019-11-29,213
80,2019-11-30,213
81,2019-12-01,213
82,2019-12-02,213
83,2019-12-03,213
84,2019-12-04,213
85,2019-12-05,213
86,2019-12-06,213
87,2019-12-07,213
88,2019-12-08,213
89,2019-12-09,213
90,2019-12-10,213
