,Date,Pageviews
0,2015-07-02,168
1,2015-07-03,168
2,2015-07-04,168
3,2015-07-05,168
4,2015-07-06,168
5,2015-07-07,168
6,2015-07-08,168
7,2015-07-09,168
8,2015-07-10,168
9,2015-07-11,168
10,2015-07-12,168
11,2015-07-13,168
12,2015-07-14,168
13,2015-07-15,168
14,2015-07-16,168
15,2015-07-17,168
16,2015-07-18,168
17,2015-07-19,168
18,2015-07-20,168
19,2015-07-21,168
20,2015-07-22,168
21,2015-07-23,168
22,2015-07-24,168
23,2015-07-25,168
24,2015-07-26,168
25,2015-07-27,168
26,2015-07-28,168
27,2015-07-29,168
28,2015-07-30,168
29,2015-07-31,168
30,2015-08-01,168
31,2015-08-02,168
32,2015-08-03,168
33,2015-08-04,168
34,2015-08-05,168
35,2015-08-06,168
36,2015-08-07,168
37,2015-08-08,168
38,2015-08-09,168
39,2015-08-10,168
40,2015-08-11,168
41,2015-08-12,168
42,2015-08-13,168
43,2015-08-14,168
44,2015-08-15,168
45,2015-08-16,168
46,2015-08-17,168
47,2015-08-18,168
48,2015-08-19,168
49,2015-08-20,168
50,2015-08-21,168
51,2015-08-22,168
52,2015-08-23,168
53,2015-08-24,168
54,2015-08-25,168
55,2015-08-26,168
56,2015-08-27,168
57,2015-08-28,168
58,2015-08-29,168
59,2015-08-30,168
60,2015-08-31,168
61,2015-09-01,168
62,2015-09-02,168
63,2015-09-03,168
64,2015-09-04,168
65,2015-09-05,168
66,2015-09-06,168
67,2015-09-07,168
68,2015-09-08,168
69,2015-09-09,168
70,2015-09-10,168
71,2015-09-11,168
72,2015-09-12,168
73,2015-09-13,168
74,2015-09-14,168
75,2015-09-15,168
76,2015-09-16,168
77,2015-09-17,168
78,2015-09-18,168
79,2015-09-19,168
80,2015-09-20,168
81,2015-09-21,168
82,2015-09-22,168
83,2015-09-23,168
84,2015-09-24,168
85,2015-09-25,168
86,2015-09-26,168
87,2015-09-27,168
88,2015-09-28,168
89,2015-09-29,168
90,2015-09-30,168
91,2015-10-01,168
92,2015-10-02,168
93,2015-10-03,168
94,2015-10-04,168
95,2015-10-05,168
96,2015-10-06,168
97,2015-10-07,168
98,2015-10-08,168
99,2015-10-09,168
100,2015-10-10,168
101,2015-10-11,168
102,2015-10-12,168
103,2015-10-13,168
104,2015-10-14,168
105,2015-10-15,168
106,2015-10-16,168
107,2015-10-17,168
108,2015-10-18,168
109,2015-10-19,168
110,2015-10-20,168
111,2015-10-21,168
112,2015-10-22,168
113,2015-10-23,168
114,2015-10-24,168
115,2015-10-25,168
116,2015-10-26,168
117,2015-10-27,168
118,2015-10-28,168
119,2015-10-29,168
120,2015-10-30,168
121,2015-10-31,168
122,2015-11-01,168
123,2015-11-02,168
124,2015-11-03,168
125,2015-11-04,168
126,2015-11-05,168
127,2015-11-06,168
128,2015-11-07,168
129,2015-11-08,168
130,2015-11-09,168
131,2015-11-10,168
132,2015-11-11,168
133,2015-11-12,168
134,2015-11-13,168
135,2015-11-14,168
136,2015-11-15,168
137,2015-11-16,168
138,2015-11-17,168
139,2015-11-18,168
140,2015-11-19,168
141,2015-11-20,168
142,2015-11-21,168
143,2015-11-22,168
144,2015-11-23,168
145,2015-11-24,168
146,2015-11-25,168
147,2015-11-26,168
148,2015-11-27,168
149,2015-11-28,168
150,2015-11-29,168
151,2015-11-30,168
152,2015-12-01,168
153,2015-12-02,168
154,2015-12-03,168
155,2015-12-04,168
156,2015-12-05,168
157,2015-12-06,168
158,2015-12-07,168
159,2015-12-08,168
160,2015-12-09,168
161,2015-12-10,168
162,2015-12-11,168
163,2015-12-12,168
164,2015-12-13,168
165,2015-12-14,168
166,2015-12-15,168
167,2015-12-16,168
168,2015-12-17,168
169,2015-12-18,168
170,2015-12-19,168
171,2015-12-20,168
172,2015-12-21,168
173,2015-12-22,168
174,2015-12-23,168
175,2015-12-24,168
176,2015-12-25,168
177,2015-12-26,168
178,2015-12-27,168
179,2015-12-28,168
180,2015-12-29,168
181,2015-12-30,168
182,2015-12-31,168
183,2016-01-01,168
184,2016-01-02,168
185,2016-01-03,168
186,2016-01-04,168
187,2016-01-05,168
188,2016-01-06,168
189,2016-01-07,168
190,2016-01-08,168
191,2016-01-09,168
192,2016-01-10,168
193,2016-01-11,168
194,2016-01-12,168
195,2016-01-13,168
196,2016-01-14,168
197,2016-01-15,168
198,2016-01-16,168
199,2016-01-17,168
200,2016-01-18,168
201,2016-01-19,168
202,2016-01-20,168
203,2016-01-21,168
204,2016-01-22,168
205,2016-01-23,168
206,2016-01-24,168
207,2016-01-25,168
208,2016-01-26,168
209,2016-01-27,168
210,2016-01-28,168
211,2016-01-29,168
212,2016-01-30,168
213,2016-01-31,168
214,2016-02-01,168
215,2016-02-02,168
216,2016-02-03,168
217,2016-02-04,168
218,2016-02-05,168
219,2016-02-06,168
220,2016-02-07,168
221,2016-02-08,168
222,2016-02-09,168
223,2016-02-10,168
224,2016-02-11,168
225,2016-02-12,168
226,2016-02-13,168
227,2016-02-14,168
228,2016-02-15,168
229,2016-02-16,168
230,2016-02-17,168
231,2016-02-18,168
232,2016-02-19,168
233,2016-02-20,168
234,2016-02-21,168
235,2016-02-22,168
236,2016-02-23,168
237,2016-02-24,168
238,2016-02-25,168
239,2016-02-26,168
240,2016-02-27,168
241,2016-02-28,168
242,2016-02-29,168
243,2016-03-01,168
244,2016-03-02,168
245,2016-03-03,168
246,2016-03-04,168
247,2016-03-05,168
248,2016-03-06,168
249,2016-03-07,168
250,2016-03-08,168
251,2016-03-09,168
252,2016-03-10,168
253,2016-03-11,168
254,2016-03-12,168
255,2016-03-13,168
256,2016-03-14,168
257,2016-03-15,168
258,2016-03-16,168
259,2016-03-17,168
260,2016-03-18,168
261,2016-03-19,168
262,2016-03-20,168
263,2016-03-21,168
264,2016-03-22,168
265,2016-03-23,168
266,2016-03-24,168
267,2016-03-25,168
268,2016-03-26,168
269,2016-03-27,168
270,2016-03-28,168
271,2016-03-29,168
272,2016-03-30,168
273,2016-03-31,168
274,2016-04-01,168
275,2016-04-02,168
