,Date,Pageviews
0,2019-10-11,390
1,2019-10-12,390
2,2019-10-13,390
3,2019-10-14,390
4,2019-10-15,390
5,2019-10-16,390
6,2019-10-17,390
7,2019-10-18,390
8,2019-10-19,390
9,2019-10-20,390
10,2019-10-21,390
11,2019-10-22,390
12,2019-10-23,390
13,2019-10-24,390
14,2019-10-25,390
15,2019-10-26,390
16,2019-10-27,390
17,2019-10-28,390
18,2019-10-29,390
19,2019-10-30,390
20,2019-10-31,390
21,2019-11-01,390
22,2019-11-02,390
23,2019-11-03,390
24,2019-11-04,390
25,2019-11-05,390
26,2019-11-06,390
27,2019-11-07,390
28,2019-11-08,390
29,2019-11-09,390
30,2019-11-10,390
31,2019-11-11,390
32,2019-11-12,390
33,2019-11-13,390
34,2019-11-14,390
35,2019-11-15,390
36,2019-11-16,390
37,2019-11-17,390
38,2019-11-18,390
39,2019-11-19,390
40,2019-11-20,390
41,2019-11-21,390
42,2019-11-22,390
43,2019-11-23,390
44,2019-11-24,390
45,2019-11-25,390
46,2019-11-26,390
47,2019-11-27,390
48,2019-11-28,390
49,2019-11-29,390
50,2019-11-30,390
51,2019-12-01,390
52,2019-12-02,390
53,2019-12-03,390
54,2019-12-04,390
55,2019-12-05,390
56,2019-12-06,390
57,2019-12-07,390
58,2019-12-08,390
59,2019-12-09,390
60,2019-12-10,390
