,Date,Pageviews
0,2015-07-02,1252
1,2015-07-03,1252
2,2015-07-04,1252
3,2015-07-05,1252
4,2015-07-06,1252
5,2015-07-07,1252
6,2015-07-08,1252
7,2015-07-09,1252
8,2015-07-10,1252
9,2015-07-11,1252
10,2015-07-12,1252
11,2015-07-13,1252
12,2015-07-14,1252
13,2015-07-15,1252
14,2015-07-16,1252
15,2015-07-17,1252
16,2015-07-18,1252
17,2015-07-19,1252
18,2015-07-20,1252
19,2015-07-21,1252
20,2015-07-22,1252
21,2015-07-23,1252
22,2015-07-24,1252
23,2015-07-25,1252
24,2015-07-26,1252
25,2015-07-27,1252
26,2015-07-28,1252
27,2015-07-29,1252
28,2015-07-30,1252
29,2015-07-31,1252
30,2015-08-01,1252
31,2015-08-02,1252
32,2015-08-03,1252
33,2015-08-04,1252
34,2015-08-05,1252
35,2015-08-06,1252
36,2015-08-07,1252
37,2015-08-08,1252
38,2015-08-09,1252
39,2015-08-10,1252
40,2015-08-11,1252
41,2015-08-12,1252
42,2015-08-13,1252
43,2015-08-14,1252
44,2015-08-15,1252
45,2015-08-16,1252
46,2015-08-17,1252
47,2015-08-18,1252
48,2015-08-19,1252
49,2015-08-20,1252
50,2015-08-21,1252
51,2015-08-22,1252
52,2015-08-23,1252
53,2015-08-24,1252
54,2015-08-25,1252
55,2015-08-26,1252
56,2015-08-27,1252
57,2015-08-28,1252
58,2015-08-29,1252
59,2015-08-30,1252
60,2015-08-31,1252
61,2015-09-01,1252
62,2015-09-02,1252
63,2015-09-03,1252
64,2015-09-04,1252
65,2015-09-05,1252
66,2015-09-06,1252
67,2015-09-07,1252
68,2015-09-08,1252
69,2015-09-09,1252
70,2015-09-10,1252
71,2015-09-11,1252
72,2015-09-12,1252
73,2015-09-13,1252
74,2015-09-14,1252
75,2015-09-15,1252
76,2015-09-16,1252
77,2015-09-17,1252
78,2015-09-18,1252
79,2015-09-19,1252
80,2015-09-20,1252
81,2015-09-21,1252
82,2015-09-22,1252
83,2015-09-23,1252
84,2015-09-24,1252
85,2015-09-25,1252
86,2015-09-26,1252
87,2015-09-27,1252
88,2015-09-28,1252
89,2015-09-29,1252
90,2015-09-30,1252
91,2015-10-01,1252
92,2015-10-02,1252
93,2015-10-03,1252
94,2015-10-04,1252
95,2015-10-05,1252
96,2015-10-06,1252
97,2015-10-07,1252
98,2015-10-08,1252
99,2015-10-09,1252
100,2015-10-10,1252
101,2015-10-11,1252
102,2015-10-12,1252
103,2015-10-13,1252
104,2015-10-14,1252
105,2015-10-15,1252
106,2015-10-16,1252
107,2015-10-17,1252
108,2015-10-18,1252
109,2015-10-19,1252
110,2015-10-20,1252
111,2015-10-21,1252
112,2015-10-22,1252
113,2015-10-23,1252
114,2015-10-24,1252
115,2015-10-25,1252
116,2015-10-26,1252
117,2015-10-27,1252
118,2015-10-28,1252
119,2015-10-29,1252
120,2015-10-30,1252
121,2015-10-31,1252
122,2015-11-01,1252
123,2015-11-02,1252
124,2015-11-03,1252
125,2015-11-04,1252
126,2015-11-05,1252
127,2015-11-06,1252
128,2015-11-07,1252
129,2015-11-08,1252
130,2015-11-09,1252
131,2015-11-10,1252
132,2015-11-11,1252
133,2015-11-12,1252
134,2015-11-13,1252
135,2015-11-14,1252
136,2015-11-15,1252
137,2015-11-16,1252
138,2015-11-17,1252
139,2015-11-18,1252
140,2015-11-19,1252
141,2015-11-20,1252
142,2015-11-21,1252
143,2015-11-22,1252
144,2015-11-23,1252
145,2015-11-24,1252
146,2015-11-25,1252
147,2015-11-26,1252
148,2015-11-27,1252
149,2015-11-28,1252
150,2015-11-29,1252
151,2015-11-30,1252
152,2015-12-01,1252
153,2015-12-02,1252
154,2015-12-03,1252
155,2015-12-04,1252
156,2015-12-05,1252
157,2015-12-06,1252
158,2015-12-07,1252
159,2015-12-08,1252
160,2015-12-09,1252
161,2015-12-10,1252
162,2015-12-11,1252
163,2015-12-12,1252
164,2015-12-13,1252
165,2015-12-14,1252
166,2015-12-15,1252
167,2015-12-16,1252
168,2015-12-17,1252
169,2015-12-18,1252
170,2015-12-19,1252
171,2015-12-20,1252
172,2015-12-21,1252
173,2015-12-22,1252
174,2015-12-23,1252
175,2015-12-24,1252
176,2015-12-25,1252
177,2015-12-26,1252
178,2015-12-27,1252
179,2015-12-28,1252
180,2015-12-29,1252
181,2015-12-30,1252
182,2015-12-31,1252
183,2016-01-01,1252
184,2016-01-02,1252
185,2016-01-03,1252
186,2016-01-04,1252
187,2016-01-05,1252
188,2016-01-06,1252
189,2016-01-07,1252
190,2016-01-08,1252
191,2016-01-09,1252
192,2016-01-10,1252
193,2016-01-11,1252
194,2016-01-12,1252
195,2016-01-13,1252
196,2016-01-14,1252
197,2016-01-15,1252
198,2016-01-16,1252
199,2016-01-17,1252
200,2016-01-18,1252
201,2016-01-19,1252
202,2016-01-20,1252
203,2016-01-21,1252
204,2016-01-22,1252
205,2016-01-23,1252
206,2016-01-24,1252
207,2016-01-25,1252
208,2016-01-26,1252
209,2016-01-27,1252
210,2016-01-28,1252
211,2016-01-29,1252
212,2016-01-30,1252
213,2016-01-31,1252
214,2016-02-01,1252
215,2016-02-02,1252
216,2016-02-03,1252
217,2016-02-04,1252
218,2016-02-05,1252
219,2016-02-06,1252
220,2016-02-07,1252
221,2016-02-08,1252
222,2016-02-09,1252
223,2016-02-10,1252
224,2016-02-11,1252
225,2016-02-12,1252
226,2016-02-13,1252
227,2016-02-14,1252
228,2016-02-15,1252
229,2016-02-16,1252
230,2016-02-17,1252
231,2016-02-18,1252
232,2016-02-19,1252
233,2016-02-20,1252
234,2016-02-21,1252
235,2016-02-22,1252
236,2016-02-23,1252
237,2016-02-24,1252
238,2016-02-25,1252
239,2016-02-26,1252
240,2016-02-27,1252
241,2016-02-28,1252
242,2016-02-29,1252
243,2016-03-01,1252
244,2016-03-02,1252
245,2016-03-03,1252
246,2016-03-04,1252
247,2016-03-05,1252
248,2016-03-06,1252
249,2016-03-07,1252
250,2016-03-08,1252
251,2016-03-09,1252
252,2016-03-10,1252
253,2016-03-11,1252
254,2016-03-12,1252
255,2016-03-13,1252
256,2016-03-14,1252
257,2016-03-15,1252
258,2016-03-16,1252
259,2016-03-17,1252
260,2016-03-18,1252
261,2016-03-19,1252
262,2016-03-20,1252
263,2016-03-21,1252
264,2016-03-22,1252
265,2016-03-23,1252
266,2016-03-24,1252
267,2016-03-25,1252
268,2016-03-26,1252
269,2016-03-27,1252
270,2016-03-28,1252
271,2016-03-29,1252
272,2016-03-30,1252
273,2016-03-31,1252
