,Date,Pageviews
0,2019-08-24,63
1,2019-08-25,63
2,2019-08-26,63
3,2019-08-27,63
4,2019-08-28,63
5,2019-08-29,63
6,2019-08-30,63
7,2019-08-31,63
8,2019-09-01,63
9,2019-09-02,63
10,2019-09-03,63
11,2019-09-04,63
12,2019-09-05,63
13,2019-09-06,63
14,2019-09-07,63
15,2019-09-08,63
16,2019-09-09,63
17,2019-09-10,63
18,2019-09-11,63
19,2019-09-12,63
20,2019-09-13,63
21,2019-09-14,63
22,2019-09-15,63
23,2019-09-16,63
24,2019-09-17,63
25,2019-09-18,63
26,2019-09-19,63
27,2019-09-20,63
28,2019-09-21,63
29,2019-09-22,63
30,2019-09-23,63
31,2019-09-24,63
32,2019-09-25,63
33,2019-09-26,63
34,2019-09-27,63
35,2019-09-28,63
36,2019-09-29,63
37,2019-09-30,63
38,2019-10-01,63
39,2019-10-02,63
40,2019-10-03,63
41,2019-10-04,63
42,2019-10-05,63
43,2019-10-06,63
44,2019-10-07,63
45,2019-10-08,63
46,2019-10-09,63
47,2019-10-10,63
48,2019-10-11,63
49,2019-10-12,63
50,2019-10-13,63
51,2019-10-14,63
52,2019-10-15,63
53,2019-10-16,63
54,2019-10-17,63
55,2019-10-18,63
56,2019-10-19,63
57,2019-10-20,63
58,2019-10-21,63
59,2019-10-22,63
60,2019-10-23,63
61,2019-10-24,63
62,2019-10-25,63
63,2019-10-26,63
64,2019-10-27,63
65,2019-10-28,63
66,2019-10-29,63
67,2019-10-30,63
68,2019-10-31,63
69,2019-11-01,63
70,2019-11-02,63
71,2019-11-03,63
72,2019-11-04,63
73,2019-11-05,63
74,2019-11-06,63
75,2019-11-07,63
76,2019-11-08,63
77,2019-11-09,63
78,2019-11-10,63
79,2019-11-11,63
80,2019-11-12,63
81,2019-11-13,63
82,2019-11-14,63
83,2019-11-15,63
84,2019-11-16,63
85,2019-11-17,63
86,2019-11-18,63
87,2019-11-19,63
88,2019-11-20,63
89,2019-11-21,63
90,2019-11-22,63
91,2019-11-23,63
92,2019-11-24,63
93,2019-11-25,63
94,2019-11-26,63
95,2019-11-27,63
96,2019-11-28,63
97,2019-11-29,63
98,2019-11-30,63
99,2019-12-01,63
100,2019-12-02,63
101,2019-12-03,63
102,2019-12-04,63
103,2019-12-05,63
104,2019-12-06,63
105,2019-12-07,63
106,2019-12-08,63
107,2019-12-09,63
108,2019-12-10,63
