,Date,Pageviews
0,2017-01-26,98
1,2017-01-27,98
2,2017-01-28,98
3,2017-01-29,98
4,2017-01-30,98
5,2017-01-31,98
6,2017-02-01,98
7,2017-02-02,98
8,2017-02-03,98
9,2017-02-04,98
10,2017-02-05,98
11,2017-02-06,98
12,2017-02-07,98
13,2017-02-08,98
14,2017-02-09,98
15,2017-02-10,98
16,2017-02-11,98
17,2017-02-12,98
18,2017-02-13,98
19,2017-02-14,98
20,2017-02-15,98
21,2017-02-16,98
22,2017-02-17,98
23,2017-02-18,98
24,2017-02-19,98
25,2017-02-20,98
26,2017-02-21,98
27,2017-02-22,98
28,2017-02-23,98
29,2017-02-24,98
30,2017-02-25,98
31,2017-02-26,98
32,2017-02-27,98
33,2017-02-28,98
34,2017-03-01,98
35,2017-03-02,98
36,2017-03-03,98
37,2017-03-04,98
38,2017-03-05,98
39,2017-03-06,98
40,2017-03-07,98
41,2017-03-08,98
42,2017-03-09,98
43,2017-03-10,98
44,2017-03-11,98
45,2017-03-12,98
46,2017-03-13,98
47,2017-03-14,98
48,2017-03-15,98
49,2017-03-16,98
50,2017-03-17,98
51,2017-03-18,98
52,2017-03-19,98
53,2017-03-20,98
54,2017-03-21,98
55,2017-03-22,98
56,2017-03-23,98
57,2017-03-24,98
58,2017-03-25,98
59,2017-03-26,98
60,2017-03-27,98
61,2017-03-28,98
62,2017-03-29,98
63,2017-03-30,98
64,2017-03-31,98
65,2017-04-01,98
66,2017-04-02,98
67,2017-04-03,98
68,2017-04-04,98
69,2017-04-05,98
70,2017-04-06,98
71,2017-04-07,98
72,2017-04-08,98
73,2017-04-09,98
74,2017-04-10,98
75,2017-04-11,98
76,2017-04-12,98
77,2017-04-13,98
78,2017-04-14,98
79,2017-04-15,98
80,2017-04-16,98
81,2017-04-17,98
82,2017-04-18,98
83,2017-04-19,98
84,2017-04-20,98
85,2017-04-21,98
86,2017-04-22,98
87,2017-04-23,98
88,2017-04-24,98
89,2017-04-25,98
90,2017-04-26,98
91,2017-04-27,98
92,2017-04-28,98
93,2017-04-29,98
94,2017-04-30,98
95,2017-05-01,98
96,2017-05-02,98
97,2017-05-03,98
98,2017-05-04,98
99,2017-05-05,98
100,2017-05-06,98
101,2017-05-07,98
102,2017-05-08,98
103,2017-05-09,98
104,2017-05-10,98
105,2017-05-11,98
106,2017-05-12,98
107,2017-05-13,98
108,2017-05-14,98
109,2017-05-15,98
110,2017-05-16,98
