,Date,Pageviews
0,2019-09-07,75
1,2019-09-08,75
2,2019-09-09,75
3,2019-09-10,75
4,2019-09-11,75
5,2019-09-12,75
6,2019-09-13,75
7,2019-09-14,75
8,2019-09-15,75
9,2019-09-16,75
10,2019-09-17,75
11,2019-09-18,75
12,2019-09-19,75
13,2019-09-20,75
14,2019-09-21,75
15,2019-09-22,75
16,2019-09-23,75
17,2019-09-24,75
18,2019-09-25,75
19,2019-09-26,75
20,2019-09-27,75
21,2019-09-28,75
22,2019-09-29,75
23,2019-09-30,75
24,2019-10-01,75
25,2019-10-02,75
26,2019-10-03,75
27,2019-10-04,75
28,2019-10-05,75
29,2019-10-06,75
30,2019-10-07,75
31,2019-10-08,75
32,2019-10-09,75
33,2019-10-10,75
34,2019-10-11,75
35,2019-10-12,75
36,2019-10-13,75
37,2019-10-14,75
38,2019-10-15,75
39,2019-10-16,75
40,2019-10-17,75
41,2019-10-18,75
42,2019-10-19,75
43,2019-10-20,75
44,2019-10-21,75
45,2019-10-22,75
46,2019-10-23,75
47,2019-10-24,75
48,2019-10-25,75
49,2019-10-26,75
50,2019-10-27,75
51,2019-10-28,75
52,2019-10-29,75
53,2019-10-30,75
54,2019-10-31,75
55,2019-11-01,75
56,2019-11-02,75
57,2019-11-03,75
58,2019-11-04,75
59,2019-11-05,75
60,2019-11-06,75
61,2019-11-07,75
62,2019-11-08,75
63,2019-11-09,75
64,2019-11-10,75
65,2019-11-11,75
66,2019-11-12,75
67,2019-11-13,75
68,2019-11-14,75
69,2019-11-15,75
70,2019-11-16,75
71,2019-11-17,75
72,2019-11-18,75
73,2019-11-19,75
74,2019-11-20,75
75,2019-11-21,75
76,2019-11-22,75
77,2019-11-23,75
78,2019-11-24,75
79,2019-11-25,75
80,2019-11-26,75
81,2019-11-27,75
82,2019-11-28,75
83,2019-11-29,75
84,2019-11-30,75
85,2019-12-01,75
86,2019-12-02,75
87,2019-12-03,75
88,2019-12-04,75
89,2019-12-05,75
90,2019-12-06,75
91,2019-12-07,75
92,2019-12-08,75
93,2019-12-09,75
94,2019-12-10,75
