,Date,Pageviews
0,2019-09-07,49
1,2019-09-08,49
2,2019-09-09,49
3,2019-09-10,49
4,2019-09-11,49
5,2019-09-12,49
6,2019-09-13,49
7,2019-09-14,49
8,2019-09-15,49
9,2019-09-16,49
10,2019-09-17,49
11,2019-09-18,49
12,2019-09-19,49
13,2019-09-20,49
14,2019-09-21,49
15,2019-09-22,49
16,2019-09-23,49
17,2019-09-24,49
18,2019-09-25,49
19,2019-09-26,49
20,2019-09-27,49
21,2019-09-28,49
22,2019-09-29,49
23,2019-09-30,49
24,2019-10-01,49
25,2019-10-02,49
26,2019-10-03,49
27,2019-10-04,49
28,2019-10-05,49
29,2019-10-06,49
30,2019-10-07,49
31,2019-10-08,49
32,2019-10-09,49
33,2019-10-10,49
34,2019-10-11,49
35,2019-10-12,49
36,2019-10-13,49
37,2019-10-14,49
38,2019-10-15,49
39,2019-10-16,49
40,2019-10-17,49
41,2019-10-18,49
42,2019-10-19,49
43,2019-10-20,49
44,2019-10-21,49
45,2019-10-22,49
46,2019-10-23,49
47,2019-10-24,49
48,2019-10-25,49
49,2019-10-26,49
50,2019-10-27,49
51,2019-10-28,49
52,2019-10-29,49
53,2019-10-30,49
54,2019-10-31,49
55,2019-11-01,49
56,2019-11-02,49
57,2019-11-03,49
58,2019-11-04,49
59,2019-11-05,49
60,2019-11-06,49
61,2019-11-07,49
62,2019-11-08,49
63,2019-11-09,49
64,2019-11-10,49
65,2019-11-11,49
66,2019-11-12,49
67,2019-11-13,49
68,2019-11-14,49
69,2019-11-15,49
70,2019-11-16,49
71,2019-11-17,49
72,2019-11-18,49
73,2019-11-19,49
74,2019-11-20,49
75,2019-11-21,49
76,2019-11-22,49
77,2019-11-23,49
78,2019-11-24,49
79,2019-11-25,49
80,2019-11-26,49
81,2019-11-27,49
82,2019-11-28,49
83,2019-11-29,49
84,2019-11-30,49
85,2019-12-01,49
86,2019-12-02,49
87,2019-12-03,49
88,2019-12-04,49
89,2019-12-05,49
90,2019-12-06,49
91,2019-12-07,49
92,2019-12-08,49
93,2019-12-09,49
94,2019-12-10,49
