,Date,Pageviews
0,2019-11-01,16
1,2019-11-02,16
2,2019-11-03,16
3,2019-11-04,16
4,2019-11-05,16
5,2019-11-06,16
6,2019-11-07,16
7,2019-11-08,16
8,2019-11-09,16
9,2019-11-10,16
10,2019-11-11,16
11,2019-11-12,16
12,2019-11-13,16
13,2019-11-14,16
14,2019-11-15,16
15,2019-11-16,16
16,2019-11-17,16
17,2019-11-18,16
18,2019-11-19,16
19,2019-11-20,16
20,2019-11-21,16
21,2019-11-22,16
22,2019-11-23,16
23,2019-11-24,16
24,2019-11-25,16
25,2019-11-26,16
26,2019-11-27,16
27,2019-11-28,16
28,2019-11-29,16
29,2019-11-30,16
30,2019-12-01,16
31,2019-12-02,16
32,2019-12-03,16
33,2019-12-04,16
34,2019-12-05,16
35,2019-12-06,16
36,2019-12-07,16
37,2019-12-08,16
38,2019-12-09,16
39,2019-12-10,16
